Name,"Screen name","Twitter ID",Location,Biography,"Created date",Followers,Following,Tweets,Favorites,Website,"Time zone",Geo-enabled,Verified,Language,Protected,"Profile image URL"
"🅿️oison 🅱️errie",berrie_nice,"ID 1605904114403233792",," stone cold","Thu Dec 22 12:32:40 +0000 2022",481,169,962,3500,,,Disabled,"Not verified",,Protected,https://pbs.twimg.com/profile_images/1619557178783813634/N3dNTS5b_normal.jpg
"Gentleman Star",FavelaOverlord,"ID 1610428830547693573","Roseau, Dominica"," evilmaxxed sauced up white boy goated with the sauce","Wed Jan 04 00:12:31 +0000 2023",996,243,1099,2215,,,Disabled,"Not verified",,Protected,https://pbs.twimg.com/profile_images/1613202612186234882/oWsFi_zB_normal.jpg
"Galactic Catgirl Racism",GigaAesthete,"ID 1618946214812164097",," Piratical Anime Space Monarchy! Aesthetic Extremism! Nietzchean Vitalism!","Fri Jan 27 12:17:34 +0000 2023",15,93,205,733,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1618946599366819840/XRfwiMCw_normal.jpg
"Jamal Smith",LofiGeorgeFloyd,"ID 1613345849811111938",," chronically blackpilled","Thu Jan 12 01:23:43 +0000 2023",100,136,708,2724,,,Disabled,"Not verified",,Protected,https://pbs.twimg.com/profile_images/1617576846350073861/Ax10v1_x_normal.jpg
Spandrell,spandrell3,"ID 1595500307374829568",," 𓂺","Wed Nov 23 19:31:41 +0000 2022",3058,43,1730,2563,https://spandrell.com,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1613209845444009984/NtjJ3iOC_normal.jpg
"Incel Sisyphus",NietzscheanNEET,"ID 1363569039021252608",," Life at all costs.","Sun Feb 21 19:19:48 +0000 2021",25,58,38,111,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1618817139028201473/80wbneEW_normal.jpg
"The Prince Formerly Known As Tidus 👑",princetidvs_,"ID 1509631153350889477",," Prince without a kingdom","Thu Mar 31 20:38:14 +0000 2022",42,39,325,426,,,Disabled,"Not verified",,Protected,https://pbs.twimg.com/profile_images/1621373827463749632/PkO3rty9_normal.jpg
"UρCuntry 🌞 Marcher",Grek_merc90210,"ID 1507161051439288320",," Yes hello I am stranded on Cunaxan plain with 9,999 frends. We are fighting our way home. Looking for the sea.","Fri Mar 25 01:02:59 +0000 2022",1327,617,2482,7264,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1507162734122745859/fgigU7me_normal.jpg
"cotton panties enthusiast",endlessbonerz,"ID 1478115811197919238",," meditardations
comfy rights activist","Mon Jan 03 21:29:18 +0000 2022",576,304,4146,17425,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1616970980349427713/VYg5wtEZ_normal.png
Drontrik,pacifierjak,"ID 1588494206930243585",," ","Fri Nov 04 11:31:59 +0000 2022",9,72,211,1066,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1588494531393101825/CnefjrVZ_normal.jpg
