Name,"Screen name","Twitter ID",Location,Biography,"Created date",Followers,Following,Tweets,Favorites,Website,"Time zone",Geo-enabled,Verified,Language,Protected,"Profile image URL"
13east,13_wud,"ID 1601062664775819265",," ","Fri Dec 09 03:54:37 +0000 2022",198,331,9680,10003,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1601087800258232321/ZAXGSnU1_normal.jpg
1nternetcitizen,1nternetcitize1,"ID 1618660456712884224",," Living a Tim Ferriss book","Thu Jan 26 17:22:42 +0000 2023",5,72,189,210,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1618664304944812063/xA5WjCck_normal.jpg
"Thylacoleo Carnifex",ThylacoleoCarn3,"ID 1497389968917946373",," 313 whiteboy","Sat Feb 26 01:56:29 +0000 2022",9,175,130,1990,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1497397695144734733/KodyztX1_normal.jpg
sato,teraodoro,"ID 1512336435776565251",," serious artist","Fri Apr 08 07:49:48 +0000 2022",2218,1,285,267,https://twitter.com/nft_sato,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1589520824691736578/tq4KScsC_normal.jpg
"the last pirate",corsair21c,"ID 1075211100398903296",," Ducunt fata volentem, nolentem trahunt","Wed Dec 19 02:07:57 +0000 2018",20289,1305,2799,40665,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1621310873930448896/nVJ_Tejf_normal.jpg
"Anti normiean",AntiNrx,"ID 1422354357069127706",," ","Tue Aug 03 00:31:27 +0000 2021",117,181,5092,17876,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1585095408304279552/9rzU44CH_normal.jpg
Saddletramp69,Saddletramp691,"ID 1082769988249890816","The Handles"," Displaced Okie stuck in Lipscomb co Texas.
Beautiful women will be my downfall.
Self employed ranchhand  for hire.
Will eat for work.","Tue Jan 08 22:44:16 +0000 2019",2179,225,18902,98954,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1570566860504014849/Ci6dnU4Z_normal.jpg
"The American Sun",NewAtlantisSun,"ID 1048012125141196806",," American Revisionism","Fri Oct 05 00:48:56 +0000 2018",13758,196,11375,3075,http://theamericansun.com,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1048035581010366464/T_6i6j92_normal.jpg
Cthulhu,zulotzimisce,"ID 1509581842503987201",Omnipresent," Great Old One","Thu Mar 31 17:22:43 +0000 2022",325,426,10752,8299,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1519019283791159300/7ZoTNiDM_normal.jpg
"Astonished Soul⚡💃",dwnrvrndn,"ID 23000204",," ","Thu Mar 05 23:52:17 +0000 2009",646,816,9898,138218,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1607253295512580096/zDIry1xF_normal.jpg
