Name,"Screen name","Twitter ID",Location,Biography,"Created date",Followers,Following,Tweets,Favorites,Website,"Time zone",Geo-enabled,Verified,Language,Protected,"Profile image URL"
"🦃BrittBrattIsCutestPuppetEver (I'm the President)",BrattyPuppets,"ID 997603378027905024",," Finger puppets rule. Proud Cave Beast Nationalist. I'm rubber, you're joo.","Fri May 18 22:22:34 +0000 2018",323,475,7856,14608,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1332285403684954116/L8yfW_I5_normal.jpg
"Aint did nuffins",ANuffins,"ID 1078799980977106944",," ","Fri Dec 28 23:48:53 +0000 2018",17,2,22,17,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1078800967355617280/vXN7BzGV_normal.png
"ᘺᗩᑘᘜᕼᕼᘿᗩᕲ ᖇᘿ᙭🇦🇶",Malgwyn,"ID 2458531","Missing Mile, Hollow Hills"," Dark o' the Moon","Tue Mar 27 10:44:20 +0000 2007",219,240,12825,3722,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1210379683616788480/Ys-iknZG_normal.png
Patrikos,Patri_kos,"ID 763055531003174913","Salem, MA"," Exodus 22:18; Puritan, Witchburner","Tue Aug 09 16:53:10 +0000 2016",232,517,9976,37370,http://patrikos.com,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/763126075538890754/H8Y0V6xX_normal.jpg
MKUltrasound,MKUltra_sound,"ID 30405799",Hell," ","Sat Apr 11 05:26:29 +0000 2009",494,869,1256,18550,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/814554600338399233/a5DtRa_3_normal.jpg
"R 🌹",ryanYT88,"ID 17463951",," ","Tue Nov 18 13:41:31 +0000 2008",559,579,5480,674,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1610377035590819840/N7Xl-DVa_normal.jpg
Germaneagle,Germaneagle_1,"ID 999950119125573632",," ","Fri May 25 09:47:41 +0000 2018",44,408,1689,21550,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1054668545609658368/wLudQ1vP_normal.jpg
"Random Dog",TomVacara,"ID 3127911327","Bark, Deutschland"," Bork bork bork.","Mon Mar 30 00:48:32 +0000 2015",77,139,2024,22236,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1057639418700324864/zH9xIwFo_normal.jpg
Winston,Winston_Wolf_,"ID 979854661397118977",," ","Fri Mar 30 22:55:30 +0000 2018",195,194,823,11506,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1324887400846417920/Ej86nvIR_normal.jpg
"What The F*** Facts",WhatTheFFacts,"ID 352145373",Worldwide," All the things that make you say WTF. Official Account of What The F*** Facts. #WhatTheFact","Wed Aug 10 06:20:27 +0000 2011",5666782,522,105769,1186,https://diply.com/,,Enabled,Verified,,"Not protected",https://pbs.twimg.com/profile_images/707970310176382976/6P3fPrGD_normal.jpg
"Big Jock 🏴󠁧󠁢󠁳󠁣󠁴󠁿",BigJockHere,"ID 2429077012","Scotland "," ","Sat Mar 22 15:07:48 +0000 2014",99,247,1933,8358,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1550135980178432000/LFuz79y8_normal.jpg
𝐳𝐨𝐨𝐦𝐞𝐫,deviloutofme,"ID 877186431432744961",," 21 || 🇻🇦","Tue Jun 20 15:28:37 +0000 2017",406,1513,10484,139636,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1282813635732164608/9MNhZ5M5_normal.jpg
"No to fakes",nofakesfrauds,"ID 4015490292","Los Angeles, CA"," ","Sun Oct 25 17:28:22 +0000 2015",99,127,7263,9382,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1372065458677936132/hFkmSFnu_normal.jpg
"Bouillonaire❌ 🥛😏",VonPilsner,"ID 799949976403136513",," European #Catholic","Sat Nov 19 12:18:31 +0000 2016",2283,2265,38088,205155,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/977908617163702273/-ChbF6q8_normal.jpg
"Rand Paul",RandPaul,"ID 216881337","Bowling Green, KY"," U.S. Senator for Kentucky | I fight for the Constitution, individual liberty and the freedoms that make this country great.","Wed Nov 17 23:52:35 +0000 2010",4603994,595,16789,856,http://randpaul.com,,Enabled,Verified,,"Not protected",https://pbs.twimg.com/profile_images/681152691461042177/_PrgDgFA_normal.jpg
,north_mn,"ID 1050146264321613825",," @north_mn's account is temporarily unavailable because it violates the Twitter Media Policy. Learn more.","Wed Oct 10 22:09:14 +0000 2018",42,111,952,3643,,,Disabled,"Not verified",,"Not protected",
"Timmy Timson",pancoVilla88,"ID 388158374",," ","Mon Oct 10 08:56:20 +0000 2011",243,901,5546,108051,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1599361464099377153/c8okNAtE_normal.jpg
"/pol/ News Network ⏳",PolNewsupdates,"ID 921035226469535745",," We do not affiliate with organizations that use or promote violence against civilians to further their causes. https://t.co/quBz7lwSYI https://t.co/1hhrzDjWy7","Thu Oct 19 15:28:04 +0000 2017",15663,76,2065,677,http://keybase.io/pnn,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/942793910279135232/x7Il7thG_normal.jpg
"Fuck Every Word 2.0",fckeveryword,"ID 944864788336824321",," Fuck every word in the English language. Task did complete in 2020.
Rip @fuckeveryword. This is an attempt by @Anka213 to resurrect it.","Sun Dec 24 09:38:15 +0000 2017",271919,5,86818,53,https://github.com/anka-213/fuckeveryword,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/944874497710219264/X0_QAoxM_normal.jpg
"Fifteen Squirrels",15Squirrels,"ID 959167541276004352",," Red Pilled -  Lab Geek - That which can be destroyed by the truth, should be - Squirrels are tennis balls thrown by God.","Thu Feb 01 20:52:17 +0000 2018",56,188,51,1820,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1241413984382836739/Q_hNEEDS_normal.jpg
"Trueman Jaggar",JaggarTrueman,"ID 1060610293708083201","Point 211"," I live to see man-made horrors beyond your comprehension.","Thu Nov 08 19:09:33 +0000 2018",5,0,88,862,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1066475682958577664/gW-TYYSx_normal.jpg
"Smirking Damsel",SmirkingDamsel,"ID 960631725230616576",England," 🌳🇻🇦☩🌻🏴󠁧󠁢󠁥󠁮󠁧󠁿🌿","Mon Feb 05 21:50:25 +0000 2018",1528,317,1064,20373,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1604595323447480321/QSvz8pET_normal.jpg
