Name,"Screen name","Twitter ID",Location,Biography,"Created date",Followers,Following,Tweets,Favorites,Website,"Time zone",Geo-enabled,Verified,Language,Protected,"Profile image URL"
"Michael Malice",michaelmalice,"ID 44067298",Austin," Author: Dear Reader, The New Right, The Anarchist Handbook & The White Pill 
Host: ""YOUR WELCOME"" 
Subject: Ego & Hubris by Harvey Pekar
He/Him ⚑","Tue Jun 02 05:35:52 +0000 2009",596879,1001,153574,4644,https://amzn.to/3oInafv,,Enabled,Verified,,"Not protected",https://pbs.twimg.com/profile_images/1415820415314931715/_VVX4GI8_normal.jpg
"Clint Eastberg",ClintEastberg,"ID 826548801246740480","Comet Pizza"," For a few shekels more. Janet Yellen's BDSM Advisor. BEWARE GOYIM","Tue Jan 31 21:52:45 +0000 2017",37,156,1666,6308,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/826582144470413313/awiSmPhI_normal.jpg
santino,santinodela,"ID 2287480158",," ","Sun Jan 12 02:11:39 +0000 2014",1818,333,3374,16360,,,Enabled,"Not verified",,Protected,https://pbs.twimg.com/profile_images/1326221652154220544/sGBZPPmv_normal.jpg
Johnny,JohnnyKnowledge,"ID 717485087562960896","North America"," Here to relax. A White Guy. WN. #14Words / #88Precepts. #110.","Tue Apr 05 22:52:29 +0000 2016",190,180,10085,6678,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/751634932003246080/tQ3dQbNE_normal.jpg
"Pink Matter",senseiwentquiet,"ID 4375732815",," ","Fri Dec 04 20:43:09 +0000 2015",10,25,131,132,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/672880280911396864/z42odvbk_normal.jpg
"korone incitatus",ConsulIncitatus,"ID 4914071150",," amazing meatball","Tue Feb 16 03:43:47 +0000 2016",285,368,64286,23569,,,Disabled,"Not verified",,Protected,https://pbs.twimg.com/profile_images/1306791780411604992/lcPqiJQ7_normal.jpg
"T H I C C A R U S",thot_crimes420,"ID 830172527045419009",," ","Fri Feb 10 21:52:09 +0000 2017",40,230,901,6738,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/945127465067749376/zjRX1dj9_normal.jpg
Vladik,russianwhales,"ID 1539831980",," 👍🇷🇺🇧🇾👍","Sun Jun 23 00:59:08 +0000 2013",364,483,17446,33650,,,Enabled,"Not verified",,Protected,https://pbs.twimg.com/profile_images/1428380534103756803/pSvXsWCI_normal.jpg
"Harmless Snake",CptSnek,"ID 833229686301827072","Among the trees"," ","Sun Feb 19 08:20:12 +0000 2017",626,2447,28572,186304,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1610542085765226496/-2vUG9aE_normal.jpg
"Honorable Caligula",ThyHonorable,"ID 825894473297252352","Ancient Rome"," Youtuber, I talk about history.","Mon Jan 30 02:32:41 +0000 2017",1027,1734,185,269,https://www.youtube.com/c/TheHonorableCaligula,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/922667280479158272/ho9-E-Ip_normal.jpg
"Elizabeth Bruenig",ebruenig,"ID 1471542956",," Christian. Mother. Avid partisan of humankind. Usually joking. Staff writer at @TheAtlantic. Alum: @NYTimes, @WashingtonPost. Tips: elizabeth.bruenig@gmail.com","Fri May 31 07:06:34 +0000 2013",208009,4874,35,328586,https://www.elizabethbruenig.com/,,Disabled,Verified,,"Not protected",https://pbs.twimg.com/profile_images/1600950916483522567/FrUfECVD_normal.jpg
"Dress Gordon",fashgordon,"ID 4004059573",Christendom," I see patterns everywhere.","Sat Oct 24 16:23:21 +0000 2015",121,254,4078,2181,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1320440150845894657/jy9drzvp_normal.jpg
"dr. strangerei",EyeAmStrongest,"ID 601701822","In the Ether"," Rei#2802","Thu Jun 07 06:34:37 +0000 2012",370,153,166477,161238,https://fauux.neocities.org/ether.html,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1533322408110608384/oo92HleN_normal.jpg
"Gab Report",RienholdO,"ID 757782194341371904","Gab cyber world"," Now on GabAI @RienholdO
   
Most likely shadow banned on Twitter.","Tue Jul 26 03:38:49 +0000 2016",432,931,26346,21199,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/952328412558954496/6EC3q1Jq_normal.jpg
"Scott Greer 6’2” IQ 187",ScottMGreer,"ID 599817378",," Just a Settler on Twitter. Highly respected Daily Caller alum. Author of No Campus for White Men. Host of Highly Respected","Tue Jun 05 02:00:29 +0000 2012",139826,801,57775,21018,https://www.youtube.com/highlyrespected,,Disabled,Verified,,"Not protected",https://pbs.twimg.com/profile_images/922462562075250688/9sYJaPoo_normal.jpg
"ᴇᴀʀᴛʜ ᴇᴀᴛᴇʀ",D1C0MM,"ID 1694945473",Arizona," pseudo reality       ▇▛ ̿/̵͇̿̿/’̿’̿ ̿\ ̿ ̿ ̿ ̿ ̿‾‾‾      southwest future @hiumri

                                     Merch🔻","Fri Aug 23 22:14:34 +0000 2013",58268,5257,103440,270231,https://teespring.com/stores/earth-eaters-store,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1601214681770704901/zF-tf9be_normal.jpg
"Teiai Financial, KK.",Super4KanchoHD,"ID 3183631639",," this katsu bowl is too large","Sun May 03 03:10:25 +0000 2015",351,306,7770,12072,,,Disabled,"Not verified",,Protected,https://pbs.twimg.com/profile_images/1075161997468065793/XaUAjI4E_normal.jpg
"Jeremey Wright",JWright100000,"ID 832866524637560833","San Francisco, CA"," hello twitter. post lit.","Sat Feb 18 08:17:08 +0000 2017",78,0,1329,41961,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/851297465693286400/8_xbZ_61_normal.jpg
"La Pino",_lapino,"ID 4704203639",," depression stan account // merde hypersensible // ceci est un journal intime.","Mon Jan 04 11:09:01 +0000 2016",60,72,1079,11057,,,Disabled,"Not verified",,Protected,https://pbs.twimg.com/profile_images/1425062203091263513/ynvC35QA_normal.jpg
"Axel Stone",OatmealMike,"ID 773606018194481152","The city"," ","Wed Sep 07 19:37:02 +0000 2016",24,87,1594,1570,https://www.amazon.com/King-Warrior-Magician-Lover-Rediscovering/dp/0062506064,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/847562215423193096/htEIMM9H_normal.jpg
"Asgeirr Hansson",AsgeirrHansson,"ID 952599277","Sapporo City"," Ockham's razor. Aryan (haplogroup R1a:n, phonetically ˈɛərjən). #hbd gab: https://t.co/12okxFiAsC","Fri Nov 16 23:32:22 +0000 2012",165,212,6085,21214,http://www.counter-currents.com/2014/02/white-extinction/,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1083626713794445312/CenYZdyU_normal.jpg
"Muddee Waters",LovinEvryLaugh,"ID 832970658170671104","United States"," Twitter sucks","Sat Feb 18 15:10:55 +0000 2017",8,122,826,1977,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/832971035007815680/wEKgZkqQ_normal.jpg
"Dr President-Elect Turning Point Tim Buktu",MichiganWave,"ID 795832924537032704","In the North, On the Shore"," Nationalist.  For Strong Borders between Nations, & Self-Determination of the Founding Stocks within Nations. 
Anti-Scale, Anti-Corruption. Gab: @polarvortex42","Tue Nov 08 03:38:49 +0000 2016",2186,2817,63694,160804,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/820786483858640896/agrt9oqb_normal.jpg
