Name,"Screen name","Twitter ID",Location,Biography,"Created date",Followers,Following,Tweets,Favorites,Website,"Time zone",Geo-enabled,Verified,Language,Protected,"Profile image URL"
"Rufus T Firefly",RTFireflyEsq,"ID 1524050164490637312","The Great Satan"," Not a nihilist, just an extreme pessimist","Tue May 10 15:34:33 +0000 2022",251,684,5729,44916,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1589666439006404609/iAzMxRLZ_normal.jpg
doglover4ever,doglover4everXO,"ID 1620832674452766720",," Just a guy and his dog","Wed Feb 01 17:13:29 +0000 2023",5,79,20,66,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1620836719527604225/zf4TdgiZ_normal.jpg
"British American",JohnHar34897632,"ID 1229630497040416769",," The Anglosphere forever.","Tue Feb 18 04:55:49 +0000 2020",1181,3652,5100,53171,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1251775116532277248/tvq3FMkX_normal.jpg
"Riley Moore",RileyMooreWV,"ID 1346883186","Harpers Ferry, West Virginia"," Candidate for Congress (WV-2), WV State Treasurer, welder, father, husband, & lifelong Mountaineer fan. Retweet≠endorsement.","Fri Apr 12 14:00:05 +0000 2013",30171,4010,4330,4140,http://www.mooreforwv.com,,Enabled,Verified,,"Not protected",https://pbs.twimg.com/profile_images/1354938313187143680/KAY4d1tS_normal.jpg
"TeX Southron X",Southron_X,"ID 852287221281550336",Weimerica," White/Southern Nationalist; Proud descendant of Aryan peoples
#WhiteLivesMatter #LeagueOfTheSouth #WhitExit #DixiExit","Wed Apr 12 22:28:03 +0000 2017",245,1179,205,452,https://gab.com/nativetexian,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1617248207142100993/w5j6-diO_normal.jpg
"CzarOfIdaho 💋/ SpudRuckus",StormyHardin14,"ID 1407586493489553410",," To compel a man to subsidize with his
taxes the propagation of ideas which he
Disbelieves and abhors is sinful and tyrannical. 
-Thomas Jefferson","Wed Jun 23 06:31:04 +0000 2021",916,1728,20185,13535,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1594587118646726656/IRo5xIpq_normal.jpg
"Adele Moskowitz",AdeleMoskowitz9,"ID 1546603038718103552",," ","Mon Jul 11 21:12:04 +0000 2022",151,1767,9155,3807,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1601681952586625024/JrDxs7D8_normal.jpg
Char,char_ga_e_all,"ID 1614034599327240194","Occupied Nation"," No apologies. Deo Vindice","Fri Jan 13 23:00:30 +0000 2023",28,82,53,80,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1614723238277283841/aKcJaXdx_normal.jpg
"ᛉ𝕮𝖔𝖑𝖎𝖓ᛉ 🇮🇪",F_CKOUTTAHERE4,"ID 1422123204768845827",," ","Mon Aug 02 09:13:02 +0000 2021",22,216,3,0,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1614711853132685313/ytChHrQI_normal.jpg
"John Riley",TheJohnRiely,"ID 1590020807484325888",," Very jaded by life. Overdosed on black pills.","Tue Nov 08 16:39:54 +0000 2022",526,1835,2067,1562,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1597450765181759489/pCdC_kAH_normal.jpg
