Name,"Screen name","Twitter ID",Location,Biography,"Created date",Followers,Following,Tweets,Favorites,Website,"Time zone",Geo-enabled,Verified,Language,Protected,"Profile image URL"
"Rep. Marjorie Taylor Greene🇺🇸",RepMTG,"ID 1344356576786866176","Rome, GA"," Christian, Mother, American, Business Owner, and Congresswoman representing Georgia’s 14th District","Wed Dec 30 18:57:01 +0000 2020",1897781,320,3441,1965,http://Greene.House.gov,,Enabled,Verified,,"Not protected",https://pbs.twimg.com/profile_images/1549758722989334529/v73AhyQ5_normal.jpg
"charles, 90 IQ🇻🇦🇺🇸",stasisrespecter,"ID 1001912929766305792",," Through force of genius and rapidity of action, supreme at doing the right thing at the right time.","Wed May 30 19:47:11 +0000 2018",134,415,5220,15404,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1207057567387652096/jlKiF8xX_normal.jpg
"Matt Lanza",mattlanza,"ID 16752675","Houston, TX"," Dad x2, husband, managing editor/meteorologist for @SpaceCityWx in #Houston. @RutgersU alum. Weather, history, books, sports cards. Opinions are mine alone.","Wed Oct 15 02:25:36 +0000 2008",44304,8518,110138,146780,https://linktr.ee/mattlanza,,Enabled,Verified,,"Not protected",https://pbs.twimg.com/profile_images/1501346956089647112/x5PBH9z6_normal.jpg
"Eric Berger",SpaceCityWX,"ID 3980516359","Houston, TX"," Hype-free forecast and weather information for the greater Houston area. Powered by Reliant.","Thu Oct 22 13:17:51 +0000 2015",65868,83,8938,4686,http://www.spacecityweather.com,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1327989585977233413/9x-GsEKN_normal.jpg
"Dudes Posting Their W’s",DudespostingWs,"ID 1354228711466426369","Based "," Ironically Funny and Wholesome. DMs open for submissions 🥂","Wed Jan 27 00:44:29 +0000 2021",2123625,1,1257,21,https://instagram.com/dudespostingtheirws?igshid=YmMyMTA2M2Y=,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1367964595713871878/hS9vIlVp_normal.jpg
"Sal the Agorist",SallyMayweather,"ID 114060003","Tampa, FL"," Agorist. Cypherpunk. Disintermediator. Crypto-Anarchist. Rothbardian. pod :: The Agora. blog :: New Libertarian. #logic #revisionism #countereconomics","Sun Feb 14 00:21:41 +0000 2010",178540,16841,101157,78930,http://saltheagorist.com,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/672473329089974272/tgcqYXDU_normal.png
"Not the Bee",Not_the_Bee,"ID 1299007622968901637",," What a time to be alive","Thu Aug 27 15:35:37 +0000 2020",286995,152,14202,0,https://notthebee.com/,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1299007907623825411/Vo7e-cEQ_normal.jpg
Draperwave,draperwave,"ID 1321499645697159168",," ","Wed Oct 28 17:10:53 +0000 2020",29,279,1422,5909,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1552700795207892992/yiYj2woZ_normal.jpg
"Fenix Ammunition",FenixAmmunition,"ID 956543009658671104","Novi, MI"," The premier ammunition supplier for the Militia Industrial Complex. Self defense is a human right.  Come for the ammo, stay for the memes.","Thu Jan 25 15:03:20 +0000 2018",46144,556,16993,39070,http://www.fenixammunition.com,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1010354868379365376/iq5Oy5oS_normal.jpg
"Michael Foster",realmfoster,"ID 904809776454000641",," Pro-greatness. Anti-decline.","Mon Sep 04 20:53:56 +0000 2017",5183,2406,5532,36359,https://www.breitbart.com/author/mfoster/,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1584625085922648067/ICxIxPwc_normal.jpg
