Name,"Screen name","Twitter ID",Location,Biography,"Created date",Followers,Following,Tweets,Favorites,Website,"Time zone",Geo-enabled,Verified,Language,Protected,"Profile image URL"
"Louie Verrecchio",LouieVerrecchio,"ID 50508101","Hampstead, MD USA"," Traditional Catholic author, columnist, and speaker. Blogger at https://t.co/84yvs5UNHP","Thu Jun 25 01:25:45 +0000 2009",2188,355,1613,205,http://www.akaCatholic.com,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1559901299004641281/QJVh_oUK_normal.jpg
"Martin McAvoy",MartinMcAvoy_,"ID 1416212479865196545",London," You may drive out Nature with a pitchfork, yet she still will hurry back!","Sat Jul 17 01:47:45 +0000 2021",1662,1704,6292,22811,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1416221870211444736/lawNlGtd_normal.jpg
"American Jewish Committee",AJCGlobal,"ID 183767243","Global Jewish Advocacy"," AJC's mission is to enhance the well-being of the Jewish people and Israel, and to advance democratic values in the United States and around the world.","Fri Aug 27 21:09:31 +0000 2010",456871,749,28092,5142,https://www.ajc.org/whoweare,,Enabled,Verified,,"Not protected",https://pbs.twimg.com/profile_images/1580304590758617092/dfM_RODp_normal.jpg
"Michael J. Matt",Michael_J_Matt,"ID 1148711615686160384",," Editor of The Remnant Newspaper https://t.co/EySuNsBvEq 
Founder of Remnant TV https://t.co/o9i0KMgkLO","Tue Jul 09 21:52:45 +0000 2019",30831,74,3772,462,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1148711819479068675/ZkGMgp3s_normal.jpg
"The New York Jewish Week",NYJewishWeek,"ID 19027427","New York, NY"," The New York Jewish Week is the premier news site for North America’s largest, most diverse Jewish community.","Thu Jan 15 16:27:30 +0000 2009",43584,1702,39305,3996,http://nyjewishweek.org,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1490758587555061760/bDBnkunv_normal.jpg
"Dissident Mama",Dissident_Mama,"ID 803420516438724608","American by birth, Southern by the grace of God"," Smashing sacred cows with a bang, not a whimper.","Tue Nov 29 02:09:12 +0000 2016",1933,1335,6663,17705,http://www.dissidentmama.net/,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/881369194226429953/niAJAIv5_normal.jpg
"David L. Gray (Pro-Life + Anti-Capital Punishment)",DavidLGray_INFO,"ID 189191018","Kaiserlautern, Germany"," President and Publisher of Saint Dominic's Media | Catholic Theology Instructor | ΩΨΦ | K-Drama 💜 | Living in 🇩🇪 | WEB: https://t.co/EKvcj6qnRN |","Fri Sep 10 16:26:41 +0000 2010",3101,536,22955,12545,http://www.davidlgray.info/,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1537626318166183937/WKejlBLL_normal.jpg
"Jewish News",JewishNewsUK,"ID 24723039",London," 📰 FREE WEEKLY NEWSPAPER OF THE YEAR 2021/22 🏆
https://t.co/nI1NtHy0L4… 📧: editorial@jewishnews.co.uk","Mon Mar 16 16:48:05 +0000 2009",46900,734,53490,6272,http://www.jewishnews.co.uk,,Disabled,Verified,,"Not protected",https://pbs.twimg.com/profile_images/1589521996618121217/j_HWAiYc_normal.jpg
"Jewish Journal",JewishJournal,"ID 23102350","Los Angeles, CA"," Your source for news and commentary on Jewish people, places, and things.","Fri Mar 06 18:57:41 +0000 2009",47558,646,36579,2868,http://www.jewishjournal.com,,Enabled,Verified,,"Not protected",https://pbs.twimg.com/profile_images/875466283411578880/RfxONdJ8_normal.jpg
"Cardinal Burke",cardinalrlburke,"ID 1090755703717933056","Rome, Lazio"," Founder of the Shrine of Our Lady of Guadalupe at La Crosse. Archbishop Emeritus of St. Louis. Former Prefect of the Apostolic Signatura.","Wed Jan 30 23:36:39 +0000 2019",50762,2,96,5,http://cardinalburke.com,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1090801718147846150/p-px6APP_normal.jpg
"JTA | Jewish news",JTAnews,"ID 14276734","New York, NY"," Delivering Jewish news from around the world since 1917. Got a news tip? Send it here: https://t.co/zdBusGev5o","Tue Apr 01 18:04:24 +0000 2008",122109,836,76441,499,http://jta.org,,Disabled,Verified,,"Not protected",https://pbs.twimg.com/profile_images/1356997639745785857/6C5_BgpJ_normal.jpg
"The Jewish Chronicle",JewishChron,"ID 26799530",London," The world's oldest and most influential Jewish newspaper. Since 1841.  https://t.co/4Q4MrVqlFQ","Thu Mar 26 17:30:18 +0000 2009",79576,587,50317,207,https://www.thejc.com,,Enabled,Verified,,"Not protected",https://pbs.twimg.com/profile_images/1572144132465754113/CwzSyyI9_normal.jpg
"James O'Keefe",JamesOKeefeIII,"ID 16989178","New York"," Guerrilla Journalist, Project Veritas & Project Veritas Action. On the Inside? veritastips@protonmail.com or send us an encrypted Signal message at 914-653-3110","Mon Oct 27 00:38:24 +0000 2008",1091559,1381,18865,2798,https://projectveritas.com/donate,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1303410639264772099/ie5JieKC_normal.jpg
cozy.tv,cozytvofficial,"ID 1596618068767264771",," The official Twitter account for https://t.co/FkxH0carJ1!","Sat Nov 26 21:33:33 +0000 2022",5469,1,9,1,http://cozy.tv/about,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1604191366619090944/HrPc0BK-_normal.jpg
"George Neumayr",george_neumayr,"ID 4405356737",," American Spectator senior editor and author of The Political Pope and The Biden Deception","Mon Dec 07 13:49:53 +0000 2015",10818,4825,4254,1579,https://www.gofundme.com/f/george-neumayr039s-journalism-fund?pc=tw_co_share_m&rcid=r01-15614098344-,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1612368448431980545/dHfEhWJS_normal.jpg
"Baked Alaska",bakedalaska,"ID 108465379","west palm beach"," j6 prisoner | i love everyone ❤️ | YE24","Tue Jan 26 01:21:42 +0000 2010",130206,226,36334,131728,https://givesendgo.com/bakedalaska,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1602066678556262401/Dd8K3bcO_normal.jpg
"Guide to Kulchur",real_gtk,"ID 1201935772158439425",," Deconstructing narratives and revaluating values.
► https://t.co/DlrK5pZayz
► https://t.co/sKJwMbze2p","Tue Dec 03 18:47:02 +0000 2019",4648,448,6499,11202,https://gtkradio.com/,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1438883954812243968/GzgpzuTv_normal.jpg
"Robert F. Kennedy Jr",RobertKennedyJr,"ID 337808606","Los Angles, California"," Robert F. Kennedy, Jr. is founder, chairman + chief legal counsel for @ChildrensHD + founder of @Waterkeeper Alliance + served as longtime chairman and attorney","Mon Jul 18 16:22:27 +0000 2011",754920,669,5605,122,https://childrenshealthdefense.org/defender/,,Enabled,Verified,,"Not protected",https://pbs.twimg.com/profile_images/1087140192459390977/RtmXrwHO_normal.jpg
"Project Veritas",Project_Veritas,"ID 850036892","Westchester, NY"," We're back. Send us tips/become a whistleblower. Secure contact: VeritasTips@protonmail.com RTs ≠ Endorsements","Thu Sep 27 22:08:18 +0000 2012",1456260,1092,10683,2665,http://projectveritas.com,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/974369108321095680/T0_h7cu7_normal.jpg
