Name,"Screen name","Twitter ID",Location,Biography,"Created date",Followers,Following,Tweets,Favorites,Website,"Time zone",Geo-enabled,Verified,Language,Protected,"Profile image URL"
"Gun Tile",gun_tile,"ID 1521580415370379264",," 33","Tue May 03 20:00:26 +0000 2022",39,454,158,315,,,Disabled,"Not verified",,"Not protected",https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png
Albionist,albionistus,"ID 1600660706805833730",," ","Thu Dec 08 01:17:16 +0000 2022",242,672,1320,2752,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1600663608328916993/pKugdePF_normal.jpg
Goderic,Goderic_44,"ID 1583180655189495817","Ile-de-France, France"," Homme. Catholique. Européen. Nationaliste. 
L'UE n'est pas l'Europe.
Tweets en 🇨🇵🇩🇪🏴󠁧󠁢󠁥󠁮󠁧󠁿","Thu Oct 20 19:38:09 +0000 2022",109,576,1227,4342,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1583180929253707795/w8NKpnZN_normal.jpg
"Charles Richards",MrCharlesTweet,"ID 1587904660358270976","England "," ""My fellow white people ""","Wed Nov 02 20:29:44 +0000 2022",8,104,10,7,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1587922255010582528/LCYcp0MA_normal.jpg
"Dave Davidson",DaveDav22700028,"ID 1553788590739673089",Angleterre," Dave Whiteman","Sun Jul 31 17:04:12 +0000 2022",145,1124,0,2025,,,Disabled,"Not verified",,"Not protected",https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png
"Alfred Jones",EbeneezerGoode2,"ID 345317049",," Howling into the void.","Sat Jul 30 11:39:41 +0000 2011",793,722,12062,22034,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1536749497509941249/99aTcR2C_normal.jpg
daB4sed,dab4sed,"ID 1592612662550085637",," ⳩ ΙΗΣΟΥΣ ΧΡΙΣΤΟΣ NIKAΩ ☦
Let's talk big. Let's think bigger. Truth is simple and beautiful.","Tue Nov 15 20:21:48 +0000 2022",171,573,913,6553,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1592632649050357766/8tRMwzGd_normal.jpg
"Adele Moskowitz",AdeleMoskowitz9,"ID 1546603038718103552",," ","Mon Jul 11 21:12:04 +0000 2022",151,1767,9155,3807,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1601681952586625024/JrDxs7D8_normal.jpg
Stan1,s_stan1,"ID 1254857421891284995",," Nationalist: love, truth, beauty, friendship & meaning. 
Like a cup of tea? - https://t.co/3VY0lFL5xK
Keep clean? - https://t.co/pa3tDjj5Xg","Mon Apr 27 19:38:27 +0000 2020",3641,4131,8657,36264,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1254857663785115649/Xmdwb-NW_normal.jpg
Mazarati,Mazarati22,"ID 1575912534523232268",," 🏴󠁧󠁢󠁥󠁮󠁧󠁿🇬🇧👍","Fri Sep 30 18:17:03 +0000 2022",176,476,107,3068,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1580805096501288960/7ZW40X6u_normal.jpg
