Name,"Screen name","Twitter ID",Location,Biography,"Created date",Followers,Following,Tweets,Favorites,Website,"Time zone",Geo-enabled,Verified,Language,Protected,"Profile image URL"
𝖄𝖊²⁴🌐,CampaignYe24,"ID 1586117057929781248",," Would you believe in what you believe in if you were the only one who believed it? ...

Love Everyone ❤","Fri Oct 28 22:06:10 +0000 2022",101,1524,21,34,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1611606903582228480/8bJbKDuA_normal.jpg
nobody-san,nobdysan,"ID 1509899108848341001",," desktop browsing","Fri Apr 01 14:23:07 +0000 2022",8,252,70,341,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1510305078699167744/4IikNSSm_normal.jpg
JPBP,SocialHandbird,"ID 244299859","California, USA"," ","Sat Jan 29 00:37:25 +0000 2011",350,2302,2014,118246,,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1363791382607917059/EQYCO66t_normal.jpg
"Apple Pie cream Puff",Blueyecu,"ID 1449411277806190594",," Lets take the world back by calling them out","Sat Oct 16 16:26:44 +0000 2021",22,551,571,592,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1621548719681445888/DRLD25z6_normal.jpg
Chudworldorder,chudworldorder,"ID 1621664499575947266",," ","Sat Feb 04 00:18:50 +0000 2023",1,24,0,2,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1621664574255632384/X-AFNSfD_normal.jpg
Adolf💂🏿‍♂️🙋🏿‍♂️,AryanNigger1,"ID 1612303517007450112",Hyperborea," raw milk enjoyer","Mon Jan 09 04:21:53 +0000 2023",0,1280,0,1340,,,Disabled,"Not verified",,Protected,https://pbs.twimg.com/profile_images/1621644921076682760/G-GQCa2y_normal.jpg
"Zack lighting",LightingZack,"ID 1593143967599628288",," I love my fans and friends and family and I hope to save them by telling them the truth about the world the truth must be heard just keep them from The matrix","Thu Nov 17 07:28:45 +0000 2022",154,1252,113,25,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1616566696336330752/Wp1HGcul_normal.jpg
mike,Mike81621912,"ID 1174380308722008064","South East, England"," priv","Wed Sep 18 17:51:08 +0000 2019",0,1635,2985,475,,,Disabled,"Not verified",,Protected,https://pbs.twimg.com/profile_images/1545940754983522304/WWmLNokX_normal.jpg
"Jeremy Crocker",Crocker_JM,"ID 237128141","Alberta, Canada"," This is a car Twitter now","Wed Jan 12 04:05:53 +0000 2011",129,135,9407,11371,,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/888235040320114689/X-PmjoLl_normal.jpg
"Kendrid Spirit",kendridspirit1,"ID 1579917132602777600",," I know how to spell Kindred Spirit.","Tue Oct 11 19:30:09 +0000 2022",333,2198,1606,2369,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1589748700682780673/kebYMu7U_normal.jpg
