Name,"Screen name","Twitter ID",Location,Biography,"Created date",Followers,Following,Tweets,Favorites,Website,"Time zone",Geo-enabled,Verified,Language,Protected,"Profile image URL"
"Maximilian Hauser",realMaximilianH,"ID 1594076437392330754",," ","Sat Nov 19 21:17:49 +0000 2022",41,117,295,3953,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1594399993850380288/qq1BQO-t_normal.jpg
"Alexander the Great",leadpacer,"ID 261718546","Miami, FL"," old school","Sun Mar 06 15:11:22 +0000 2011",6552,779,54872,120058,,,Enabled,"Not verified",,Protected,https://pbs.twimg.com/profile_images/1484006107546898432/w_DkhdwR_normal.jpg
7homas777_OFFICIAL,REAL_7homas777,"ID 1615703774286254080","Chicago "," AKA 'The Ruthless Villain '. PECKERWOOD, Heart Breaker, ROCK N ROLL TERRORIST, EBK SERIAL THRILLA, Soldier of the Apocalypse, FULL TIME DISSIDENT","Wed Jan 18 13:33:03 +0000 2023",3961,163,344,351,http://RealThomas777.substack.com,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1615703970525384709/PWJAGJMv_normal.jpg
Josiah,josiahreborn777,"ID 1618374768494788610",," Anti-communist | Columnist at American Greatness | PhD student

https://t.co/YMI2Rx5LJO","Wed Jan 25 22:26:41 +0000 2023",1428,274,204,705,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1618374906231640064/cY-lAhK-_normal.jpg
"Saagar Enjeti",esaagar,"ID 408806531","Washington, DC"," Co-Host of Breaking Points with Krystal and Saagar and The Realignment Podcast","Wed Nov 09 22:29:42 +0000 2011",403140,3546,10282,33410,http://breakingpoints.com,,Enabled,Verified,,"Not protected",https://pbs.twimg.com/profile_images/1103691147497615363/Xjx6lUoN_normal.png
"Shelby Foote Appreciator⚓️",NoJesuitTricks,"ID 411283452","Hid with Christ in God"," Anglican ☧ | Proud Southerner | EIC @magnoliasmag | Words @amconmag @firstthingsmag @amreformer @abbevilleinst @mereorthodoxy @im_1776 etc","Sun Nov 13 06:44:42 +0000 2011",21417,361,50522,62946,https://nojesuittricks.substack.com/,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1544411638396338178/YxxLYEQI_normal.jpg
"V 𓁼",pope_head,"ID 1438395644104908802","Babylon "," Subscribe to my substack: https://t.co/R1cTYajEVn

Anti Defamation League Rising Star Award recipient","Thu Sep 16 06:53:48 +0000 2021",34258,650,11082,15737,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1588098322358829058/eHRGcANW_normal.jpg
"Misha Saul",misha_saul,"ID 4652435852","Sydney, New South Wales"," Know the element of irreducible rascality in yourself 

🎙Eureka podcast
✍️Kvetch Substack
🚀Investor","Sat Dec 26 01:32:01 +0000 2015",3927,994,23630,109859,https://linktr.ee/mishasaul,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1525745390313611264/mB5YWFcJ_normal.jpg
"End Wokeness",EndWokeness,"ID 1552795969959636992",," Fighting, exposing, and mocking wokeness","Thu Jul 28 23:20:28 +0000 2022",556678,756,3374,2630,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1563691268793946117/OedvhFeS_normal.jpg
"Anna Khachiyan",annakhachiyan,"ID 27696764","New York, NY"," I've leaned in and I can't get up","Mon Mar 30 18:22:07 +0000 2009",127640,287,31465,49267,https://www.patreon.com/RedScare,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/595451800846602240/dSq2YDVo_normal.jpg
