Name,"Screen name","Twitter ID",Location,Biography,"Created date",Followers,Following,Tweets,Favorites,Website,"Time zone",Geo-enabled,Verified,Language,Protected,"Profile image URL"
GrillWinning,GrillWinning,"ID 1596300590744600577",," ","Sat Nov 26 00:31:43 +0000 2022",203,122,1697,3470,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1609676608780267520/a4LfaSHC_normal.jpg
Sousa,uchoapsos,"ID 3346120463","Land of santa cruz"," morando no sul e comendo apenas carne vermelha.","Fri Jun 26 00:24:59 +0000 2015",1349,517,4,1032,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1621202161014116353/ooRlezy3_normal.jpg
"Ghost of Centralia",ghst_centralia,"ID 1039969713953103872","silent hill"," Hi","Wed Sep 12 20:11:16 +0000 2018",262,1252,11867,27515,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1610290218262831107/fKwwyo5O_normal.jpg
℗,legochrist,"ID 1526568451044777998","🚂 ✞ ☤"," ","Tue May 17 14:21:10 +0000 2022",779,672,27874,95138,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1586523579331629057/9VZFDQ0__normal.jpg
"Mr World",MrWWide,"ID 973122455945469952",," Some people say it don't really be like it is but it do.","Mon Mar 12 09:04:08 +0000 2018",240,320,8474,131101,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/973852109748629504/hecg-vNY_normal.jpg
"Bronze Age Fren",h0edisrespecter,"ID 1614206234290229249",," Frog amon frogs, Fren amon frens. thoughts while watching the collapse","Sat Jan 14 10:22:31 +0000 2023",17,230,81,84,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1614634127126298625/bzrE6LcF_normal.jpg
"Aryan Thunder",aryan_thunder,"ID 1214232737575391238","Lindy Table"," 16HLer | Comfy WFH nationalist | Bitcoin maximalist. Powerlifter, strongman, martial arts athlete | Tom Platz of traps | Preworkout connoisseur","Mon Jan 06 17:10:43 +0000 2020",165,208,2143,1157,,,Disabled,"Not verified",,Protected,https://pbs.twimg.com/profile_images/1563755406744514560/j_ewt76M_normal.jpg
"Reject Metric",MetricReject,"ID 1337852270873088004",," Born too late to build battleships | Born too early to build space battleships | Born just in time to shitpost about battleships on the internet","Sat Dec 12 20:10:23 +0000 2020",847,589,9180,141744,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1337852427664547853/_BVJMEg5_normal.jpg
"Wandering Cryptid",CastIronWendigo,"ID 1587697283113648128",," just a silly little guy goofing in the woods","Wed Nov 02 06:47:02 +0000 2022",59,157,418,3214,,,Disabled,"Not verified",,Protected,https://pbs.twimg.com/profile_images/1615140053155549187/wQ4p_wPH_normal.jpg
"🌲SquirmyWormy 🪱🐟",SquirmyWormy69,"ID 1385387445114519553",," I like to go fishing. All the best fishing is posted. Professional trespasser.","Fri Apr 23 00:18:53 +0000 2021",161,185,1328,7410,,,Disabled,"Not verified",,Protected,https://pbs.twimg.com/profile_images/1421959452144640002/KxAvwszC_normal.jpg
Thomas,Chud__Meridian,"ID 1468100244831363077","Salusa Secundus"," This was revealed to me in a Daydream
Rand-McNally Salesman - Christian — Unreconstructed American - Belisarian Progressive — Culinary Extremist","Tue Dec 07 06:09:15 +0000 2021",629,1073,4712,19218,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1600000044832358400/bfq7a2h-_normal.jpg
"Van Eyck",ludwig_van_eyck,"ID 874032944045858816",USA," Be as wise as serpents and innocent as doves. Matthew 10:16 ✝️🇻🇦🇺🇸","Sun Jun 11 22:37:47 +0000 2017",1481,200,1582,6601,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1600850627378257920/_2kW0E2p_normal.jpg
