Name,"Screen name","Twitter ID",Location,Biography,"Created date",Followers,Following,Tweets,Favorites,Website,"Time zone",Geo-enabled,Verified,Language,Protected,"Profile image URL"
"Ryan Turnipseed 🦬",TurnipMerchant,"ID 881920920885112832","Best State in the Union"," Renowned nonexistent Luthero-Papist | Also named Nathan(???) | “We had a new user post here that Mr. Turnipseed is a real person. What evidence is there?”","Mon Jul 03 17:01:47 +0000 2017",4911,513,7060,21590,https://findmyfrens.net/ryanturnipseed/,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1611597775027716096/9SthfWS2_normal.jpg
"DAILY School Fights 🥊",SchoolFights4U,"ID 1541024245412683776",," Follow to see daily school fight videos | DM for Submissions | Secondary Account: @DAILYFIGHTS4U | DM for Promotion & Business","Sun Jun 26 11:43:43 +0000 2022",539641,69,465,65,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1541027060470239239/e3vc5etW_normal.jpg
💬,TeeExTee,"ID 994352010068668416",Djibouti," As seen in New York Post and Huffington Post.","Wed May 09 23:02:48 +0000 2018",2331,1372,72447,225633,http://geocities.com,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1609239404761030672/IEXdqtPy_normal.jpg
Porsalin,Porsalin,"ID 1328744376","Bane Realm"," Documenting the unfortunate mishaps of podcasters, comedians and e-celebrities as they attempt to navigate our online world ☼","Fri Apr 05 09:09:18 +0000 2013",2945,157,132,0,http://youtube.com/@porsalin,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1621690649031442432/uQqfjTEp_normal.jpg
"Vince Dao Media",VinceDaoMedia,"ID 1619852272988557312","Jacksonville, FL"," Official Brand Account of Vince Dao Media • Business Inquiries: vincedaotv@gmail.com","Mon Jan 30 00:17:55 +0000 2023",279,83,78,57,https://www.youtube.com/@VinceDaoTV,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1619852372498386945/nuXtleQZ_normal.jpg
"End Wokeness",EndWokeness,"ID 1552795969959636992",," Fighting, exposing, and mocking wokeness","Thu Jul 28 23:20:28 +0000 2022",556974,756,3374,2630,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1563691268793946117/OedvhFeS_normal.jpg
"Louis Theroux",louistheroux,"ID 76351820",London," I am involved in the making of documentaries. Warning: Some tweets may contain irony.","Tue Sep 22 14:51:17 +0000 2009",2256012,2755,4160,2995,http://www.louistheroux.com,,Enabled,Verified,,"Not protected",https://pbs.twimg.com/profile_images/1460546011101896708/wn8PhdXV_normal.jpg
MoshiMoshiMoan,MoshiMoshiMoan,"ID 711773241874849792","United States"," Awoooooooooooooooo","Mon Mar 21 04:35:39 +0000 2016",13274,0,4,0,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1442725661156724738/DODC2mdf_normal.jpg
"Yukon Cornelius",Project_Yukon,"ID 1614910216805425156","Peppermint Mine"," Humble Prospector","Mon Jan 16 08:59:46 +0000 2023",58,85,429,2029,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1614910269636988930/8-kvgurT_normal.jpg
"Andrew McCarthy",AMcCarthyNY,"ID 843965625177399296","The Empire State"," America First","Mon Mar 20 23:20:59 +0000 2017",30539,819,9010,45753,,,Enabled,Verified,,"Not protected",https://pbs.twimg.com/profile_images/1567970989379551238/kd0ZH7a8_normal.jpg
