Name,"Screen name","Twitter ID",Location,Biography,"Created date",Followers,Following,Tweets,Favorites,Website,"Time zone",Geo-enabled,Verified,Language,Protected,"Profile image URL"
"Scapa Flow",ScapaFlow18,"ID 1524030706204262400",," ","Tue May 10 14:18:23 +0000 2022",22,34,280,1190,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1595523499895963649/xE4TQc_g_normal.jpg
tait,tait16399008,"ID 1621381783089561600",," ","Fri Feb 03 05:35:24 +0000 2023",0,5,24,7,,,Disabled,"Not verified",,"Not protected",https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png
🧃AnPrimWrestler,TokenLover69420,"ID 1417872282899390464",," Proud Skater | Cold-wallet bloated | Ye24 burn it all down 🌬️","Wed Jul 21 15:41:32 +0000 2021",110,1746,363,1852,,,Disabled,"Not verified",,Protected,https://pbs.twimg.com/profile_images/1605278538688614407/PIdiwMYi_normal.jpg
WV4Me,WV4Me2022,"ID 1586895691087073280","West Virginia, USA"," 20 year Realtor who left it behind to be a homesteader, gardener, and chicken momma!","Mon Oct 31 01:40:17 +0000 2022",116,896,313,474,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1616995506181349377/8UkWjI1t_normal.jpg
"Daragh O'Sullivan",DaraghOSull_NB,"ID 1585853793580695553",," ","Fri Oct 28 04:40:16 +0000 2022",110,944,2454,11919,,,Disabled,"Not verified",,"Not protected",https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png
anon,botman331,"ID 864529940305375232","Barrow, AK"," .","Tue May 16 17:16:14 +0000 2017",6,179,2,1962,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/900427198112378880/JYIcfzC0_normal.jpg
"Matt Percy",mike42580910,"ID 1491902355759308801","Taupo and Christchurch 50/50 "," who knows","Thu Feb 10 22:30:30 +0000 2022",407,1740,6430,29968,http://uninsurable.co.nz,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1505747597155536896/2Z1dWt2y_normal.jpg
"Rawdog Rapist (backup)",Minamar54452314,"ID 2983296962",," ","Wed Jan 14 22:37:02 +0000 2015",5,33,6,28,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1621724774224257024/ALy_Ty8e_normal.jpg
DemolitionManIRL,GreenGetComfy,"ID 1026534131541467138",," ","Mon Aug 06 18:23:03 +0000 2018",113,1377,1314,6553,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1091677480476467201/aQicHd6j_normal.jpg
"Dr. Insano Rape-O",SimonCarrick34,"ID 1603852485709287424",," ","Fri Dec 16 20:40:24 +0000 2022",6,79,38,1770,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1611193608409067522/Gj8UlZH__normal.jpg
"Joey Grimaldi",joeyclownface,"ID 1462184311184973827",," In nature there are neither rewards nor punishments; there are consequences.","Sat Nov 20 22:21:28 +0000 2021",3,77,3,182,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1481055493489819655/tP2XO_I6_normal.jpg
"Steve Park 🧃🌲🔥⚡⚡⛈️⛈️",itsBenLaden18,"ID 1590936487767547904",," ALL w*men are PAEDOPHILES

Fakecel 

Total shitbull death 🧃🌲🔥⚡⚡⛈️⛈️
https://t.co/OfZ1RjdwTS","Fri Nov 11 05:16:53 +0000 2022",55,578,2075,5872,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1592149952851054592/LXuWbXm6_normal.jpg
NOTBOT,NOTBOTOBTON,"ID 1208127373067145222",," ","Fri Dec 20 20:49:55 +0000 2019",1,12,6,91,,,Disabled,"Not verified",,"Not protected",https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png
Mike,Mike97091881,"ID 1506386119998550017",," ","Tue Mar 22 21:43:49 +0000 2022",2,92,7,319,,,Disabled,"Not verified",,"Not protected",https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png
Crabrangoon27,crabrangoon27,"ID 1595444772050698249",," ","Wed Nov 23 15:51:05 +0000 2022",73,211,140,440,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1595445062594400256/nqdPGyhU_normal.jpg
"left wing right winger",RGoslingadmirer,"ID 1599304258171670529",," ","Sun Dec 04 07:27:13 +0000 2022",3,22,28,22,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1618713470551171086/hATpoESR_normal.jpg
Friedrich,WesternRenewal,"ID 943285411811614720",," ","Wed Dec 20 01:02:22 +0000 2017",68,750,2051,18709,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1452760955197165572/AltixAX2_normal.jpg
lb,lacroixboixx,"ID 1469767703783161858",," ","Sat Dec 11 20:35:12 +0000 2021",19,44,29,6084,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1469803217609494533/Yhr2_yzU_normal.jpg
