Name,"Screen name","Twitter ID",Location,Biography,"Created date",Followers,Following,Tweets,Favorites,Website,"Time zone",Geo-enabled,Verified,Language,Protected,"Profile image URL"
gypsycrusaderr,gypsycrusaderr1,"ID 1621348467791495168",," Investigative journalist
Crusader Waffen 
Deus Vult🗡🛡⛪🏴‍☠️","Fri Feb 03 03:23:14 +0000 2023",9312,37,40,63,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1621350501034893313/ChCnEMd3_normal.jpg
"Latter-day Likes",LatterdayLikes,"ID 2356629946","Zion, the New Jerusalem"," Child of God, child of the covenant, and disciple of Christ, in that order.","Fri Feb 21 14:26:37 +0000 2014",11176,534,16158,35762,http://churchofjesuschrist.org,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1516627818053967876/pyMRJzGi_normal.jpg
"Chief Ye",ChiefYe24,"ID 1603181051035140097","Ye’s World"," I loooooooove Ye. Cozy streamer. I stream on Cozy dot tv / ChiefTrumpster #SpacesHost","Thu Dec 15 00:12:09 +0000 2022",1610,211,980,1327,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1603181200771801088/j553dAJK_normal.jpg
"ID Young Republicans",IdRepublicans,"ID 1619531049184428033","Idaho, USA"," Strong Leadership for Idaho’s Future. Affiliate of @idahogop #idpol #idgop #idyr #YRNF - Telling a true story about IYR through parodies","Sun Jan 29 03:01:37 +0000 2023",121,85,49,7,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1619857793896566784/p6ChREP9_normal.jpg
"LeanSanchez Ye24",LeanSanchez1776,"ID 1540457459793412102",," Hi :D","Fri Jun 24 22:11:16 +0000 2022",387,57,1184,9309,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1615230873409929216/g4tKUwCd_normal.jpg
"Schmaul from Proof",schmaullman,"ID 1603974103362424832",," Cozy award winner for Best Director. Watch The Most Canceled Man in America today: https://t.co/dFp8nLAF6D","Sat Dec 17 04:43:32 +0000 2022",933,331,891,1601,https://www.amazon.com/gp/video/detail/B0B6SX2N6D,,Disabled,"Not verified",,Protected,https://pbs.twimg.com/profile_images/1619477265070407681/s9dgYToy_normal.jpg
hasanabi,hasanthehun,"ID 326756275","Istanbul, LA, NYC"," i stream everyday on https://t.co/8ITEAngeFt - for thirst traps and anarchy my ig is hasandpiker // business: mailto:Hasan@night.co","Thu Jun 30 12:52:46 +0000 2011",1325028,2145,33154,66834,http://www.youtube.com/hasanabi,,Enabled,Verified,,"Not protected",https://pbs.twimg.com/profile_images/1543059677373534209/uzeNfQVk_normal.jpg
⛄️CFclips⛄️,CFclipsg,"ID 1587616353544015872",Isreal," Ethan Ralph's number 1 👑 Royal 👑 Imperial Gunt Guard | NJFG4L | Ye24 | Unban @Nickjfuentes","Wed Nov 02 01:23:47 +0000 2022",233,112,253,2653,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1587618022717624320/pOt_S5Qr_normal.jpg
"ye crusade",yecrusade,"ID 1601009335320076290",," 🧃 #FreeYE 🧃 #FreeNickFuentes 🧃","Fri Dec 09 00:22:36 +0000 2022",309,307,475,2248,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1601297953351761920/U_aE5-2w_normal.jpg
"F***y Wolf",nwordwolf,"ID 1594572831295434752",," ","Mon Nov 21 06:06:19 +0000 2022",182,147,551,2618,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1599223040071852032/48vkiIlj_normal.jpg
