Name,"Screen name","Twitter ID",Location,Biography,"Created date",Followers,Following,Tweets,Favorites,Website,"Time zone",Geo-enabled,Verified,Language,Protected,"Profile image URL"
"of the void",someghostvibes,"ID 2712255716","Chicago, IL"," meme trafficker","Wed Aug 06 15:23:59 +0000 2014",7,184,242,325,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1382452989936427008/HTXcS18K_normal.jpg
"CooItalianguy 🇮🇹🇺🇸",CooItalianguy,"ID 1534402770652078081",," Italian, Irish, American","Wed Jun 08 05:12:08 +0000 2022",60,250,1164,41070,,,Disabled,"Not verified",,Protected,https://pbs.twimg.com/profile_images/1616575818561470470/G86bHhUv_normal.jpg
vincent,vincent43103473,"ID 1600133640125648900",," ","Tue Dec 06 14:22:50 +0000 2022",40,239,27,200,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1600848139736555523/p16pDCHt_normal.jpg
Petey!!!,Realpapayaka,"ID 833769526072324098",," Based & Dank","Mon Feb 20 20:05:20 +0000 2017",7,56,575,180,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/861776015030235136/lbJJFzz3_normal.jpg
"Stephen Wyatt",SteveWyattUK,"ID 1558547212321292288",England," English republican in the Leveller tradition, supports, Direct Democracy  thinks things that, if said out loud, would put me in prison.","Sat Aug 13 20:13:27 +0000 2022",25,59,494,46,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1558876924176375808/pyvCTaJf_normal.jpg
"Captain Poppycock",Mr_Cholley,"ID 1242777671588872194",Northumbria," Captain Peacock’s evil twin.","Wed Mar 25 11:37:55 +0000 2020",151,846,2041,5426,,,Disabled,"Not verified",,Protected,https://pbs.twimg.com/profile_images/1298694070764802048/_HEUwncK_normal.jpg
"Le Shitposteur",BronzeAgeSP,"ID 1100437534365155328","Earth "," I live again.","Tue Feb 26 16:48:48 +0000 2019",939,859,14565,45927,,,Disabled,"Not verified",,Protected,https://pbs.twimg.com/profile_images/1607800839338442754/LkH6wh9i_normal.jpg
"FerociouslyHollow 🇸🇮",Hol1Hollow,"ID 1608104050540650498",," Evropa zadnja bitka 
↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓
https://t.co/a60S1SozMK
https://t.co/m8UFNbncnl","Wed Dec 28 14:14:36 +0000 2022",40,204,1000,2526,https://www.evropazadnjabitka.si/,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1608454513588854789/iAAnQk-J_normal.jpg
mykaif0army26,mykaif0army26,"ID 1620804739985440770",Canada," All White girls are my daughters & White boys are sons🌺I'll save all White children🌷Let there be White🌹Savior of my devine White race🌸Make world white again","Wed Feb 01 15:22:26 +0000 2023",54,739,68,300,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1620806466298052609/PNEH-9mv_normal.jpg
Elvera,Fryas_Daughter,"ID 1621191001477091329",," The New Counter Culture. Pray for the Ethnostate. Exemplify strength, honor, and tradition.","Thu Feb 02 16:57:22 +0000 2023",2,12,20,72,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1621191274262044673/eMHlDACm_normal.jpg
✞,Tomjx_,"ID 1540689810792275973",," 🇬🇧🇮🇪🇺🇲","Sat Jun 25 13:34:42 +0000 2022",83,161,1,444,,,Disabled,"Not verified",,Protected,https://pbs.twimg.com/profile_images/1604701444828971008/GsELHSj5_normal.jpg
