Name,"Screen name","Twitter ID",Location,Biography,"Created date",Followers,Following,Tweets,Favorites,Website,"Time zone",Geo-enabled,Verified,Language,Protected,"Profile image URL"
"DeAnna Lorraine 🇺🇸",DeAnna4Congress,"ID 16740433",Texas," 🌟Fmr Congressional Candidate vs Nancy Pelosi 🇺🇸@Newsmax Political Correspondent🇮🇹 🎙Stew Peters Network Host ➡️ SUBSCRIBE👇 🎥","Tue Oct 14 16:08:50 +0000 2008",285004,53231,20483,35441,http://www.DeannaLorraine.com,,Enabled,Verified,,"Not protected",https://pbs.twimg.com/profile_images/1611146906897465345/WPve2TFa_normal.jpg
"Zach Vorhies / Google Whistleblower",Perpetualmaniac,"ID 18891076","California, USA"," Project Veritas Google Whistleblower. Disclosed Google's ""Machine Learning Fairness"", the AI system that censors and controls your access to information.","Mon Jan 12 04:18:45 +0000 2009",82976,1449,14784,11731,https://www.zachvorhies.com,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1524091430087528448/YI1G6su6_normal.jpg
"Eric Spracklen🇺🇸",EricSpracklen,"ID 705902960967094272","Tampa, FL"," @Project_Veritas | Views are mine🙋🏻‍♂️","Fri Mar 04 23:49:15 +0000 2016",243359,11118,48774,47553,https://t.me/sprack,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1338319105464655876/fhw-en5a_normal.jpg
"Andrew Anglin",WorldWarWang,"ID 1506831756","Lagos, Nigeria"," #YE24

#Jesus

I endorse everything.","Tue Jun 11 21:13:54 +0000 2013",16563,533,3144,2808,http://bible.com,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1604043212821127169/3WchInmg_normal.jpg
"Mark Collett",MarkACollett,"ID 829715112890159104","Yorkshire and The Humber"," Leader of Patriotic Alternative and the author of The Fall of Western Man. 
PA: https://t.co/5bohpea2oL
TFOWM: https://t.co/uboaVLl8dg","Thu Feb 09 15:34:33 +0000 2017",53262,181,6555,6097,https://odysee.com/@MarkCollett:6,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1614527348870729729/34rca1FI_normal.jpg
"Lauren Witzke",LaurenWitzkeDE,"ID 1102987848741998592","Florida, USA"," 2020 GOP Nominee For US Senate. President of SPN and Producer for @diedsuddenly_ Christ has been so good to me. Tell us your story: Lauren@StewPeters.com","Tue Mar 05 17:42:50 +0000 2019",56612,918,7926,12113,http://diedsuddenly.info,,Disabled,Verified,,"Not protected",https://pbs.twimg.com/profile_images/1618292002616918016/t7QtFB2__normal.jpg
"Elon Musk",elonmusk,"ID 44196397",," ","Tue Jun 02 20:12:29 +0000 2009",127889944,177,22559,17740,,,Disabled,Verified,,"Not protected",https://pbs.twimg.com/profile_images/1590968738358079488/IY9Gx6Ok_normal.jpg
"Ron Paul",RonPaul,"ID 287413569","Clute, TX"," Former Congressman from Texas.","Sun Apr 24 23:20:55 +0000 2011",890403,182,11899,41,http://ronpaulinstitute.org,,Disabled,Verified,,"Not protected",https://pbs.twimg.com/profile_images/573517737172934659/bB-v1E-8_normal.jpeg
njdotcom,njdotcom,"ID 14179819","New Jersey"," N.J.'s #1 news website. #TrueJersey
💻 Support our journalism: https://t.co/Ld0bRNUxss
✉️ Submit news tips: https://t.co/uw1FGG3u5M
📰 NJ Cannabis Insider: https://t.co/t6YKDdgge0","Wed Mar 19 21:02:53 +0000 2008",574697,738,192171,3521,http://www.nj.com,,Enabled,Verified,,"Not protected",https://pbs.twimg.com/profile_images/694234642002616320/yqse2zqz_normal.jpg
"Kim Iversen",KimIversenShow,"ID 1426227719470157827","Los Angeles, CA"," Watch The Rumble Exclusive Kim Iversen Show M-F 3pm PT/6pm ET Independent Thinker. Question everything.","Fri Aug 13 17:02:44 +0000 2021",112925,577,6263,6728,http://www.kimiversenshow.com,,Disabled,Verified,,"Not protected",https://pbs.twimg.com/profile_images/1617381061859868672/dUBG8xvA_normal.jpg
"Jimmy Dore",jimmy_dore,"ID 98992586","Hollywood, CA"," Tour: https://t.co/dRbJol9Mox My show https://t.co/vU0FN5Npky, Stand Up https://t.co/xGj1TTGyvy Podcast https://t.co/ifaVHHqvrd Book https://t.co/zdHM2ncpCD","Thu Dec 24 00:39:30 +0000 2009",432818,1862,33401,106321,http://www.jimmydore.com,,Disabled,Verified,,"Not protected",https://pbs.twimg.com/profile_images/687881601506652160/lY9Gb19l_normal.jpg
"Ian Miles Cheong",stillgray,"ID 16106584",YouTube," I say the quiet part out loud. #SpacesHost || TG: https://t.co/tM0qN8t4hD / YT Gaming: https://t.co/pktgboOWNR","Wed Sep 03 01:44:04 +0000 2008",470031,2733,420631,196364,https://www.youtube.com/catchupcatchup,,Enabled,Verified,,"Not protected",https://pbs.twimg.com/profile_images/1613401174081941504/JnYikqlt_normal.jpg
"Garland Nixon",GarlandNixon,"ID 24522990",Maryland/DC," Radio Talkshow Host & Political Analyst in Washington DC
ROKFIN - https://t.co/nD8WPYpfVa
TELEGRAM  - https://t.co/rKzGRIxBp2
YOUTUBE - https://t.co/YMjopr5kOq","Sun Mar 15 13:26:57 +0000 2009",66985,4148,23093,11802,,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/125680899/twitter_normal.jpg
An0maly,LegendaryEnergy,"ID 226194552","United States"," God is great.

Watch on https://t.co/a5Fc3hGBOL or https://t.co/RTPHb5QgkJ or Find All My Socials At https://t.co/DnN9JxPKfQ","Mon Dec 13 15:25:24 +0000 2010",248325,916,94230,148667,http://DreamRare.com,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1579981455173640192/1KHPXbsK_normal.jpg
"Bruce Baird",drbairdonline,"ID 895118556504797185",," Former engineer, college professor, and high school history teacher; present-day researcher, writer, and activist who believes you're never too old to question!","Wed Aug 09 03:04:29 +0000 2017",40917,36034,46014,44348,http://www.drbairdonline.com,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/980392824205017088/mLZ3zWuQ_normal.jpg
"Tara Reade 🐎",ReadeAlexandra,"ID 1057029255362531330","United States"," Author, Actress, Former Senate aide, Producer for The Kim Iversen Show tarareadeauthor@gmail.com The Politics of Survival https://t.co/XRmQgNkm3y","Mon Oct 29 21:59:47 +0000 2018",93179,11205,43144,80010,https://tarareadepodcast.com,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1610521225939542016/OomN4OWT_normal.jpg
"Gonzalo Lira",GonzaloLira1968,"ID 1517417467529805826","Chilean in Kharkov, Ukraine."," The Global American Empire creates chaos all around the world—and calls it the Rules Based Order. The more you understand, the less you forgive.","Fri Apr 22 08:18:43 +0000 2022",80493,641,4478,4833,https://www.youtube.com/channel/UCfUzUq5L9NFv2GMVGbEBgkg,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1615668868420182019/U-1amq0u_normal.jpg
"Jackson Hinkle 🇺🇸",jacksonhinklle,"ID 1151913018936053760","United States"," The most censored man on YouTube | subscribe: https://t.co/Gz1QXxS1XX thedivewithjackson@gmail.com","Thu Jul 18 17:53:59 +0000 2019",113414,916,8932,5583,https://linktr.ee/jacksonhinkle,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1567704552283193345/wMLFemzm_normal.jpg
"Clayton Morris",ClaytonMorris,"ID 14331688","United States"," Host of @TheRedactedInc, a daily news show covering stories that mainstream media won't. Former FOX News journalist who retired from 3AM wake-up calls in 2017.","Tue Apr 08 12:25:03 +0000 2008",127803,877,32704,4420,https://youtube.com/redactednews,,Enabled,Verified,,"Not protected",https://pbs.twimg.com/profile_images/1603672261734633473/W031bvRj_normal.jpg
"Albert Bishai",annunakkki,"ID 1161441062","New Jersey, USA"," Peace & Justice Activist, Free Speech Advocate Conspiracy Realist Podcaster,Dreamer Idealist,Humorist & Master Jedi Ball Buster","Fri Feb 08 23:03:23 +0000 2013",1785,304,4611,2759,,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1219757090769686529/86j4nQBM_normal.jpg
"H. Avenger",eurorabbit,"ID 75561107",," The Johnny Racist, How Whites took over America, AntiRacist Hitler, White Rabbit Radio Live guy. Have you ever seen the White Genocide hashtag?","Sat Sep 19 14:34:06 +0000 2009",11519,325,24167,3544,http://whiterabbitradio.biz,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1429973289812828169/U7mVej-Y_normal.jpg
TruNews™,TruNews,"ID 129019194","Vero Beach, FL"," OFFICIAL TruNews Account: The Real News, Uncensored. Global News, Analysis & Trends from a Christian, Conservative Worldview.","Fri Apr 02 23:17:59 +0000 2010",59992,1515,53672,8292,https://tru.news/main,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1118987595197841408/X0hDHX8i_normal.png
"Monokulttuuri FM",MonokulttuuriFM,"ID 2442466385",Suomi," 🇫🇮Suorat talk show -lähetykset suoralla puheella
 päivän kuumimmista aiheista: 
https://t.co/nZGaDpnUU2 ja https://t.co/aZJVF6t16a

Jälkitallenteet: https://t.co/syKlNIG29p","Fri Mar 28 17:16:12 +0000 2014",16763,524,48037,31750,http://odysee.com/@jlokka,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1556683966630993922/9yb8n9Dg_normal.jpg
Judge,V8POW,"ID 1069720356552916996",," https://t.co/bwCDVTOZfn","Mon Dec 03 22:29:42 +0000 2018",9866,296,11197,88582,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1224741176802234369/6gTHXv8C_normal.png
LastAmericanVagabond,TLAVagabond,"ID 1379418918","Hill Valley, California"," Independent Media. Question Everything, Come To Your Own Conclusions. Stay Vigilant. https://t.co/xNfobQhRW7 https://t.co/sZY92l64nt","Thu Apr 25 13:14:26 +0000 2013",35123,2628,203430,19083,https://www.thelastamericanvagabond.com,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1603911649265680385/fDsGWdUq_normal.jpg
"James Edwards",JamesEdwardsTPC,"ID 763938568502775808","Confederate States of America"," Host of The Political Cesspool. As seen on CNN, Fox News, MSNBC, New York Times, Washington Post, and a few hundred others. America's favorite Southern Baptist.","Fri Aug 12 03:22:02 +0000 2016",9432,105,7425,8564,http://www.thepoliticalcesspool.org,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/807598713279348736/ZMXx6ZaO_normal.jpg
HighImpactFlix,HighImpactFlix,"ID 2899862569",," Content that'll change you, make you mad...or BOTH.  
YouTube: https://t.co/Zl1WrlrSAN…
Grab a Shirt: https://t.co/cJQy3WBMcA","Sat Nov 15 01:04:14 +0000 2014",58068,1172,16942,22005,https://highimpactflix.com/,,Disabled,"Not verified",,Protected,https://pbs.twimg.com/profile_images/1592630676146241536/pBKbYU0l_normal.jpg
"Richie Allen",BBGRichie,"ID 2819841203","Salford, England"," The BBG 🇮🇪 World’s most listened to independent news radio show. Mon-Thurs at 5pm. Also, Sunday Morning Melodies at 10am every Sunday","Thu Oct 09 15:48:12 +0000 2014",53937,2051,33605,14858,http://www.richieallen.co.uk,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1596943636159160321/55eJCAEE_normal.jpg
"Lee Stranahan 🇷🇺",stranahan,"ID 5820642","Sioux Falls, SD"," Stroke survivor. Host of The Backstory on Radio Sputnik. Digital artist. In Oliver Stone’s Revealing Ukraine. Ain’t no time to hate except globalist fascism..","Mon May 07 02:26:41 +0000 2007",84181,54428,320710,15040,http://populist.tv,,Enabled,Verified,,"Not protected",https://pbs.twimg.com/profile_images/1615500773219094530/6-zLsfSS_normal.jpg
