Name,"Screen name","Twitter ID",Location,Biography,"Created date",Followers,Following,Tweets,Favorites,Website,"Time zone",Geo-enabled,Verified,Language,Protected,"Profile image URL"
NiceChips,NiceChipsi,"ID 1598597127684476929",," Gab：NiceChips","Fri Dec 02 08:37:22 +0000 2022",556,887,13,10,https://gab.com/NiceChips,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1598597288477302784/-b0DBhge_normal.jpg
KittyBabe,KittyBabelub,"ID 1598176077179928576",," Gab：lovelyfamily
Hi your cute babe Kitty here","Thu Dec 01 04:44:17 +0000 2022",504,845,28,25,https://gab.com/lovelyfamily,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1619496897668059136/lwXbREQQ_normal.jpg
Capt.Dirk007,CDirk007,"ID 1603267018656030721","Mud flat USA"," unvaxx male straight looking for my frens, non frens stay away im not in a good mood🐸🐸🐥🐔🦆🇺🇸🇬🇧🇳🇿🇨🇦⚜️","Thu Dec 15 05:54:06 +0000 2022",321,377,3333,1999,http://hewasright.org,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1618528517313929216/CIBEqhXP_normal.jpg
"E. Michael Frens ✝️",DrEMichaelFrens,"ID 1592170735807696899",," GM enthusiast","Mon Nov 14 15:01:11 +0000 2022",829,363,696,5690,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1598018012271050752/hYaYg9Fw_normal.jpg
"Frenly Tendy",FrenlyTendy,"ID 2569157946",," Based fren & dad","Sun Jun 15 15:08:33 +0000 2014",138,211,11,34,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1600775779435978753/-P3cCJg2_normal.jpg
SweetHeart,sweetheartlubs,"ID 1590402361310289920","Paradise Garden Italy"," Gab: KittyBabe
生活多彩，不常上線，有事留言. 
你看不見的並不代表不存在
미술,만화,음악,映画のシェア,ใช้สิ่ง ที่มีความหมายเพื่อการใช้งาน ที่สูงส่ง.
 Iive in Europe,S-Korea,Japan,N-America","Wed Nov 09 17:54:25 +0000 2022",607,1126,39,48,https://gab.com/KittyBabe,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1590457262702821376/Tt_W-K2g_normal.jpg
Weather'sCozyNewYear,wgcozynewyear,"ID 1600670018429079552",," Your New Year Weather Center","Thu Dec 08 01:54:22 +0000 2022",535,333,715,1967,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1620526071048470529/34EAoyl6_normal.png
"Lord Peepee Poopoo",lord_shid,"ID 1606463802828066817","Pond, Cozistan "," Again and again, Fren seeketh fren.          They once called me Sir Peepee Poopoo","Sat Dec 24 01:36:51 +0000 2022",404,349,509,3813,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1607424168743550976/frtwi98s_normal.jpg
"(maybe) FrenFather",leamipere,"ID 1604244967492296705","Garden City, NY"," Possibly a father of frens (once upon a time)…","Sat Dec 17 22:39:52 +0000 2022",310,423,152,1704,,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1604246352518676480/SMC86mYq_normal.jpg
"Lindy “DZ” Fren",LindyFren,"ID 1555221266746990592",," just a lindy fren","Thu Aug 04 15:57:54 +0000 2022",1024,844,3771,31873,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1610436238946754561/DCvkbrEz_normal.jpg
Mcmamas17,Mcmamas17,"ID 1534072330573553664",," For attractive lips, speak words of
kindness. For lovely eyes, seek out
the good in people.","Tue Jun 07 07:19:28 +0000 2022",52,69,1954,2114,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1610759527925747727/DZCkIOHC_normal.jpg
"averager Schizo #YE24",steve_bruhh,"ID 1492977178077806595","Schizo Town"," I love sleep; it's my favorite.

-Ye","Sun Feb 13 21:41:21 +0000 2022",747,821,260,502,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1597687253345648641/z02Qc8FF_normal.jpg
Niggatello,RealNiggatello,"ID 1559472795142262786","Prison "," Just an oppressed random blak guy.
Follow my Bros 👉
@RealNiggael @RealNiggangelo @RealNiggardo","Tue Aug 16 09:31:11 +0000 2022",365,348,589,1456,https://youtu.be/8NJ3DUTKicU,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1598408703723667459/8LsoCCnR_normal.jpg
"average schizo #YE24",stephen_brookee,"ID 1384946813158006786",Schizotown," ""I Think My Mask Of Sanity Is About To Slip."" ... Patrick Bateman","Wed Apr 21 19:07:55 +0000 2021",1533,424,8169,19852,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1597682959582171136/Td83lfT8_normal.jpg
Enrico,im_enrico_,"ID 1518820560402366468",," Agαınst decαdence. ☸️🌲⚡️","Tue Apr 26 05:14:34 +0000 2022",1315,1100,2230,5078,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1604720020789026816/BRt5jRAg_normal.jpg
"literal genius vern",v3rysmartboi,"ID 1487529286491951116",," it’s time","Sat Jan 29 20:53:33 +0000 2022",309,393,470,2077,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1610461925434970112/pL7qM23F_normal.jpg
