Name,"Screen name","Twitter ID",Location,Biography,"Created date",Followers,Following,Tweets,Favorites,Website,"Time zone",Geo-enabled,Verified,Language,Protected,"Profile image URL"
"TeX Southron X",Southron_X,"ID 852287221281550336",Weimerica," White/Southern Nationalist; Proud descendant of Aryan peoples
#WhiteLivesMatter #LeagueOfTheSouth #WhitExit #DixiExit","Wed Apr 12 22:28:03 +0000 2017",245,1179,205,452,https://gab.com/nativetexian,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1617248207142100993/w5j6-diO_normal.jpg
Char,char_ga_e_all,"ID 1614034599327240194","Occupied Nation"," No apologies. Deo Vindice","Fri Jan 13 23:00:30 +0000 2023",28,82,53,80,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1614723238277283841/aKcJaXdx_normal.jpg
"Southern Saxonian",ApMadog,"ID 1229584195992850433",," Christian Fundamentalist, Good Ol' Boy, SouthNat, Son of Albion, Tech Reporter for the Southern Nationalist News Network, Kinfolk over $, Peace if Possible","Tue Feb 18 01:51:59 +0000 2020",349,509,552,743,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1551993869461602305/FJiR64WK_normal.jpg
"Baked Alaska",bakedalaska,"ID 108465379","west palm beach"," j6 prisoner | i love everyone ❤️ | YE24","Tue Jan 26 01:21:42 +0000 2010",130212,226,36337,131741,https://givesendgo.com/bakedalaska,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1602066678556262401/Dd8K3bcO_normal.jpg
JQIQ,GoyRogers88,"ID 1597360522441129985","Riding Trigger"," Nationalist. Critical Semite Theorist. Early life expert. #Flexit","Mon Nov 28 22:43:35 +0000 2022",176,127,482,1846,http://FreeFlorida.org,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1620249751810711552/BoDSofyH_normal.jpg
"National Conservative",NatCon2022,"ID 1586750869483167744",," Webmaster at National Conservative.","Sun Oct 30 16:04:41 +0000 2022",4216,4162,1558,2708,http://national-conservative.com,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1615112033602609182/2cPm2sk__normal.jpg
"Jack Hunter",jackhunter74,"ID 17823790","Washington, DC"," Libertarian-conservative freelance writer based in Old Town, Alexandria. Based Politics Liberty Tree @dcexaminer @rstatecraft @spectator Everything is wrestling","Wed Dec 03 00:42:41 +0000 2008",25163,7843,27225,15121,https://www.based-politics.com,,Enabled,Verified,,"Not protected",https://pbs.twimg.com/profile_images/1376241232725356547/4f765GYh_normal.jpg
"Richard Nichols - Red-Pilled Thriller Writer",writer_nichols,"ID 1236459590746767360","Yucatan, Mexico"," 🏴󠁧󠁢󠁥󠁮󠁧󠁿🇬🇧🇲🇽 Author of Lost Causes. https://t.co/8Zg6LySGMN
#LostCauses. Host of The Red-Pilled Fiction Factory on Youtube.","Sun Mar 08 01:12:13 +0000 2020",1792,1588,2880,38761,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1375489331834589188/z2EJHstQ_normal.jpg
Traveler,NeverSayDie1978,"ID 1608273003560964098",," Gen X Southern Nationalist.
RAC music enjoyer.","Thu Dec 29 01:27:12 +0000 2022",141,198,491,2327,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1612271361577172992/siuUVDr0_normal.jpg
"Ted Kaczynski Quotes",KaczynskiQuotes,"ID 1020045752393871360","FMC Butner, North Carolina"," Just a 🤖 tweeting mostly quotes and excerpts from the writings of Dr Theodore Kaczynski.","Thu Jul 19 20:40:33 +0000 2018",10810,28,777,0,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1020046618379210752/3c6Qg7Gf_normal.jpg
"Florida Outlaw",Fl_Outlaw57,"ID 1249652760099852288","Somewhere in Florida"," I'm an outlaw because my government made me one. Banned by @KevinLevin & @ty_seidule. Pronouns- Southern & Secessionist","Mon Apr 13 10:57:02 +0000 2020",460,379,9635,8693,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1620519822483230721/GyQRmz7-_normal.jpg
"Revolution Rains",revolutionrains,"ID 425193622",," All the world’s a stage - William Shakespeare","Wed Nov 30 17:47:37 +0000 2011",472,86,17052,743,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1264285816341311489/uETXYSC3_normal.jpg
"Nick Griffin",NickGriffinBU,"ID 94336415","Shropshire, England"," Gagged here, join me on Telegram. National revolutionary strategist & author. Keep Britain OUT of other people's wars!","Thu Dec 03 14:11:26 +0000 2009",35291,7392,21243,2619,http://www.nickjgriffin.com,,Enabled,Verified,,"Not protected",https://pbs.twimg.com/profile_images/1001577363388461056/8IoZ7rh9_normal.jpg
"Steve Boer",Steve_Boer1865,"ID 1599447821953933312","Sunny South,  Alabama "," White Christian Southron Nationalist","Sun Dec 04 16:58:11 +0000 2022",154,613,3181,7538,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1599510376386789380/m3nGbBlF_normal.jpg
"Jason Fry",JasonKFry,"ID 1602700602986962946","Wolfforth, TX"," Rational apologist for Texas independence; Knifemaker; Author;","Tue Dec 13 16:24:01 +0000 2022",107,98,567,1806,http://www.frycustomknives.com,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1602730995794558978/e5TXwbjq_normal.jpg
"Garbage Mane",Garbage_Mane,"ID 1520430142669086721","Truth or Consequences, NM"," The cream of the crop","Sat Apr 30 15:49:40 +0000 2022",1659,1168,8179,14851,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1615260159801966595/s6_30bJ5_normal.jpg
The.Ketogenic.Nutritionist,TempleDietitian,"ID 1170328362939822080","Phoenix, AZ"," Registered Dietitian | Ketogenic Method | Weight Loss Follow Me on Instagram ⬇️","Sat Sep 07 13:30:07 +0000 2019",11797,427,1016,3131,https://www.instagram.com/the.ketogenic.nutritionist/?hl=en,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1549035155158859776/c9B5AHDd_normal.jpg
"Morgan Roof",morgansalee,"ID 51656334",," ","Sun Jun 28 05:06:55 +0000 2009",14,4,4,0,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/310647862/M0RG4N__137_normal.jpg
"Jefferson Davis",Jeff_Davis1808,"ID 1331392369745408009",," Congressman and Senator from Mississippi, United States Secretary of War, President of the CSA, West Point Graduate and Veteran of the Mexican-American War","Wed Nov 25 00:20:58 +0000 2020",3164,303,34350,47299,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1331392601002569732/fN3hngj2_normal.jpg
"PROJECT STRAT",StrattyD,"ID 1245551618365337603",," Jim & Stacey’s Baby Boy! Writer for the laymen; Substack link below.","Thu Apr 02 03:20:36 +0000 2020",674,948,8216,17428,https://substack.com/profile/11847152-stratton-j-davis?utm_source=user-menu,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1593374349901307910/-pa141-f_normal.jpg
Ike_MB,OurGuy_1933,"ID 1598169026907328512",," ","Thu Dec 01 04:16:15 +0000 2022",18,51,127,171,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1598169383330873344/jwx9aSZs_normal.jpg
