Name,"Screen name","Twitter ID",Location,Biography,"Created date",Followers,Following,Tweets,Favorites,Website,"Time zone",Geo-enabled,Verified,Language,Protected,"Profile image URL"
"Steph Kent",covertress,"ID 1366510107908046850","N Florida 🛸🔭 thaumaturge 💫"," A magician does not plan the outcome, does not expect any particular result and is prepared for anything — but hopes for the best. He invites the world to dance","Mon Mar 01 22:06:22 +0000 2021",2550,3664,18944,49842,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1518406778505117698/jfZyXT7O_normal.jpg
RaeChill,_SilverOfQuick_,"ID 1501279347944173578",," If ya dabble in drama just find someone else to share it with 🙌🏻

otherwise 

cats. photography. memes. #mnwild. #skol and some #cowboysnation #PCMASTERRACE","Tue Mar 08 19:31:13 +0000 2022",69,85,832,705,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1616209954125250560/LgfOMDaY_normal.jpg
T,Tinagosee2,"ID 1476753252951605248",Around," 5th life* *dance if you can*","Fri Dec 31 03:13:28 +0000 2021",1029,1221,16594,97679,,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1621557143244787712/tSUJArgu_normal.jpg
"Carlin Was Right",TheNarwhal1935,"ID 1594786407314296856",," ","Mon Nov 21 20:14:55 +0000 2022",22,323,350,409,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1594786538541486097/FmuvfF2I_normal.jpg
"Ginny McCluskey",MccluskeyGinny,"ID 1599221395405377538","Corpus Christi, TX"," Conservative Christian; God, Family, Country. Retired court reporter (43 years) and small business owner (38 years). Military family and Patriot.","Sun Dec 04 01:58:03 +0000 2022",20,385,138,904,,,Disabled,"Not verified",,Protected,https://pbs.twimg.com/profile_images/1603769031638614019/TX35BPgn_normal.jpg
"Bourbon St AntiFa",BourbonStAntiFa,"ID 1599950933458386945","Louisiana, USA"," Bashing the fash one shot at a time.","Tue Dec 06 02:17:06 +0000 2022",224,304,2654,254,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1619488572242857984/EsuWjLKw_normal.jpg
JT,Jaberuski,"ID 158951476","Indianapolis (Summer 2023)"," ✝️ Husband/Dad. Panthers. Braves. Noles/Dawgs. Pacers. Avid Indoorsman. KCBS Certified BBQ Judge. Self Employed. Kratom. Hatred for New Jersey. Joshua 24:15","Thu Jun 24 02:30:15 +0000 2010",25845,20451,155768,224949,http://www.apostillellc.com,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1611419302711726109/1wnRUhHR_normal.jpg
"Hugh Jassole",FTwitte89206034,"ID 46776683",," Friends with Phil McKracken, Barry Mapole, Anita Hanjaab, Berry McCaulkiner, Dixie Normous, Wilma Fingerdoo.....
Please remember: His name is Robert Paulson....","Fri Jun 12 23:35:18 +0000 2009",8036,8727,2242,57,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1405244285897756672/k6pX08ZT_normal.jpg
"john fredericks",bubbaofthenorth,"ID 1585677084684423168",michigan.," USAF Vietnam Vet. Proud deplorable. Was on Twitter for 5 yrs. Got tired of being jailed. I rejoined yesterday. oct28th.
Please. no https://t.co/2O3Bjs8l6C","Thu Oct 27 16:59:13 +0000 2022",396,494,5854,843,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1585677509718409218/upHFlPWS_normal.png
"Aaron Kimbrell",AaronKimbrell,"ID 377161867","Bakersfield CA"," #MAGA #2A #Billsmafia","Wed Sep 21 03:45:43 +0000 2011",1323,2332,557,52367,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1121180263860461569/G23C1YcJ_normal.jpg
