Name,"Screen name","Twitter ID",Location,Biography,"Created date",Followers,Following,Tweets,Favorites,Website,"Time zone",Geo-enabled,Verified,Language,Protected,"Profile image URL"
"""It was just a game bro!"" Falow",GameFalow,"ID 1477073377948880896","Gamma Quadrant"," I like to play games, my games can go too far and people think they're fighting for their lives in some kind of deathtrap dungeon. But it was only a game!","Sat Jan 01 00:25:33 +0000 2022",164,419,5852,24659,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1477075952203042822/E85S1LcC_normal.jpg
Armstrong,MojaveDusty,"ID 191197943",," Sensible centrist 🇺🇲","Wed Sep 15 21:03:45 +0000 2010",1249,1723,41518,53608,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1621667363643949057/i6B6KJmt_normal.jpg
"Subway Jared Groyper",SubwayGroyper,"ID 1579994720515891201",NYC," America First. Catholic. Ye/2024. VERY pro-natalist. Who's hungry?","Wed Oct 12 00:38:01 +0000 2022",133,154,188,1410,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1580291506241511429/v2JJ2yzY_normal.jpg
Trumpasaurus,Rent_is_due_,"ID 1424028384108191748",Paradise," I don't take this site seriously and neither should you!
🇺🇸🇻🇦","Sat Aug 07 15:23:32 +0000 2021",517,1051,5591,19231,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1496649216457789440/fftL6pJ5_normal.jpg
"𝕕𝕒𝕟𝕤 𝕝𝕖 𝕊𝕒𝕟𝕘",dansleSang,"ID 1220792256212455428",," who cares","Fri Jan 24 19:35:37 +0000 2020",659,316,961,1173,,,Disabled,"Not verified",,Protected,https://pbs.twimg.com/profile_images/1608535606082027520/55UzwGeC_normal.jpg
"𝕧𝕖𝕣𝕤 𝕝𝕒 𝕃𝕦𝕟𝕖",vers_laLune,"ID 268629423",," Takes artistic liberties with reality | NFTs | Crypto | Ideas | pronouns: king/master/sir","Sat Mar 19 04:35:20 +0000 2011",17390,1068,85809,99254,https://xn--dr8ha246a.y.at,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1621751402920828932/3DepZNz-_normal.jpg
"Dago Supremacy",DagoSupremacy,"ID 1343935155354947584","Pescara, USA"," Based Mediterranean diaspora. Espresso pilled. Dio, Patria e Famiglia. https://t.co/TL7nMvQYyB","Tue Dec 29 15:01:35 +0000 2020",25908,919,10412,64757,,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1611707599883325441/HT5j41e7_normal.jpg
"Eastern T Merchant ⛵️🍃",east_indie_t,"ID 1076985997454442503",," Sails & Trading, pronouns: USD/CNY","Sun Dec 23 23:40:46 +0000 2018",3802,909,9729,9173,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1608176253382574081/8jPZePhW_normal.jpg
"The Little Engine That Touched Himself",T3hL1ttle3ngine,"ID 1576380188853665792","Lake Titicaca, Peru"," The saga continues","Sun Oct 02 01:15:43 +0000 2022",2151,1107,10764,36853,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1585999365788819459/zUfUYNAj_normal.jpg
Beachboy007,ChrisWinig,"ID 1595908474705219585",Massachusetts," Pyromaniac","Thu Nov 24 22:33:37 +0000 2022",795,137,67,2410,http://youtube.com/@chriswinig,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1610068391577980929/nteVpswj_normal.jpg
Michelle,distant_summer,"ID 1536737649204948993",," ","Tue Jun 14 15:49:48 +0000 2022",379,78,73,207,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1536738101439016960/9JKzM93z_normal.jpg
YockeySlut,YockeySlutRedux,"ID 1581713099404500992",Stockholm," ""GenocıdaI Horniness™""","Sun Oct 16 18:26:14 +0000 2022",3147,208,778,2325,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1611150999607017472/ej4AZ9pU_normal.jpg
"bob vibey",bobvibey,"ID 1581125248862167042","New Hampshire"," Taking a vacation from my problems.","Sat Oct 15 03:30:18 +0000 2022",1463,413,619,0,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1589509267534462978/6qYwxHCG_normal.jpg
