Name,"Screen name","Twitter ID",Location,Biography,"Created date",Followers,Following,Tweets,Favorites,Website,"Time zone",Geo-enabled,Verified,Language,Protected,"Profile image URL"
"🏛 Aristophanes 🏛",Aristos_Revenge,"ID 1538705932799987712","Yeehaw Hegemony"," | Literary Critic at the Jacob Urowsky Center for Frogs Who Can't Read Good | @theammind @thebtcmag @FDRLST @im_1776 | Man I Love Frogs/Clouds/Birds |","Mon Jun 20 02:11:03 +0000 2022",20944,643,6009,17281,https://aristophanes.substack.com/,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1538708883442700288/E6r_4BIc_normal.jpg
"MythoMedia 🌲",Mytho_Media,"ID 1610721837737967628",," the dark side of America // @MythoAmerica","Wed Jan 04 19:36:36 +0000 2023",53,2,6,6,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1610728882214141952/TYuG-ABE_normal.jpg
"bob vibey",bobvibey,"ID 1581125248862167042","New Hampshire"," Taking a vacation from my problems.","Sat Oct 15 03:30:18 +0000 2022",1463,413,619,0,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1589509267534462978/6qYwxHCG_normal.jpg
"War Crime Encourager🐬",war_sage,"ID 752554537391624192","The Crypts of Tsagualsa"," ""Die as you lived, Sons of the Eighth Legion. In Midnight Clad.""","Mon Jul 11 17:25:58 +0000 2016",492,422,6530,14784,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1606368133916262403/swPH3Q4P_normal.jpg
"Vengeful Kobayashi",AmericanOnryo,"ID 1608894912615034884","central land of the reed plane"," Like a vampire to a newly found graveyard, like the carrion bird to the carcass, like any vile thing to its congenital element","Fri Dec 30 18:37:57 +0000 2022",630,83,31,212,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1608916292723146752/rxCKanl8_normal.jpg
"Ink Blot",inkblotistan,"ID 1135183911850582016",inkblotistan," artist, inkbloti on tiktok and instagram.
posting cozy for you to enjoy.","Sun Jun 02 13:58:30 +0000 2019",14369,2793,26052,129359,http://www.inkblotistan.com,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1602064235764277250/IYdlkQII_normal.jpg
Astralnaut,thuleanrevenant,"ID 1586507627894345728","The Magic Ocean"," Fiction and philosophy from beyond","Sat Oct 29 23:57:57 +0000 2022",6749,555,5272,14963,https://astralflight.substack.com/?utm_source=substack&utm_medium=web&utm_campaign=substack_profile,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1598114137326104578/Kc3KQcS0_normal.jpg
Beachboy007,ChrisWinig,"ID 1595908474705219585",Massachusetts," Pyromaniac","Thu Nov 24 22:33:37 +0000 2022",795,137,67,2410,http://youtube.com/@chriswinig,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1610068391577980929/nteVpswj_normal.jpg
Nrd,Nrdman_,"ID 1526256454184972289",," ","Mon May 16 17:41:12 +0000 2022",3120,338,232,552,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1618688266135379968/CEWEoGOS_normal.jpg
"William Wheelwright",ploughmansfolly,"ID 1273639475340554240",Winsbury," The fact is the sweetest dream that labor knows. Man of letters and livestock. Musings on the soul, on the soil. Isaias 7:15 (DR onlyist)","Thu Jun 18 15:31:39 +0000 2020",26522,335,18070,144193,,,Disabled,"Not verified",,Protected,https://pbs.twimg.com/profile_images/1479072225500217351/aSYW50Wo_normal.jpg
"Bronze Age Pervert",bronzeagemantis,"ID 844434316943904768",," Aspiring Nudist Bodybuilder. Free speech and anti-xenoestrogen activist. Get my book! https://t.co/w4YmcXLxrG…","Wed Mar 22 06:23:24 +0000 2017",92084,8878,75186,115981,https://bronzeagepervert.gumroad.com/l/BronzeAgePervert,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/844437301459607552/aucDes-4_normal.jpg
Luck,PunishedLuck,"ID 1598519467105046533","Yokosuka, Japan"," Tengo suerte","Fri Dec 02 03:28:42 +0000 2022",635,402,3174,13860,,,Disabled,"Not verified",,Protected,https://pbs.twimg.com/profile_images/1605490585250381827/D8ly7uDz_normal.jpg
"Dale ᴿᵉᵇᵒʳⁿ",digithetic,"ID 1597404206226448385",," Heavens Gatekeeper ; Painter","Tue Nov 29 01:37:10 +0000 2022",770,269,153,268,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1597404516600713216/uAHYiKc7_normal.jpg
Outsideness,Outsideness,"ID 1852899224",," Coldness be my God.

https://t.co/NEkQFBxUcX","Wed Sep 11 00:52:13 +0000 2013",50917,2351,58874,106765,http://www.xenosystems.net,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1041148970972602368/7FVCpzQl_normal.jpg
"Incel Gamer",Vitruveon,"ID 1594807005524402189",," ","Mon Nov 21 21:36:41 +0000 2022",1132,201,2020,1974,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1610286164568571907/7rZhm4TL_normal.jpg
"Donald J. Trump",realDonaldTrump,"ID 25073877","Washington, DC"," 45th President of the United States of America🇺🇸","Wed Mar 18 13:46:38 +0000 2009",87686141,50,59141,0,http://Vote.DonaldJTrump.com,,Enabled,Verified,,"Not protected",https://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg
𝐁𝐋𝐈𝐍𝐃𝐄,BLINDE_TAPES,"ID 1520263725403488258",," Porch.  Woods.  Oldhead. Tapedeck.","Sat Apr 30 04:48:46 +0000 2022",785,578,2167,28196,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1592315717394776065/EWblGr3a_normal.jpg
"Magic City Bureaucrat",magicbureaucrat,"ID 1590097794269941761","Miami, FL"," ","Tue Nov 08 21:44:00 +0000 2022",1790,386,668,22437,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1590101723426820096/6bZlL4D8_normal.jpg
"Appalachian Aesthetics",AppalachiaAesth,"ID 1575682700731568131","The Back Country "," Appalachian Aesthetics

Open for Submissions","Fri Sep 30 03:03:49 +0000 2022",10650,23,522,1386,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1575684714186383360/Hm5wg7PH_normal.jpg
𝐁𝐢𝐬𝐜𝐮𝐢𝐭,not__dog__,"ID 1298781706527350785","The Golden World"," what dreams may come","Thu Aug 27 00:37:56 +0000 2020",6812,886,2145,11514,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1616498793217654785/p59SjRFi_normal.jpg
Märtin,davidcrockettfa,"ID 1574861133047304192","London, England"," ","Tue Sep 27 20:38:56 +0000 2022",8359,634,199,25798,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1618693711097114626/f0byY__T_normal.jpg
"𝐀𝐋𝐁𝐔𝐌 𝐂𝐎𝐕𝐄𝐑 𝐊𝐈𝐍𝐎",albumcoverkino,"ID 1582194655667503104",," Album art, and things that should be.","Tue Oct 18 02:19:44 +0000 2022",1341,60,618,3471,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1582480426295255043/gW2PE7Zz_normal.jpg
MAR🦂,VaqueroSpic,"ID 1580779454204354560",Topolobampo," Donkey Merchant | Noriega and Papa Doc Enjoyer","Fri Oct 14 04:36:20 +0000 2022",220,243,2272,21433,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1598765772939169792/koO3ZyBG_normal.jpg
🏧,aryantrenmason,"ID 1574918591446765574",," ","Wed Sep 28 00:27:21 +0000 2022",2237,317,685,4957,,,Disabled,"Not verified",,Protected,https://pbs.twimg.com/profile_images/1577516830184603649/iGMN-SBq_normal.jpg
Illich,primordialunity,"ID 1098425078608482304","The Midwest"," Ellulian cartographer","Thu Feb 21 03:32:01 +0000 2019",409,1187,5137,38723,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1426196020283777024/6eLQJjRG_normal.jpg
"Pinewalker II",pinewalker_,"ID 217293072",," interior innawoods operator. Old lurker who found his even older account.","Fri Nov 19 03:13:20 +0000 2010",2501,201,4259,11813,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1586838203323097088/WtDCc2lE_normal.jpg
"BEIJING BACTERIA 🏔🌐",ShenzhenSaxon,"ID 1378510529635975168","THE HIMALAYAS"," Quantum Slavery at C.H.U.D. dynamics","Sun Apr 04 00:52:02 +0000 2021",2723,547,4912,37536,,,Disabled,"Not verified",,Protected,https://pbs.twimg.com/profile_images/1620276968456392706/oCcA0I2L_normal.jpg
"P.C.M. Christ",plzcallmechrist,"ID 1438593947006349313",," Art is not a safe space.

Author","Thu Sep 16 20:01:48 +0000 2021",1069,267,2643,7035,https://plzcallmechrist.substack.com,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1513522031815503879/MtgS5Bk-_normal.jpg
"Arón 𓅱",NorwoodDefeat,"ID 1569392744241446912",," man denied his hairline","Mon Sep 12 18:39:56 +0000 2022",1557,897,1911,16497,https://en.m.wikipedia.org/wiki/Hamilton–Norwood_scale,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1612157493244723203/DQNYY7jQ_normal.jpg
"Stone Age Herbalist",Paracelsus1092,"ID 1239302704230531072","Lost in the deep Pleistocene"," Pygmy Futurism | Beserker Yoga Revival | Narcoanthropology & Yamnilote Studies | Nganga R&D | Reactionary Ecology | 🇷🇼","Sun Mar 15 21:29:33 +0000 2020",66048,2159,24039,129307,https://stoneageherbalist.substack.com/,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1517748005889351680/xhuqfgA__normal.jpg
"Marc Andreessen",pmarca,"ID 5943622","Menlo Park, CA"," Used to be a very interesting person.","Thu May 10 23:39:54 +0000 2007",1193313,20197,3789,284722,,,Disabled,Verified,,"Not protected",https://pbs.twimg.com/profile_images/1405739314303037445/YbBg1Lhn_normal.jpg
RedHawk,redpilledhawk,"ID 1175992423","In the tree stand"," Enjoy the Decline https://t.co/OKsbCcWns8","Wed Feb 13 16:37:33 +0000 2013",3353,351,8789,27855,https://www.youtube.com/channel/UCIHpCh8RxDopo2q4V09o1Bg,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1608722047970037760/lmXkQxHT_normal.jpg
MM,mozartpalestine,"ID 1306741300138475520",†," So","Thu Sep 17 23:46:35 +0000 2020",10440,0,122,447,https://www.amazon.com/dp/B096Z7J6C1?ref_=pe_3052080_397514860,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1333028033960284161/cPkQT9-0_normal.jpg
"Charles ‘Corded Ware’ Wing-Uexküll",CWingUexkull,"ID 1501364396903309312",," Heideggerian space inquisitor. Passage Prize winner (nonfic). Appalachian time war accelerationist.","Wed Mar 09 01:09:15 +0000 2022",9439,1854,4830,28875,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1587166854241554438/FzpNYHQx_normal.jpg
"James, Cult Leader",MKUltraMoney,"ID 2657347285","New York"," 70% Comedy, 30% Conspiracies, 100% mental illness. Creating podcasts, drunk vlogs, & gaming on YouTube + Gumroad | @WomenPostingLs creator | @mkultravampire🖤","Fri Jul 18 18:02:07 +0000 2014",50985,659,36426,158572,https://youtube.com/c/MKUltraMoney,,Enabled,"Not verified",,Protected,https://pbs.twimg.com/profile_images/1581665783704322053/zqy7NdWC_normal.jpg
helios,holowsun,"ID 1555638897408970761",," ♄","Fri Aug 05 19:36:41 +0000 2022",5135,24,622,3,,,Disabled,"Not verified",,Protected,https://pbs.twimg.com/profile_images/1600994583520989185/TQZil4tW_normal.jpg
"D’Anton Niess",d_anton_niess,"ID 1527074139256803328",," Serial Killer of LinkedIn Posters. Slava Guinea Bissau","Wed May 18 23:51:13 +0000 2022",458,220,3152,7906,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1527132076230705152/hdIjjjgo_normal.jpg
