Name,"Screen name","Twitter ID",Location,Biography,"Created date",Followers,Following,Tweets,Favorites,Website,"Time zone",Geo-enabled,Verified,Language,Protected,"Profile image URL"
"Jesus is 👑 I confess",biblejesusonly,"ID 1300694369591152641",," #yesoldier","Tue Sep 01 07:18:08 +0000 2020",116,183,1807,4340,http://biblegateway.com,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1618681094458736640/XGoFCMxE_normal.jpg
"Darn Shore ❄️",TheYuiSaga,"ID 250542674",," hiii

https://t.co/NAb6tvXwW4

https://t.co/mv3xHMHGKs","Fri Feb 11 09:07:14 +0000 2011",112,71,2997,4337,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1615974664852963333/NbtvX4pX_normal.jpg
vir,jeffdomx,"ID 850479140277022720",," ","Fri Apr 07 22:43:23 +0000 2017",25,910,32,1729,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1065126920663244800/k8bxTI-O_normal.jpg
bluename,realamerica1911,"ID 1596035220624515072",," ✝️YE24✝️","Fri Nov 25 06:57:17 +0000 2022",130,398,110,1765,http://cozy.tv,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1596040978044944386/beqEvolg_normal.jpg
XP0Pz,XP0Pz,"ID 1604334092044189696",," yo","Sun Dec 18 04:34:23 +0000 2022",12,50,95,561,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1604352126213316608/YzVDuU-T_normal.jpg
"Tony Barone",Tony_BarNone,"ID 1598509415899996162","New Swabia"," ","Fri Dec 02 02:48:56 +0000 2022",296,399,880,742,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1610140138251616257/eD0EraRl_normal.jpg
"Fantastic Mr. Fox 🪓",Fantast65132950,"ID 1586756917417988096","🪓 = Federalist"," A Prodigy. A man of excellence. Spreading goodness, kindness, and love throughout this platform. Diplomatic. Amos 3:7 Proverbs 3:5-6 Nahum 1:7 James 1:5 Ye24","Sun Oct 30 16:30:53 +0000 2022",483,381,4915,15575,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1617899380429803522/1WaNRuX5_normal.jpg
Guy❄️,Guntineer,"ID 1621478522240860160",," ","Fri Feb 03 11:59:55 +0000 2023",31,107,14,97,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1621478677341945857/Vz2RjMGG_normal.jpg
"Bennie Ben",Santino_X254,"ID 1590279769962209282","Under the Dome"," Creative, Product Designer, Gunner, Conspiracy Realist, B453D, KH4Z4R1a Delenda Est ☠                Views expressed here are my own, RTs are not endorsements","Wed Nov 09 09:47:07 +0000 2022",583,3204,5087,21836,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1590279929966596096/nUm-Qzvy_normal.jpg
"Sam Wing",SamWing69268580,"ID 1579229422581792770",Hongkong," ","Sun Oct 09 21:57:23 +0000 2022",169,1664,446,17322,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1579233419715756033/gNx1h726_normal.jpg
"Mungo 🧃",DumbDumb_Head_,"ID 1601078992534089728",," 🧃🇦🇺","Fri Dec 09 04:59:25 +0000 2022",73,404,31,794,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1617674298503880705/lxfA4qai_normal.jpg
Schlomo,Kuningaz9,"ID 1131187770033152000",," ","Wed May 22 13:19:15 +0000 2019",14,191,177,1485,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1131188540958814210/RfAOKMuy_normal.jpg
ekaJ,_ekxJ_,"ID 1161525992",," ","Fri Feb 08 23:57:37 +0000 2013",48,406,64,2538,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1256086298634436608/TDRAeA1b_normal.jpg
Zoll,DPM3999,"ID 4800791309",," ","Thu Jan 14 04:35:19 +0000 2016",215,3074,3740,12572,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1573433963754016768/AdQT2if7_normal.jpg
Secondbanana24,TotalBanana7,"ID 1463341947104362496",," ","Wed Nov 24 03:01:36 +0000 2021",1,160,23,1751,,,Disabled,"Not verified",,Protected,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png
"Sebastian from La La Land",JovialSeb,"ID 1603958097478721536","LaLa Land"," Chipper and Jovial Kai","Sat Dec 17 03:39:50 +0000 2022",1894,401,500,1546,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1614569917025746947/C_KuaORQ_normal.jpg
"njf njf njf njf",Shrivelledpinus,"ID 1345301835565842432",," ","Sat Jan 02 09:32:37 +0000 2021",4,228,179,23740,,,Disabled,"Not verified",,Protected,https://pbs.twimg.com/profile_images/1586163261871095808/BvqIY_in_normal.jpg
Jay,Thetruthshal,"ID 1586198062577467394",," The word - Truth","Sat Oct 29 03:28:08 +0000 2022",47,679,17,93,,,Disabled,"Not verified",,"Not protected",https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png
"Cowboy Dan",a90lb10,"ID 1599986520097783808",," Major Player","Tue Dec 06 04:38:15 +0000 2022",22,148,432,2220,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1616324037390614529/PAVgkXSI_normal.jpg
