Name,"Screen name","Twitter ID",Location,Biography,"Created date",Followers,Following,Tweets,Favorites,Website,"Time zone",Geo-enabled,Verified,Language,Protected,"Profile image URL"
MedFirstZoomer,Zoomer_Med,"ID 1196263228038361088",," I AM HAPPY WITH THE CHOICES I MADE 
/    
ABSOLUTE LOYALTY TO NJF  
/ 
ETHAN RALPH 
/ 
JUGHEAD
/ 
SOLDIER OF YE  
/ 
OPERATION REINSTATE NJF 2 IN PROGRESS","Mon Nov 18 03:06:13 +0000 2019",1166,699,4651,31663,http://Cozy.tv,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1617238974430412804/RSAKN9os_normal.jpg
3d0ts,3d0ts3,"ID 1595981737758269442",," ..?","Fri Nov 25 03:24:41 +0000 2022",273,160,17,2392,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1595981827591774208/zDP0Fyk4_normal.jpg
"Chadical Coder",Chadical_Kodar,"ID 1608093395729219584",," Bi-Racial🏅#SpacesHost🧬✝️☦️✝️ Don’t get even, Get ahead!","Wed Dec 28 13:32:13 +0000 2022",1052,775,164,218,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1619299195805990913/LSDBuqMs_normal.jpg
Mateo,oaxacangroyper,"ID 1591255448203628545","Northern California, USA"," America First Christian ✝️ 🇺🇲, Incel, Muay Thai/Boxing/Fitness 🥊🏋🏻‍♂️","Sat Nov 12 02:24:10 +0000 2022",469,284,968,17523,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1592318541423792129/xZc65ClL_normal.jpg
𝙊𝙆𝙂,OKGye24,"ID 1603859354377228289","Oklahoma Groyper "," Ora et Labora • Christ is my Savior • America First • Editor • Spiritual Soldier","Fri Dec 16 21:07:33 +0000 2022",222,200,220,844,https://t.me/FletchersEmporium,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1619998662658068480/x4kGDA41_normal.jpg
Saitama,rapistforfun,"ID 1587047582517399552",," 4.78 inches","Mon Oct 31 11:43:36 +0000 2022",114,0,342,0,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1620862984921784320/6L8uNlEW_normal.jpg
"Iggy Normus Jr.",JrNormus,"ID 1586879487265865729",," Beloved Music Teacher. Infamous live-streamer. Actual Journalist. Christ is King. Correct-Wing. #YE24","Mon Oct 31 00:35:35 +0000 2022",159,475,718,1236,https://linktr.ee/ignoramusmedia,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1596972784286142464/mAz_r7ts_normal.jpg
lukeYE24,lukes_6000000,"ID 1599682588985413635",," AF “Shoutout to this young guy, he’s doing a good job.” -Steve Franssen","Mon Dec 05 08:30:37 +0000 2022",578,760,1228,6534,http://cozy.tv,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1618293079886422016/dFKCpGbb_normal.jpg
"Camp Enjoyer",CampEnjoyer,"ID 1611850299614048256",," Head Counselor #FREENICKFUENTES","Sat Jan 07 22:20:41 +0000 2023",175,289,554,4351,http://t.me/kivsterscamp,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1618333794418806784/rL_SnZ6l_normal.jpg
"YE24 Joker",ye24joker,"ID 1438949088062545935",," YE24 (not affiliated with the official YE for President 2024 campaign— which hasn’t officially yet been announced)","Fri Sep 17 19:33:12 +0000 2021",720,405,4830,5443,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1620202296159223808/ZAriL3XW_normal.jpg
"Daniel Schmidt",RealDSchmidt,"ID 1464322912979144712","Chicago, IL"," Chairman, @Students_Ye 🕊️. Editor-in-Chief, https://t.co/dfKLEl8ney. Sophomore, @UChicago.

Email: danielschmidt@uchicago.edu","Fri Nov 26 19:59:29 +0000 2021",36977,176,882,1914,https://linktr.ee/RealDSchmidt,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1586215440644276224/z2ouCZsT_normal.jpg
"Baked Yelaska West",ZestyGroyper,"ID 1596347931640168450",," NeverBannedAgain","Sat Nov 26 03:39:50 +0000 2022",180,235,473,7530,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1620500869992140800/DtQWxFvp_normal.jpg
"Esoteric Shaggyism",EsoShaggy,"ID 1540108905241612288","Martinez, CA"," Esoteric video editor. Youtube: https://t.co/lwrdBVbquN
Odysee: https://t.co/xqJso0fUQR","Thu Jun 23 23:06:05 +0000 2022",1610,251,3663,12647,https://t.me/mormonshaggy,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1599170726258425858/tZ2vHAln_normal.jpg
