Name,"Screen name","Twitter ID",Location,Biography,"Created date",Followers,Following,Tweets,Favorites,Website,"Time zone",Geo-enabled,Verified,Language,Protected,"Profile image URL"
gypsycrusaderr,gypsycrusaderr1,"ID 1621348467791495168",," Investigative journalist
Crusader Waffen 
Deus Vult🗡🛡⛪🏴‍☠️","Fri Feb 03 03:23:14 +0000 2023",9281,37,40,63,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1621350501034893313/ChCnEMd3_normal.jpg
Mateo,oaxacangroyper,"ID 1591255448203628545","Northern California, USA"," America First Christian ✝️ 🇺🇲, Incel, Muay Thai/Boxing/Fitness 🥊🏋🏻‍♂️","Sat Nov 12 02:24:10 +0000 2022",469,284,968,17523,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1592318541423792129/xZc65ClL_normal.jpg
"computerspilleren YE24🧃",pudwn97,"ID 1448368776383275013",," I forgot what fear is. Juicer baby! #LoveSpeech","Wed Oct 13 19:23:54 +0000 2021",158,525,190,2947,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1620411127636148226/6lK71j4w_normal.jpg
"I,Hypocrite",lporiginalg,"ID 110835004",Olympia," Humble cringe addict & recovering thot enabler.","Tue Feb 02 23:00:54 +0000 2010",232209,859,39438,13170,https://wlo.link/@lporiginalg,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1478064605897261058/aPM43m8i_normal.jpg
"Ye's Side Matter",YandhiToday,"ID 1489525480822906882",," “I dream of a world where dads can still be heroes” -Ye","Fri Feb 04 09:05:44 +0000 2022",1501,1251,3276,4817,,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1609438235809259521/yaXsvUcv_normal.jpg
yevisions,yevisions,"ID 1533500474510434304",," ","Sun Jun 05 17:26:38 +0000 2022",118,27,0,3,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1607357917262479361/5wyYe6Z7_normal.jpg
"Donda's Glory",dondasglory,"ID 1277875456818249729",," ye²⁴","Tue Jun 30 08:03:57 +0000 2020",3419,135,805,2336,http://dondasglory.com,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1542250915800940550/OMI2-kRu_normal.jpg
"Doffy Chan❤️‍🔥",ChiefDoofster,"ID 1601409176923684864",," Based Schizophrenic 😵‍💫 | Lifter 💪 | Incel 🤓| Catholic ✝️ | Married 🤵‍♂️👰‍♀️ |Programmer 👨‍💻| Lawyer 📚| Knitter 🧵","Sat Dec 10 02:51:22 +0000 2022",566,836,1529,1417,https://youtube.com/@doffy-chan3941,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1621683371318411264/mCOG8Xd7_normal.jpg
KaseyYe,kaseywest112,"ID 2852451972",," ","Sun Oct 12 00:32:37 +0000 2014",212,137,6079,30756,,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1243200342629724172/_Hkk1YMs_normal.jpg
"Donda Times",dondatimes,"ID 1415777731535458304",," ","Thu Jul 15 20:59:06 +0000 2021",52542,267,4186,14532,https://freedove.bigcartel.com/product/chitown-bear,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1488631918249787394/xyzvUozY_normal.jpg
"High IQ Groyper",HighIQ_Groyper,"ID 1248418086312538120",," YE24","Fri Apr 10 01:10:48 +0000 2020",74,134,239,21092,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1430390899582767108/Tp7HLN3z_normal.jpg
"Ye Streams",kanyestreams1,"ID 1402724741333520390",," ","Wed Jun 09 20:30:31 +0000 2021",40838,1123,37517,85859,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1603199150090223616/LOAhPLuA_normal.jpg
RabbiLampshade,Lampshade6Rabbi,"ID 1582127320655085593",," Catholic, American.","Mon Oct 17 21:52:12 +0000 2022",174,133,691,2310,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1621399108756832256/giMwNi0w_normal.jpg
"Isaac Riddle",Isaac_Riddly,"ID 2826677387",," ","Mon Oct 13 02:18:41 +0000 2014",321,956,490,38816,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1586151529228156929/eFz7OivT_normal.jpg
ThatShitHurted,ThatShitHurted0,"ID 1601401737197195265",," ","Sat Dec 10 02:21:53 +0000 2022",316,884,815,617,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1601404357869608960/h8Gyv8cv_normal.jpg
"mr goober",Goober30000,"ID 1600707209104527360",," you know it","Thu Dec 08 04:22:02 +0000 2022",238,145,468,2087,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1621174049769508868/_Ff-Fbxp_normal.jpg
applejuicegroyper🧃,groyper_black,"ID 1603957849222168578",," i love creyeating","Sat Dec 17 03:38:54 +0000 2022",201,60,225,866,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1620883520536158226/-Ns4Wfud_normal.jpg
Yejano,Yejano8000,"ID 1608181242276777987",," Oh yea, we are gonna win :)","Wed Dec 28 19:21:08 +0000 2022",88,79,265,2066,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1608195118770839553/nFPLFZwu_normal.jpg
GattinoZoomer,GattinoZoomer3,"ID 1614518861960814592",," ","Sun Jan 15 07:04:38 +0000 2023",11,59,70,620,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1614518959142739970/W_G0wiXS_normal.jpg
"Stew Peters",realstewpeters,"ID 1288319695658135552","Minneapolis, MN"," The People’s Bullhorn - The Stew Peters Show ✝️🇺🇸 #DiedSuddenly","Wed Jul 29 03:45:36 +0000 2020",163101,100,9427,1229,http://StewPeters.com,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1610404178425270276/WFvuDh4x_normal.jpg
"Student of Ye",studentofye,"ID 1603957237205999618",," Ye’s Top Student #ye24","Sat Dec 17 03:36:35 +0000 2022",109,382,143,6917,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1603957896928145408/Gw-bzsiI_normal.jpg
hardwood,hwgrouper,"ID 1600714467590946816",," humble wood merchant #Ye24","Thu Dec 08 04:50:50 +0000 2022",227,207,140,232,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1617937332564365312/9fE8wrcG_normal.jpg
"Richard Percival",DontBanPlsElon,"ID 1596539738672058369",," ","Sat Nov 26 16:22:05 +0000 2022",27,9,744,1279,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1596542230239617025/RnCk6d0t_normal.jpg
j.i.compton,ji_abotticus,"ID 1390415719670722566","Georgia, USA"," #YE24","Thu May 06 21:18:42 +0000 2021",55,510,141,12563,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1618094683489435648/k9QYTBrG_normal.jpg
Deskpx,deskpoo,"ID 1617889603511373828",," RAD TRAD SSPX LOVING CATHOLIC HITLER FANBOY. MATERIAL SCHISMATIC","Tue Jan 24 14:18:47 +0000 2023",9,70,31,68,http://cozy.tv/nick,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1618107538440093698/XAYQ77mn_normal.jpg
Tim,TlMSTER,"ID 1618076378045243394",," ","Wed Jan 25 02:41:27 +0000 2023",84,108,13,754,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1618077410678677504/oRzPahb2_normal.jpg
"Sam Hyde 🇮🇳 😷 (World Crisis Connoisseur)",wigger,"ID 548258435","COM98, 1TEAMistan"," I will not litter.","Sun Apr 08 08:29:42 +0000 2012",116730,1281,2291,4816,https://www.youtube.com/watch?v=GeOSWLGKuaE,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1481021073181265922/TBVzFzJZ_normal.jpg
"lil gloop",realditcel545,"ID 1577710165952196608",," radical hardened male feminist ~ ACAB ~ BLM ~ they/them","Wed Oct 05 17:19:58 +0000 2022",240,135,987,8489,https://open.spotify.com/artist/3VxYHPB0HYnKQdsZXVcldW?si=ez_rd08nStqhc-5JnI5HdA,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1614164716271849473/j3Ld_Kq5_normal.jpg
MassHoleGroyper,MassHoleGroyp,"ID 1608131901134442499",," #YE24","Wed Dec 28 16:05:20 +0000 2022",115,338,955,5520,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1608140692127207430/DY8DHTgS_normal.jpg
cenzz,cenzz19,"ID 1601404943511957504",Antarctica," YE24 + AF = Winning for God again","Sat Dec 10 02:34:46 +0000 2022",166,589,294,5475,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1601407149803831296/1m2pd_Om_normal.jpg
"Rock Muncher YE24",Rock_Muncher_,"ID 1140448134268669952","Ohio, USA"," YE24","Mon Jun 17 02:36:38 +0000 2019",68,457,1052,22686,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1618372262507282432/C4Ywok7p_normal.jpg
"Fat Groyper",yalikejazz1,"ID 897335219082203144","Washington, DC"," Fat","Tue Aug 15 05:52:42 +0000 2017",59,169,106,2260,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/914665485588975616/husEI2vU_normal.jpg
YEisRIGHT,YEisRIGHT2024,"ID 1615187395602776064",," Ye 2024","Tue Jan 17 03:21:08 +0000 2023",996,20,50,123,https://rumble.com/c/YEisRIGHT,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1616126295917707266/4jXwWbfs_normal.jpg
E,ElijahSchaffer,"ID 350822109",Dallas," Reporter. Podcaster. Streamer. Film Producer. Traveling Full Time - Business Contact Elijah@slightlyoffensive.com","Mon Aug 08 10:58:53 +0000 2011",571070,862,31522,9160,http://slightlyoffensive.com,,Enabled,Verified,,"Not protected",https://pbs.twimg.com/profile_images/1612694204282736640/qhJ22nuL_normal.jpg
"Catholic Manhood ❤️‍🔥",bethecreed,"ID 1480342432004947972","Grow in Virtue ⮕"," Catholic | Husband | Father | Restorationist 🇻🇦","Mon Jan 10 00:55:19 +0000 2022",10995,627,1534,3577,https://thecenacle.crd.co/,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1607960827797114882/E5LmwjiW_normal.jpg
"Jackson Hinkle 🇺🇸",jacksonhinklle,"ID 1151913018936053760","United States"," The most censored man on YouTube | subscribe: https://t.co/Gz1QXxS1XX thedivewithjackson@gmail.com","Thu Jul 18 17:53:59 +0000 2019",113421,916,8932,5583,https://linktr.ee/jacksonhinkle,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1567704552283193345/wMLFemzm_normal.jpg
"Paul 🧃🧇",PaulAllenHost,"ID 1591347857948385280",," ","Sat Nov 12 08:31:33 +0000 2022",1047,445,1477,2952,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1591348377450680325/zBlgoMoq_normal.jpg
"Joey McDamus",Joeyguardian,"ID 1603841948447608835","Oklahoma City, OK"," 🪐 🐸","Fri Dec 16 19:58:56 +0000 2022",228,201,491,1534,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1618114994373103619/YV4Tm0J8_normal.jpg
RAMZPAUL,ramzpaul,"ID 53979469","Arkansas, USA"," A proud hillbilly. 
YouTube channel: https://t.co/f0ZX2xXOPr 
Rumble: https://t.co/aVLC1hv48m
Support me at: https://t.co/KWorW8Y8Cp","Sun Jul 05 19:12:52 +0000 2009",111888,296,80029,40468,http://www.ramzpaul.com,,Enabled,Verified,,"Not protected",https://pbs.twimg.com/profile_images/1591074150696865792/4tQhJQFu_normal.jpg
yzyupdates,yzyupdates,"ID 1102712310","United States"," daily news & updates about @kanyewest | @yzy_media","Sat Jan 19 03:58:48 +0000 2013",61741,1893,40989,80744,http://instagram.com/yzyupdates,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1603199513098862597/HyovLFHP_normal.jpg
"Baby ➐",drugcel,"ID 913331707","Briargate, Colorado "," Nothing Gold Can Stay","Mon Oct 29 21:59:13 +0000 2012",2340,268,4157,73738,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1299246535113228288/YteaNg-0_normal.jpg
FubstheFish,FubstheFish,"ID 1511743429667131396",," LDS
#YE24
NJFG4L
Fe/Fi/Fo/Fum","Wed Apr 06 16:31:47 +0000 2022",693,253,4102,12980,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1579590510519283712/ZV3_bscj_normal.jpg
Mike,Axumite_Groyper,"ID 1320174609946165256",," Byzantine Catholicism and
St. Gregory Palamas Enjoyer ☦️

St. Kaleb of Axum pray for us.
May Our Lord and Lady Keep you! 🙏

- NJFG4L  🐸
- YE24 ✝","Sun Oct 25 01:25:43 +0000 2020",37,96,636,862,http://Cozy.tv,,Disabled,"Not verified",,Protected,https://pbs.twimg.com/profile_images/1597029804708364288/Nc7F0eO__normal.jpg
"Lancevideos 🍊",lancevideos,"ID 1305792305539026948","Dallas, TX"," Texan-American Nationalist!","Tue Sep 15 08:56:30 +0000 2020",1099,221,1274,1302,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1606002190514065417/tWumVmXy_normal.jpg
"Anthony Cumia",AnthonyCumia,"ID 19222164","New York, New York"," The Anthony Cumia Show™","Tue Jan 20 05:53:07 +0000 2009",224104,1407,8093,102,http://www.CompoundMedia.com,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/712839804942204928/qnCGVmwB_normal.jpg
"Father V",father_rmv,"ID 120616455",," Fr. R.M. Vierling / “I am a Catholic man and a priest. In that Faith have I lived and in that Faith I intend to die.’ (St. Edmund Campion)","Sun Mar 07 01:04:58 +0000 2010",36099,6811,5219,67284,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1104703651791228928/6HN7DKGF_normal.jpg
💿SMILEY💿,SmileyWaffen,"ID 1603967348838383616","TPUSA HQ"," just generally being based as hell 🐸 🧃🍃 #YE24","Sat Dec 17 04:16:42 +0000 2022",528,694,41,320,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1603968252002160641/0W1Jewq8_normal.jpg
"Jon Miller",MillerStream,"ID 29658469","Lost Angeles, CA / DC"," Gamer Jon’s Official Twitter Account • The King has Returned • Telegram: https://t.co/5U9eyVCLKX • I’m not here to make friends","Wed Apr 08 06:48:05 +0000 2009",92709,2092,12376,5689,http://instagram.com/gamerjon1776,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1609332952445652993/wtiDW_3n_normal.jpg
