Name,"Screen name","Twitter ID",Location,Biography,"Created date",Followers,Following,Tweets,Favorites,Website,"Time zone",Geo-enabled,Verified,Language,Protected,"Profile image URL"
Kočkaborejec,gigaautista,"ID 976084706763649029",," Norwood konzervativec","Tue Mar 20 13:15:03 +0000 2018",241,724,1584,38269,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1523783608409993218/SIisK5XV_normal.jpg
process,clusterreaction,"ID 1588931905671397377",," ","Sat Nov 05 16:31:15 +0000 2022",0,72,1204,8067,,,Disabled,"Not verified",,Protected,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png
"지독한 병신 🎴",byeongshinnim,"ID 1393115075372744707",🇰🇷," #kpopright
~micrum-mapryl","Fri May 14 08:05:18 +0000 2021",91,959,401,5475,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1613068965663879168/WzLIdkVy_normal.png
"Ephebophile G00n3r",EphebophileG,"ID 1617020480333963265","Shinobu pussy"," This is a moment to savor #goon4hitler","Sun Jan 22 04:45:05 +0000 2023",66,147,403,1593,,,Disabled,"Not verified",,Protected,https://pbs.twimg.com/profile_images/1617024469146521602/cScxZzO7_normal.jpg
"Obsidian Age Degenerate",PedoNecroHitler,"ID 1411330524795310084",," GBE, PhD, 5'2'', 191 IQ, 289 lb
                 @/Kewaso2's other acc.","Sat Jul 03 14:26:45 +0000 2021",18,227,338,5617,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1529253781774290944/SaHT96w8_normal.jpg
Seth,SethProchazka,"ID 709969267",," ","Sun Jul 22 02:50:43 +0000 2012",476,937,2876,8386,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1619145099627077633/pR-V-bu4_normal.jpg
LesTempsEstArrivé,HigherEmanation,"ID 1621327570615603203",," ","Fri Feb 03 02:01:46 +0000 2023",65,88,5,2,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1621328483883393025/QVy74Oo4_normal.jpg
"Hotep Steve Martin",SonoNis,"ID 1381664349933158412",," Wasteoid","Mon Apr 12 17:44:13 +0000 2021",142,321,1355,21416,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1381665129301950468/rp6TZaBm_normal.jpg
"George Jon",GeorgeJon14,"ID 1594159714102902784",," ","Sun Nov 20 02:44:42 +0000 2022",0,2,0,0,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1594159773011804160/lrMntOr6_normal.png
Jan,nkntrwrsjn,"ID 1613866038646505472",," ","Fri Jan 13 11:50:35 +0000 2023",8,195,64,749,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1614887974927302656/1JfFaff5_normal.jpg
.,egirlfeetpic,"ID 1469695689303199756",thunderdome," ","Sat Dec 11 15:49:02 +0000 2021",3,300,3,1429,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1491898468956311554/zKipew7G_normal.jpg
