Name,"Screen name","Twitter ID",Location,Biography,"Created date",Followers,Following,Tweets,Favorites,Website,"Time zone",Geo-enabled,Verified,Language,Protected,"Profile image URL"
"ཆོས་དབྱིངས་སྟོབས་ལྡན་རྡོ་རྗེ ཨ་ལགས་རྒྱལ་པོགངས་རི་ཐ",Tshidpakadoru,"ID 1527698802572152832",," sems ni rtsa ba ma rig pa dangmtshungs par ldan pa dri ma dang bcas pa’i chos khor ba rang ka ma yeshes kyi nyi ma sgrib pas sprin dang dra laye shes ni","Fri May 20 17:12:48 +0000 2022",244,1821,8215,9637,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1607787486188822528/Z-z7jAXE_normal.jpg
LindyMan,PaulSkallas,"ID 886358633646350340",DC," Lindy Newsletter: https://t.co/SkyhCxA5Aq

@lindyeffect | @lindydiet","Sat Jul 15 22:55:40 +0000 2017",63804,992,54680,53684,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1475164543504601088/ZmIsTj1r_normal.jpg
"Shaniqua Sheboon shredding jet engine groyper",ClearpilledChud,"ID 1619453154432815106",," ","Sat Jan 28 21:51:57 +0000 2023",27,119,38,1264,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1619567894026932224/_6naDpnD_normal.jpg
"Prison Lover",ILOVEPRISONS,"ID 1613296219429675010",," The prison shall rise again.","Wed Jan 11 22:06:15 +0000 2023",589,185,2015,3585,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1613311811977187328/qQbP0niO_normal.jpg
"Sakura San-tou",Bacchian12,"ID 1612628735781478401",," Seeking the rebaroque-ization of man","Tue Jan 10 01:54:01 +0000 2023",480,348,1268,6278,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1617398213941628931/CEyPJnbU_normal.jpg
Unknown,Unknown38970358,"ID 1567305841371500544",Russia," monkey","Wed Sep 07 00:16:56 +0000 2022",859,7,23,14,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1567306836188995584/4qAxcXTC_normal.jpg
Sorge_,BronzeAgeRetard,"ID 999405113167962112","The Sea of Stars"," Sweet Annihilation","Wed May 23 21:42:01 +0000 2018",261,222,1238,31149,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1526069906894073856/mnkTUEN-_normal.jpg
Enigma,enigma0451,"ID 1406681282566840328",," Single-player gamer","Sun Jun 20 18:32:18 +0000 2021",583,394,17791,62956,,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1609193723622989825/WY82ABQw_normal.jpg
"MD Orphevs",MDOrphevs,"ID 1556059004928917504",," Beyond Thyroid and Progesterone","Sat Aug 06 23:25:58 +0000 2022",2143,369,4468,12887,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1612977168497131521/gZxQ8jEg_normal.jpg
ᛣ,oIdheadtweets,"ID 1599804331481763841",," it's never over","Mon Dec 05 16:34:15 +0000 2022",946,325,96,4351,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1611588247666429953/msZiQACk_normal.jpg
Lycurgus,LycurgusSpartan,"ID 1491760762729246724",," ","Thu Feb 10 13:08:14 +0000 2022",537,3685,17868,45913,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1500105323914448900/9q7j2Ce1_normal.jpg
