Name,"Screen name","Twitter ID",Location,Biography,"Created date",Followers,Following,Tweets,Favorites,Website,"Time zone",Geo-enabled,Verified,Language,Protected,"Profile image URL"
"Lori Chetgill",LChetgill,"ID 1610391300968251394",," ","Tue Jan 03 21:43:12 +0000 2023",50,143,1306,2444,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1620214969357803523/EBtTc6G2_normal.jpg
"Blacks Say The Darndest Things",BleqKangz,"ID 1621542555648245763",," We're back to celebrate black excellence
#BlackHistoryMonth
#KangznSheeeeiiittt","Fri Feb 03 16:14:14 +0000 2023",15,42,29,172,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1621542670786088960/QTFBg305_normal.jpg
Traveler,NeverSayDie1978,"ID 1608273003560964098",," Gen X Southern Nationalist.
RAC music enjoyer.","Thu Dec 29 01:27:12 +0000 2022",141,198,491,2327,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1612271361577172992/siuUVDr0_normal.jpg
Jamie,Jamie83107302,"ID 520016930","New England"," If you haven't been called Anti-Semitic, You're not doing enough for Palestine... #IsraelDid911","Sat Mar 10 02:26:30 +0000 2012",1871,1437,41918,52169,,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1608993959883177984/VfA8pmya_normal.jpg
"Leuchter report (Go read me)",Metalifan72,"ID 1518749305548554242","The territories"," Peace will sell but unfortunately no one is buying! Ban the inhumane practice of circumcision! It is genital mutilation! Stop harming your sons!","Tue Apr 26 00:30:57 +0000 2022",211,611,3592,4700,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1611327596406648833/u6ozfgb2_normal.jpg
"Universal Theory",universaltheory,"ID 296965667","Hortaleza, Madrid, Spain"," Official #UniversalTheory #Music - #ThePleasureOfSearching #UT (#Dark #Atmospheric #Gothic #Doom-#Rock & #Metal) We Are Nature. We Are Universe. Jesus Pinilla🤘","Wed May 11 18:01:52 +0000 2011",110949,121139,11669,22051,https://open.spotify.com/artist/2409LDlzn4pQRewRRDrV9A,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/613072632146198528/6_t7UQ2P_normal.jpg
"Prof Burner",ProfessorBurner,"ID 1601255953093234690",," Pro-White. Ready to fight. Straight. White. Male. Unjabbed. American with German, Scottish, Irish, English, & Scandinavian ancestors. Mostly angry German ones.","Fri Dec 09 16:44:18 +0000 2022",45,410,394,865,https://archive.org/details/rosenthal-document-hidden-tyranny-1983/mode/2up,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1619071489554190336/UO8XCMzc_normal.jpg
"Tonу Hrvatskа, MD PhD BMI 24.7 IQ 147",NOTtonyhrvatska,"ID 1587278902912753664",Tottoland," local warlord","Tue Nov 01 03:02:54 +0000 2022",83,258,1727,3669,http://t.me/tonybalogna,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1587282443408756737/1om1EZ9w_normal.jpg
"The Duke👑",TareekWife,"ID 1490704944827039746",," I am the duke of New York, thats A, number 1! I've noticed too much.","Mon Feb 07 15:12:20 +0000 2022",261,393,3962,6750,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1595731660045099008/gEjWApD-_normal.jpg
"Benny Blattberg",BennyBlattberg,"ID 1589539650997215234","New York"," Proud jew. Hunting down and exposing antisemitism. Parody account. 🇮🇱 🇺🇦 🇺🇸
Darles Chickens","Mon Nov 07 08:46:13 +0000 2022",501,477,5868,11995,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1594463178397831168/_JlSG4GD_normal.jpg
