Name,"Screen name","Twitter ID",Location,Biography,"Created date",Followers,Following,Tweets,Favorites,Website,"Time zone",Geo-enabled,Verified,Language,Protected,"Profile image URL"
🩺PharmacopYE-ist💊,FarAwayAndCozy,"ID 893348197040566272","☣️Groyper Blacksite☢️"," 💊🍬Better Living through Pharmaceuticals ™️🍭 follow for the next Rx drop.. first ones free","Fri Aug 04 05:49:42 +0000 2017",2691,2092,3720,2402,http://CozyDOTtvNot.com,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1609389113613885441/9GVAeGLS_normal.jpg
"Dark J3ster",dark_j3ster,"ID 1586478559597502464","New Zealand"," BFD contributer
https://t.co/orglZQjw8j
https://t.co/avqYRZo5GC
https://t.co/Efie4D3xZo
https://t.co/eFa3Qh5uWL","Sat Oct 29 22:02:28 +0000 2022",170,2899,51,0,https://thebfd.co.nz/author/darkjester/,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1586481573397815296/NFnUgT_B_normal.jpg
NJF'sMostLoyalGroyper,LoyalGroyper,"ID 1617899722299023362",," ✋I swear I will be loyal to Nicholas J. Fuentes-AF-Groyper-YE24","Tue Jan 24 14:59:06 +0000 2023",11,113,170,241,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1617899866935394307/p8ALoUAV_normal.jpg
"BC Cov",bc_cov,"ID 1617902104403759108",," Be Funny Online
AF Nationalist
Ye24 NJF36","Tue Jan 24 15:08:21 +0000 2023",34,220,35,155,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1617903640747937793/LhVPvSDs_normal.jpg
PanorYE24,PreciousPan1,"ID 1589073057137713154",," #YE24 AF JUGHEAD","Sun Nov 06 01:52:21 +0000 2022",44,198,90,2493,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1598913455125417984/H-E3nmHG_normal.jpg
"jody millard",17hmrgirl,"ID 1608230901736955905",," wife mother grandmother 2nd amendment and constitution supporter,loves to ride on the back of my hubbys motorcycle.","Wed Dec 28 22:38:49 +0000 2022",20,109,39,55,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1608231023472513024/bnBSTcyd_normal.png
"Andy Ogles Stan",AndyOglesStan,"ID 1617614030385909769",," Not affiliated with or impersonating Rep. Andy Ogles | Zoomer Pennsylvanian | Roman Catholic","Mon Jan 23 20:03:50 +0000 2023",36,177,363,524,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1617614909595914243/hbjOfev6_normal.jpg
"Captain Commander Perry",Scottperrystan,"ID 1616552288813830151",," I like Bleach, official account @realorder1776","Fri Jan 20 21:44:48 +0000 2023",34,135,77,11,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1620501369827336210/6dxbBqB4_normal.jpg
"Incel King",esotericgenius,"ID 1616109799669637120",," ","Thu Jan 19 16:26:43 +0000 2023",20,67,154,218,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1616225603073474562/IVNK_UGY_normal.jpg
"Becky Hertzog",HertzogBecky,"ID 1439725389438455810",," ","Sun Sep 19 22:58:08 +0000 2021",24,448,25,6410,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1439725525929545728/NtKh0cqX_normal.png
"So freaking comfy",americarocksss,"ID 1607020114532073473",," Engaged in a war against wisCONsin.

Alma 37 47","Sun Dec 25 14:27:31 +0000 2022",39,183,312,1022,http://ChurchofJesusChrist.org,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1607114738147753985/A7Z5nGgQ_normal.jpg
"Democrats for Hawley",Dems4Hawley,"ID 1611817405247782913","Missouri, USA"," A coalition of like-minded Democrats committed to re-electing the Maverick from Missouri. Not affiliated with the Josh Hawley campaign.","Sat Jan 07 20:10:02 +0000 2023",80,283,30,16,http://joshhawley.com,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1611823940778819585/DoV_lobE_normal.jpg
Liam,WilliamSmithUt,"ID 1611097390966095879",," ","Thu Jan 05 20:29:07 +0000 2023",0,359,1,49,,,Disabled,"Not verified",,Protected,https://pbs.twimg.com/profile_images/1611097711238848514/8SF_JHhd_normal.jpg
"Steve Lynch Official",StephenFLynch,"ID 62826303","ÜT: 40.581874,-75.361807"," Here to make the left very uncomfortable! When in doubt, send 20 strong men! 😉","Tue Aug 04 14:06:12 +0000 2009",532,352,8601,3130,,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1586070336969244673/BXqoO0_h_normal.jpg
"ᴬᵐᵉʳᶤᶜᵃᶰ ᶜᵃᵉˢᵃʳ",GSYMPATHIZER,"ID 1606441831352483840",," Founding Stock Supremacist. Anti-Trust Proponent. Nationalism. Protectionism. Immigration Moratoriums.","Sat Dec 24 00:09:23 +0000 2022",68,103,1337,2863,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1606441933181751297/11LCp5Gs_normal.jpg
Patton⭐️🇻🇦,GSPreal,"ID 1603037299578736640",," Catholic","Wed Dec 14 14:41:20 +0000 2022",654,491,2246,2684,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1604849310075682816/cwFSf0us_normal.jpg
"MAGA DINO",maga_democrat,"ID 1529615365608615937","Greenville, SC"," MAGA Independent | Coming after the Democrat troublemakers","Thu May 26 00:08:25 +0000 2022",155,297,75,53,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1610964173223231489/omfjHP1A_normal.jpg
"Andries Treurnicht Fan 🇺🇸🇿🇦✝️",A_TreurnichtFan,"ID 1610436651896999940",," Likes Conservative Politics 
Free Market man
History Enthusiast 
Hater of Based Southern
Very Anti- Woke
Corporations are people","Wed Jan 04 00:43:19 +0000 2023",131,518,300,355,,,Disabled,"Not verified",,Protected,https://pbs.twimg.com/profile_images/1610437479873617923/Q630WBTX_normal.jpg
