Name,"Screen name","Twitter ID",Location,Biography,"Created date",Followers,Following,Tweets,Favorites,Website,"Time zone",Geo-enabled,Verified,Language,Protected,"Profile image URL"
"Donald J. Trump",realDonaldTrump,"ID 25073877","Washington, DC"," 45th President of the United States of America🇺🇸","Wed Mar 18 13:46:38 +0000 2009",87686151,50,59141,0,http://Vote.DonaldJTrump.com,,Enabled,Verified,,"Not protected",https://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg
HauteMILF,HMilf77,"ID 1233637371830079490",," ","Sat Feb 29 06:17:37 +0000 2020",2506,387,12405,19299,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1344967864164335616/MvQ9E-vS_normal.jpg
"Auron MacIntyre",AuronMacintyre,"ID 1251900966770794498",," Columnist and host @theblaze, tapper of signs: https://t.co/wJ6VkMUOtC","Sun Apr 19 15:50:38 +0000 2020",109797,523,13040,44909,https://www.youtube.com/c/AuronMacIntyre,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1611079242854420481/xHMZ4bdw_normal.jpg
☯︎,TaoistShelby,"ID 1546574879302062080",Saṃsāra," ","Mon Jul 11 19:19:31 +0000 2022",2903,542,774,4842,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1616652599943380993/k3JvugFw_normal.jpg
SalubriousCandor,Kingdom_Drowned,"ID 1582457914161303567",," Energy is eternal delight 

""For all that lives is holy.  Life delights in life.""","Tue Oct 18 19:46:24 +0000 2022",146,269,301,2075,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1583538543254798357/J8dktwFI_normal.jpg
WUŁF,Footjob1488,"ID 1574904821378781185",Mongolia," battlemage","Tue Sep 27 23:32:33 +0000 2022",797,141,1783,18915,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1597388241010769920/nFVztjVP_normal.jpg
km,Yonibrah,"ID 1137212460656709632",," Saiyans like us Prince Vegeta…","Sat Jun 08 04:19:13 +0000 2019",1414,413,5013,29179,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1607911482053861376/S0wYuAKU_normal.jpg
"Western Shinto Demagogue",ShintoDemagogue,"ID 1428150190528073728",," 21st🦘Century🏄‍♂️Schizoid☯️Clan","Thu Aug 19 00:23:06 +0000 2021",84,77,1573,5490,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1428151288823312387/YNxc4obv_normal.jpg
"Jonathan Bowden Quotes",BowdenBot,"ID 1481349484915404803",," Partly a theatrical performance as well as an ideological and semi-intellectual one.","Wed Jan 12 19:37:04 +0000 2022",3931,198,3493,5114,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1620231366074925057/Sh--G1FV_normal.jpg
"E Boss man",TakeVaccines,"ID 1437800672146165763",Pfizer," behold a pale horse","Tue Sep 14 15:29:44 +0000 2021",1389,491,3646,22242,,,Enabled,"Not verified",,Protected,https://pbs.twimg.com/profile_images/1609992505805643778/08_bYtQ5_normal.jpg
"₩₳Ɽ ₱₳₮Ⱨ",WarPath2pt0,"ID 1343074678450102273","The Range"," Videos are intended for training purposes. 𝘞𝘢𝘳𝘯𝘪𝘯𝘨: 𝘚𝘰𝘮𝘦 𝘷𝘪𝘥𝘦𝘰𝘴 𝘮𝘢𝘺 𝘤𝘰𝘯𝘵𝘢𝘪𝘯 𝘨𝘳𝘢𝘱𝘩𝘪𝘤 𝘭𝘢𝘯𝘨𝘶𝘢𝘨𝘦 𝘢𝘯𝘥 𝘪𝘮𝘢𝘨𝘦𝘴","Sun Dec 27 06:02:23 +0000 2020",51841,1727,16141,48037,http://www.arriveviolently.com,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1542173666653487104/WO5bDZqs_normal.jpg
"Stonetoss Comics",stone_toss,"ID 873051724604334080",," - Cartoonist: new comics every Tues/Thurs
- Pro-speech
- Trigger warning: Jokes
- NFTs: @FlurksNFT
- About me & my work: https://t.co/jgmP5JMgOt","Fri Jun 09 05:38:46 +0000 2017",323374,326,2552,810,http://stonetoss.com,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1570411531459780610/zRqFwm8V_normal.jpg
SHM🅾️E,AppalachiaHound,"ID 1476597126880808969",," 🌲 Appalachian Dweller 🌲","Thu Dec 30 16:53:42 +0000 2021",741,349,2327,11115,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1617949336368779274/alEHSNCQ_normal.jpg
"cubs 🌲",cubsjaw,"ID 1194116373661782016",," ","Tue Nov 12 04:55:19 +0000 2019",10271,476,743,126387,http://www.revilo-oliver.com/Writers/Klages/100.html,,Disabled,"Not verified",,Protected,https://pbs.twimg.com/profile_images/1616646993723510788/HzVwE_eF_normal.jpg
"Surfbort Cowboy🌲",surfbortcowboy,"ID 1142620696054386689","The ‘Satch "," fighting-age male, rancher | 山賊","Sun Jun 23 02:29:37 +0000 2019",5207,1017,10291,14183,,,Disabled,"Not verified",,Protected,https://pbs.twimg.com/profile_images/1269704535674466305/_iLqG1lP_normal.jpg
"Ruck Pig",WalkinTalkinPig,"ID 1478127364399841290",," Only in death does duty end. Sinner. Isaiah 6:8.","Mon Jan 03 22:14:05 +0000 2022",807,598,10108,30621,,,Disabled,"Not verified",,Protected,https://pbs.twimg.com/profile_images/1613976511773540375/VaVE_Ok0_normal.jpg
𓃒,whitebrahmin,"ID 1367128446426619906",," ♱","Wed Mar 03 15:03:28 +0000 2021",1718,310,6152,22925,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1611595980247293953/09EaSKlS_normal.jpg
dotmil,D0TMIL,"ID 1266954979648176128",," I love Jesus and my kids.","Sun May 31 04:49:52 +0000 2020",67,159,2642,3567,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1310700323565170689/eSwrKy0U_normal.jpg
"cor aut mors",_corautmors_,"ID 996704669844963328",," An Appeal to Heaven","Wed May 16 10:51:25 +0000 2018",250,1003,19116,5438,,,Disabled,"Not verified",,Protected,https://pbs.twimg.com/profile_images/1274041167772962819/CAB1J0lZ_normal.jpg
III7,thetriuneman,"ID 1201574526347366405","Spirit of The Buffalo"," the triune man | veteran | father | warrior of God | you can find me in the atrium where The Light never dims: Revelations 22:5","Mon Dec 02 18:51:18 +0000 2019",2102,446,6609,38569,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1387361332979191809/GRACvd_4_normal.jpg
"Bronze Age Manlet",bronzeagemanl3t,"ID 1421890350390464513",," Warm Brain Enthusiast","Sun Aug 01 17:47:42 +0000 2021",2349,412,1981,14955,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1562621665313296384/DQe-YeO-_normal.jpg
𓂉,HandsomeAutism,"ID 979761997997801472",," ","Fri Mar 30 16:47:18 +0000 2018",140,178,1904,16191,,,Enabled,"Not verified",,Protected,https://pbs.twimg.com/profile_images/1551670277238562818/st6zFhgX_normal.jpg
Pain,LogoDaedalus69,"ID 1340073954820694016",," ","Fri Dec 18 23:18:34 +0000 2020",156,202,4018,5736,,,Disabled,"Not verified",,Protected,https://pbs.twimg.com/profile_images/1541922791796183041/cxL3sBDu_normal.jpg
Derrick,moeguns_,"ID 829436361560121344","The Mountains "," Professional picture taker |
Mediocre machinegun manufacturer | Occasional image doodler |
07/02","Wed Feb 08 21:06:53 +0000 2017",21646,285,397,23230,http://moeguns.com,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1463285356875313153/i3JA6EZA_normal.jpg
"Marmot Industries",MarmotRespecter,"ID 436463305",," Premium lifestyle brand","Wed Dec 14 06:20:37 +0000 2011",15641,796,6913,191660,,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1612677315280138241/c6wEnvHL_normal.jpg
𓅓,UWillDieInGitmo,"ID 1456655802236915715",," ⏳⌛️","Fri Nov 05 16:13:08 +0000 2021",1259,561,3684,102413,,,Disabled,"Not verified",,Protected,https://pbs.twimg.com/profile_images/1619074281832325127/F2aHB4PB_normal.jpg
◬,DionysusTriumph,"ID 1461782957354627072",," ","Fri Nov 19 19:46:41 +0000 2021",24,3,1,0,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1461783129442639875/Dgzm9RWB_normal.jpg
"Gator Respecter",gatorrespectr,"ID 802290153314283524","Florida Supremacist"," HAND YOURSELF OVER; REMAIN CALM.
I ONLY PLAN TO STEAL WHATEVER I WANT","Fri Nov 25 23:17:33 +0000 2016",3914,1242,19610,99003,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1609346878281326593/LlJvtXXa_normal.jpg
"HRH COLLECTION",HRHCOLLECTION,"ID 117521399","Los Angeles, CA"," Jewelry designer / rant & vibe queen 💘 Shop my line https://t.co/AMlAwmDM1f Insta: @ therealhrhcollection","Thu Feb 25 20:36:44 +0000 2010",53540,293,15783,14283,http://www.shophrh.co,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1556659738443522048/0awRTdnJ_normal.jpg
Scr🅾️ℹ️🅱️,deftonessuckjob,"ID 1366580597787877391",," ","Tue Mar 02 02:47:12 +0000 2021",165,198,2525,31679,,,Disabled,"Not verified",,Protected,https://pbs.twimg.com/profile_images/1616140414670589956/ZWKhASRA_normal.jpg
Beachstud90210,KhalkeionGenos,"ID 1434720042193760256","Cartagena, Colombia"," Opposition activist. National nudism. Anti-xenoestrogen awareness. Militant radical Hellenism. Free Tibet","Mon Sep 06 03:29:03 +0000 2021",59035,67,25674,37787,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1434722373123682305/sITLBErd_normal.jpg
