Name,"Screen name","Twitter ID",Location,Biography,"Created date",Followers,Following,Tweets,Favorites,Website,"Time zone",Geo-enabled,Verified,Language,Protected,"Profile image URL"
Military1945.com,FrederickCotte3,"ID 1533146783945068545","Barcelona, Spain"," I weave rare film footage from a massive film archive together with other primary source printed materials, to create unbiased documentaries. Come and see!","Sat Jun 04 18:01:04 +0000 2022",52,2,29,1,http://Military1945.com,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1533147145619968000/VO6I-Vzd_normal.jpg
RhodesSoda,ChoktawBingo,"ID 1587032656990339072",," Anon Amerikaner. Sensible Centrist. cigarettes. Busch Light. Cuddihy. Nathaniel West. Mishima.","Mon Oct 31 10:44:27 +0000 2022",88,410,1413,3408,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1590969376039403521/4bcr16ef_normal.jpg
"J. Burden 🦫",_jburden,"ID 1503136307878502400","Beavertown USA"," https://t.co/lzCGzQDTUa Host of the J. Burden Show on YT, Apple and Spotify. Retweets should be considered unadulterated endorsements","Sun Mar 13 22:30:04 +0000 2022",1967,592,2036,4831,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1607787917526573058/mzOGXi5Z_normal.jpg
"✠ 𝔅𝔞𝔯𝔬𝔫 𝔳𝔬𝔫 ℜ𝔦𝔱𝔱𝔢𝔫𝔥𝔞𝔲𝔰",husafell_stone,"ID 1325283744245280768","Morlancourt, La France"," Opposition activist. Ritter Sport. Fokker Triplane enjoyer. Raw milk & organ meats eater. Lifting. Turnen. Bach. Aesthetics. Free Elsaß-Lothringen!","Sun Nov 08 03:47:56 +0000 2020",3657,2609,27216,65781,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1600533871837138944/eXih2WsS_normal.jpg
Kyle,kushbom420,"ID 976574045998206977","Austin, TX"," ","Wed Mar 21 21:39:31 +0000 2018",538,567,1588,57562,,,Enabled,"Not verified",,Protected,https://pbs.twimg.com/profile_images/1610337242345607168/kMHs2aQj_normal.jpg
"Eric Brancard",EricBrancard,"ID 969032842457108482",," ","Thu Mar 01 02:13:28 +0000 2018",13,117,24,9449,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1500669119015923714/SgcJvLJd_normal.jpg
"Man of Action",MindsetVet,"ID 999488642153435137",," History mostly. Some books and business stuff.","Thu May 24 03:13:56 +0000 2018",1370,893,7027,15145,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1527448139623456788/cDSJBuD__normal.jpg
GenX973,GenX973,"ID 1412701271363031041",," ","Wed Jul 07 09:14:50 +0000 2021",224,565,63488,93979,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1526615873477279746/D59aGHdc_normal.jpg
"Future Yeoman",TCapsulae,"ID 1365766610883997698",," ","Sat Feb 27 20:52:18 +0000 2021",2942,613,8466,26333,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1365771217890811905/SAvSJgxb_normal.jpg
PetesSubstack.com,petessubstack,"ID 1561177309406810114",," 'This is the Age of Absolute Politics, for the whole form of our life is now a function of power'","Sun Aug 21 02:24:24 +0000 2022",2948,385,586,4084,https://bit.ly/3AmY9O3,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1599424643387072512/8XM5qOy3_normal.jpg
