Name,"Screen name","Twitter ID",Location,Biography,"Created date",Followers,Following,Tweets,Favorites,Website,"Time zone",Geo-enabled,Verified,Language,Protected,"Profile image URL"
✝Ekli,mrEkli,"ID 22321640",Fus/Ro/Da," The water made the fogs gray.

Not a fan of ""half-gospel Christianity"".

I tweet my mind. 

🇺🇸 + Gamer / indieDev🎮+ Christian✝️ + @tilden_mary's Guy💍","Sun Mar 01 02:10:05 +0000 2009",544,4945,12117,58955,https://mastodon.online/@mrekli,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1610398568908738560/QlwV--19_normal.jpg
"You Kipper",ukipperlad,"ID 1620439658936033281","NE England"," the artist formerly known as","Tue Jan 31 15:11:51 +0000 2023",561,555,73,377,https://www.youtube.com/c/TwoKipper/,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1620440417937260545/of4r2qh-_normal.jpg
"Vincent James",_VincentJamesAF,"ID 1605822643458174976",," Treasurer of America First Foundation, Founder of Daily Veracity, Cozy Streamer","Thu Dec 22 07:09:15 +0000 2022",4760,272,298,547,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1605850617091850240/C9N6qwaW_normal.jpg
hotash,thehotash1,"ID 1454259458167787524","HOMELESS  IRELAND"," CORRUPT IRELAND","Sat Oct 30 01:31:54 +0000 2021",2172,2096,8220,5456,,,Disabled,"Not verified",,Protected,https://pbs.twimg.com/profile_images/1611939797605523456/tmLX_6vc_normal.jpg
AmericanGirl,americangirlxp,"ID 1599530276333539328","Florida, USA"," Independent. None of the boxes seem to fit quite right.","Sun Dec 04 22:25:19 +0000 2022",280,407,2265,8325,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1599530922986115072/eGvjdHXc_normal.jpg
Clownworldrules,clownworldrules,"ID 1449136756394237962",," Clown world is here to stay","Fri Oct 15 22:15:19 +0000 2021",15,145,99,735,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1599372385790164995/HXrZrs53_normal.jpg
FreeSpokenMedia,FreeSpokenMedia,"ID 1219008378187526145",," - The devil is in the details
- Pro-nationalist
- Anti-globalist","Sun Jan 19 21:27:14 +0000 2020",620,201,3749,7178,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1553589022290837504/FALMLwYM_normal.jpg
"Pater Crow",PaterCrow,"ID 725822284930375684",ZOG," We shouldn’t have to live like this. American Futurist, terrible Catholic, NatSoc. My sincere thanks to anyone who helps spread the message.","Thu Apr 28 23:01:32 +0000 2016",3033,277,27942,37501,https://www.bitchute.com/video/YDyz9eZKkSQv/,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1268345669607186432/HYgZaZTg_normal.jpg
"Anglo de Banff",AnglodeBanff,"ID 1601929172007395330",," Until the mind of the old nation gets a little stronger. 🏒 🌲 🥩 🍺 🇬🇧 #LetsGoOilers","Sun Dec 11 13:17:51 +0000 2022",102,371,2775,3586,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1601978213521031168/ieVTdsEE_normal.jpg
"Frank DeScushin",FrankDeScushin,"ID 1451941051334283264","Truth or Consequences, NM"," That neighbor you don’t know, but you like anyway because I nod and wave.","Sat Oct 23 15:59:31 +0000 2021",3671,1719,4782,16510,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1611194120143360001/_lNgik-M_normal.jpg
"Whiskey Tango Foxtrot",WingDynasty,"ID 320370596",," If you're not confused, you clearly don't understand the situation","Sun Jun 19 19:56:41 +0000 2011",5350,5288,72186,76369,,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1535450707087593472/co3QbZ7p_normal.jpg
Jill,JillColtonFree,"ID 1092606785108803584",," Wife, mama x2. @UofT Alum, Former TV broadcaster. ✝","Tue Feb 05 02:12:12 +0000 2019",7710,674,9859,9499,,,Disabled,"Not verified",,Protected,https://pbs.twimg.com/profile_images/1595110062695092230/5OyonfMu_normal.jpg
"Laura 🇺🇲 🇸🇯 🇨🇭🏴󠁧󠁢󠁷󠁬󠁳󠁿 🇬🇧 ✝️ 📿",RecoveryRat,"ID 277844631",," It's OK to be supreme
Her/Shey","Wed Apr 06 04:27:42 +0000 2011",1244,1221,52956,106241,,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1348955111423410176/01cN_xZr_normal.jpg
"Henrik Palmgren 🇸🇪 ᛟ",Henrik_Palmgren,"ID 2231109295","Götaland, Sweden & North Idaho"," Konung @redicetv ᛟ Rus wife, 2 Varangian sons & 1 Valkyrie ᛯ https://t.co/JWnZrk20Po ⨁ https://t.co/xNUVxIoIMc ⨁ https://t.co/69MZ1GgBSN ⨁ https://t.co/Ee2qcbmY6z ⨁ https://t.co/Yu6psHYrI5","Thu Dec 05 07:42:22 +0000 2013",46742,1095,12454,7706,https://redice.tv,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1611589765689925632/K-RqU2HD_normal.jpg
"Joyce's Wake Unofficial",UnofficialWake,"ID 1614225828480442368",," Yes.","Sat Jan 14 11:40:19 +0000 2023",272,30,123,116,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1614226465628758018/DjNWXGBt_normal.jpg
Holocaust_Survivors_Speaks,uspakoise,"ID 1607094388202606592",Teheran," Exposing the evil nazi crimes","Sun Dec 25 19:22:24 +0000 2022",553,341,389,61,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1607145942003613697/oycKd7sC_normal.jpg
"Craig McFarlane",CraigMc00443242,"ID 1365982429090037762",," Playwright and Performer","Sun Feb 28 11:09:33 +0000 2021",37,107,298,771,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1589986918615359488/Dt93grAY_normal.jpg
"⚡️⚡️Adolf Hasslehoff⚡️⚡️",AdolfHasslehoff,"ID 1610638542606110720","Liverpool "," Your little salty scouse friend is BACK!
Anti globalist
Critical semite theorist
(((THEM)))
Jabby/dodger
Keen noticer","Wed Jan 04 14:05:37 +0000 2023",342,391,5553,8104,,,Disabled,"Not verified",,Protected,https://pbs.twimg.com/profile_images/1610638633425420289/Xv0hnbnJ_normal.jpg
"Charles Babbage",thepoettrap,"ID 434459446",," lies all of it","Sun Dec 11 22:00:30 +0000 2011",1057,379,40333,15328,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/593379881045614592/1i7h8-c5_normal.jpg
Enlightenment,Wokefromsleep,"ID 1306579205094887425","The end of my tether"," ","Thu Sep 17 13:03:18 +0000 2020",1235,612,26162,19019,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1361776283542241280/P-CchknW_normal.jpg
"Carl Benjamin",Sargon_of_Akkad,"ID 2472399354","Merry Old England"," Englishman. Postmodern traditionalist. Sensible centrist.","Thu May 01 12:09:43 +0000 2014",280901,524,55309,43643,http://lotuseaters.com,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1595030213989203968/scjFn0RN_normal.jpg
"William of Norwich",WilliamNorwich7,"ID 1601871784734760961",," ","Sun Dec 11 09:29:49 +0000 2022",136,228,1073,3919,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1601871970861256705/ZoqjgDyK_normal.jpg
"Concrete Horizon",ConcreteHorizon,"ID 1354845950423011328",," 12 yards of treacle and 5 years of lurking.

But no more! Intestinal pressure rises, rupture and spew across the page - pick and peck like a haruspex, yet foul.","Thu Jan 28 17:40:17 +0000 2021",2018,486,2201,1495,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1611548645815353344/PnJP8u_Y_normal.jpg
"Doris from Watford",doris_from,"ID 1260918773818818567","Watford, England"," The beating heart of middle England. Travel by bus. Proud of my teapot making boy.","Thu May 14 13:04:15 +0000 2020",3530,200,23503,37936,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1475572094310273032/BkkSLvuE_normal.jpg
"⚓️Howards' Way Revisited Leo Howard's Way⚓️",HowardsForever,"ID 891765984880726016","Tarrant! Where else?😉⛵️🌊⚓️"," Tracing⚓️Leo Howard and Abby Urquhart-Hudson's way⚓in BBC-TV drama series⛵️#HowardsWay⛵️ Leo and Abby together👫in Series 7? Anyone can dream...😊","Sun Jul 30 21:02:33 +0000 2017",951,873,14469,19536,https://howardsway7.wordpress.com/,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1350083907815931905/Zlcyh2e__normal.jpg
"John Thaw Archive",JohnThawArchive,"ID 1424378670366564355",UK," A tribute account to actor John Thaw (1942 - 2002).
Run by a fan, for the enjoyment of fans. 

(Website currently under construction).","Sun Aug 08 14:37:00 +0000 2021",756,56,581,1427,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1424870490309632002/N2nmZVrj_normal.jpg
"🇬🇧_Lee Wardle_🏴󠁧󠁢󠁥󠁮󠁧󠁿",LeeRaldar,"ID 178231524","UK, Lancashire, Fylde Coast"," Instead of 'Build back better' how about you just put things back the way you found them?","Sat Aug 14 05:43:51 +0000 2010",4706,4976,66511,82939,,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1260893582199840772/z6ZtdEcR_normal.png
