Name,"Screen name","Twitter ID",Location,Biography,"Created date",Followers,Following,Tweets,Favorites,Website,"Time zone",Geo-enabled,Verified,Language,Protected,"Profile image URL"
⛈⛈,keyonchrist,"ID 14579608",," heavy water ep in March »»» @spores_","Tue Apr 29 03:02:18 +0000 2008",19977,376,1999,14012,,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1589732778773401600/xlzNUDji_normal.jpg
"Toby Turner",TobyTurner,"ID 6054912","Los Angeles, CA"," BLESS YOUR FACE https://t.co/C26Fdlg4kK https://t.co/3OKBJrsn0O https://t.co/1amWkWyLvw","Tue May 15 07:10:46 +0000 2007",886321,1186,19545,17338,https://youtube.com/playlist?list=PLjMyftFeAnd0ebNNq_TOUzV0ems3_6NXW,,Disabled,Verified,,"Not protected",https://pbs.twimg.com/profile_images/1602519554688630784/W5vw6VSZ_normal.jpg
"Donda Times",dondatimes,"ID 1415777731535458304",," ","Thu Jul 15 20:59:06 +0000 2021",52542,267,4186,14532,https://freedove.bigcartel.com/product/chitown-bear,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1488631918249787394/xyzvUozY_normal.jpg
"ALX 🇺🇸",alx,"ID 534023",𝙊𝙉𝙇𝙄𝙉𝙀," Banned in 2020 — Freed by Elon Musk in 2022 #BringThemBack  — Inevitable","Thu Jan 04 12:21:45 +0000 2007",326434,1507,27465,32436,http://ALXTheLord.com,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1601092604858335234/BCDVRLLN_normal.jpg
"Steve Franssen",SteveFranssen,"ID 521167914","Montana, USA"," Renegade | Ultra Bad Boy | Grizzled Outlaw | Nick Fuentes Respecter |","Sun Mar 11 09:29:30 +0000 2012",9344,121,22398,23798,https://t.me/stevenfranssen,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1618297063736807425/W6Mhglkm_normal.jpg
"Joshua Charles",JoshuaTCharles,"ID 332663881","California, USA"," Catholic Convert. Historian. #1 NYT author. Classical pianist. Former @WhiteHouse speechwriter. Trying to love God, and seek wisdom. Esse quam videri.","Sun Jul 10 06:20:18 +0000 2011",8900,858,2234,28575,http://www.joshuatcharles.com,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1548105982655336449/jiKUOHTv_normal.jpg
"The Truth",OptimistGrind,"ID 16755835","Los Angeles, CA"," Lead Graphic Designer: @Students_Ye 
Producer | Photographer | DJ 
Made in Detroit 
#YE24","Wed Oct 15 04:41:19 +0000 2008",2050,1025,11605,7614,http://optimistgrind.com,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1591060186998853634/R_ydNyFA_normal.jpg
"Roger Stone",RogerJStoneJr,"ID 47253057",," American Political Icon, New York Times Bestselling Author, Trump-loyalist, veteran GOP operative, libertarian conservative. https://t.co/YSHlmOKSaL 5 P.M. EST.","Mon Jun 15 03:51:50 +0000 2009",383343,3349,33232,4523,https://rogerstone.substack.com/p/welcome-to-stone-cold-truth,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/881721994328363008/FxyU1qMF_normal.jpg
YEisRIGHT,YEisRIGHT2024,"ID 1615187395602776064",," Ye 2024","Tue Jan 17 03:21:08 +0000 2023",996,20,50,123,https://rumble.com/c/YEisRIGHT,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1616126295917707266/4jXwWbfs_normal.jpg
Yeditorial,yeditorialweb,"ID 1600777973430263808",," Official Yeditorial Twitter Account. Honest and entertaining news about Ye.","Thu Dec 08 09:03:47 +0000 2022",324,52,146,143,https://yeditorial.com,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1618426009140989957/J1t6lZC5_normal.jpg
"CJ Pearson",thecjpearson,"ID 2393323908","Tuscaloosa x Los Angeles"," @PragerU Personality | 20 Years Old | Everything The Left Hates: Young, Black, and Free.","Sun Mar 16 21:59:12 +0000 2014",415042,1012,9125,18967,https://linktr.ee/thecjpearson?fbclid=PAAaauvsSE3DXZns-Npyl7I32Qv_aHA0LGJ4ccHNX7Qo-G3DtTNhrOd_1zsd4,,Enabled,Verified,,"Not protected",https://pbs.twimg.com/profile_images/1576054188907413504/8DXHkEyg_normal.jpg
Pulte,pulte,"ID 25029495",Love," The Philanthropist. Inventor of #TwitterPhilanthropy. Giving money, food, shelter & medicine to people in need!","Wed Mar 18 04:44:13 +0000 2009",3324436,1228,15673,14567,http://Pulte.org,,Disabled,Verified,,"Not protected",https://pbs.twimg.com/profile_images/1575272587902476294/aULMWfWX_normal.jpg
"College Dissident",ReadDissident,"ID 1605720647451262978",," Taking the fight to the college campus.","Thu Dec 22 00:23:58 +0000 2022",283,1,43,0,http://CollegeDissident.com,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1614525592099065860/-q9vgtMh_normal.jpg
