Name,"Screen name","Twitter ID",Location,Biography,"Created date",Followers,Following,Tweets,Favorites,Website,"Time zone",Geo-enabled,Verified,Language,Protected,"Profile image URL"
"Comfy Dystop",DystopiaPro69,"ID 895998201819475969",," #1 Freundlichposter

https://t.co/6gRrlRGL65","Fri Aug 11 13:19:52 +0000 2017",4031,255,12724,14421,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1598265989942202369/l0fpNnWl_normal.jpg
"Rawdog Rapist",deepak397430,"ID 264965877","RTs/Likes ≠ endorsements "," WANGHAF•I have completely disassociated from reality and exist entirely in my head • YE24","Sat Mar 12 19:27:35 +0000 2011",400,258,2274,6973,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1601819864036823040/jUeOql9Q_normal.jpg
"ye’s top guy 🧃",yefanaccount,"ID 1600712353464598529",Cozy.tv," ye soldier","Thu Dec 08 04:42:42 +0000 2022",109,104,387,638,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1600901428876382210/7bkSUYtV_normal.jpg
"Ella Irwin",ellagirwin,"ID 18988705",Seattle," Trust advocate, problem solver, business and technology enthusiast, dog lover.","Wed Jan 14 18:38:43 +0000 2009",28434,242,173,669,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1535027085617442816/fM_2go-X_normal.jpg
"Sebastian from La La Land",JovialSeb,"ID 1603958097478721536","LaLa Land"," Chipper and Jovial Kai","Sat Dec 17 03:39:50 +0000 2022",1894,401,500,1546,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1614569917025746947/C_KuaORQ_normal.jpg
LeftyCrypto🌹,LeftyCrypto,"ID 1201985743729524736","Atlanta, GA"," Diversifying my portfolio, one investment at a time!","Tue Dec 03 22:05:52 +0000 2019",9307,593,11174,139934,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1240714908154523649/l5KHTNC0_normal.jpg
"Nuance Bro",NuanceBro,"ID 908856245414531072",'Murca," I make vids about politics & current events & stuff. I like to make a funny from time to time on the web https://t.co/rXOBKcyD8f","Sat Sep 16 00:53:09 +0000 2017",45134,1614,29541,87939,https://linktr.ee/nuancebro,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1533940375005581312/thjktogj_normal.jpg
boy,uxreturns,"ID 937799990902251520",💟," ye24 • love","Mon Dec 04 21:45:16 +0000 2017",1870,33,75,303,http://cozy.tv/ux,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1617955286504902670/TVUks8Sv_normal.jpg
"Sam Hyde 🇮🇳 😷 (World Crisis Connoisseur)",wigger,"ID 548258435","COM98, 1TEAMistan"," I will not litter.","Sun Apr 08 08:29:42 +0000 2012",116733,1281,2291,4816,https://www.youtube.com/watch?v=GeOSWLGKuaE,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1481021073181265922/TBVzFzJZ_normal.jpg
"Edward Snowden",Snowden,"ID 2916305152",https://iris.to," You can find me on #nostr @ pubkey: npub1sn0wdenkukak0d9dfczzeacvhkrgz92ak56egt7vdgzn8pv2wfqqhrjdv9 . (use Damus on iOS, Amethyst on Android, or https://t.co/66a4BUhQlG)","Thu Dec 11 21:24:28 +0000 2014",5792639,1,7937,1035,https://edwardsnowden.substack.com,,Disabled,Verified,,"Not protected",https://pbs.twimg.com/profile_images/648888480974508032/66_cUYfj_normal.jpg
"President of Russia",KremlinRussia_E,"ID 205622130","Moscow, Russian Federation"," Official Kremlin news
Official Telegram channel: https://t.co/ASrzdwRxSU","Thu Oct 21 08:06:17 +0000 2010",1738878,22,9239,1,http://en.kremlin.ru/,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/501717583846842368/psd9aFLl_normal.png
"Meade Skelton",SkeltonMeade,"ID 1578113639453790209","Richmond, VA, CSA"," SINGER/SONGWRITER/ACTOR
CHRISTIAN 
ISFP
12th Generation Virginian","Thu Oct 06 20:03:15 +0000 2022",52,143,828,531,https://www.meadeskeltonsplace.com,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1596698684191903745/wFgge105_normal.jpg
Pedros,BiskyRusiness,"ID 1301985295303409665",," Scorned finger groove enjoyer","Fri Sep 04 20:47:53 +0000 2020",3518,2796,44459,255279,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1553592771692445697/79-Wk1fb_normal.jpg
"Alexander Augustine",WurzelRoot,"ID 1301316133501448192","America First"," I HATE THE ANTI CHRIST","Thu Sep 03 00:28:49 +0000 2020",16131,102,1319,892,http://linktr.ee/Wurzelroot,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1378845234763796483/nupEOX3w_normal.jpg
"Scott Adams",ScottAdamsSays,"ID 2853461537","Pleasanton CA"," Coping and clotting and wrong about everything.

Pandemic predictions: https://t.co/fZyxtkQAP5","Fri Oct 31 17:15:36 +0000 2014",853599,1843,112131,70873,https://youtube.com/c/realCoffeeWithScottAdams,,Enabled,Verified,,"Not protected",https://pbs.twimg.com/profile_images/1601450348144566272/kXgkB4kH_normal.jpg
"Tired Meme Clown",OldMemeClown,"ID 1462921559241232385","The Meme Circus"," Tired, old, seen some things. 

Honk honk...it's all so tiring.

NIMCel (Niche Internet Micro Celebrity)

✝ 🇻🇦","Mon Nov 22 23:11:01 +0000 2021",8833,1214,13598,25874,https://twitter.com/TiredMemeClown,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1613610189399130127/9OCI7Ym__normal.jpg
"Dan Lyman",realdanlyman,"ID 2918039334",EuropeWars.com," Christian • Thought Criminal • Nomadic Maverick • Freedom Fighter • Pureblood • #Bitcoin","Thu Dec 04 01:37:02 +0000 2014",20509,1252,23845,128834,http://BorderHawk.news,,Disabled,"Not verified",,Protected,https://pbs.twimg.com/profile_images/1501741423154057218/9VUWnXKE_normal.jpg
"Are Nick and Ye back?",AreNickNYeBack,"ID 1598032192541687808",," Are @NickJFuentes and Ye (@kanyewest) back? I will check it every 5 minutes. If so, I’ll let you know.","Wed Nov 30 19:12:29 +0000 2022",539,0,160,59,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1618815409464934401/o4P-c2BL_normal.jpg
"Steve Franssen",SteveFranssen,"ID 521167914","Montana, USA"," Renegade | Ultra Bad Boy | Grizzled Outlaw | Nick Fuentes Respecter |","Sun Mar 11 09:29:30 +0000 2012",9345,121,22398,23798,https://t.me/stevenfranssen,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1618297063736807425/W6Mhglkm_normal.jpg
"Juicer John Colter🧃",AveAmericae,"ID 1601284626898485248","A More Perfect Union"," Posterity Respecter 🇺🇸 Christus Rex Est #YE24","Fri Dec 09 18:37:30 +0000 2022",522,1214,2313,10543,,,Disabled,"Not verified",,Protected,https://pbs.twimg.com/profile_images/1601285225941635073/mXN6SDko_normal.jpg
"Incel Genius",incelgenius,"ID 1598200468966178818",," Groyper • YE24 • YZY","Thu Dec 01 06:21:16 +0000 2022",282,230,2651,6054,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1598993449285451776/7QuYJD86_normal.jpg
Arin,Arin3000,"ID 1570418662430965760",," I lost half my name due to censors","Thu Sep 15 14:26:10 +0000 2022",569,1157,4059,12245,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1600587776914857984/7xuJkKXA_normal.jpg
"Ry Guy Super Fly",Dirigo_Groyper,"ID 1590426610175549440","Maine, USA"," America First is inevitable","Wed Nov 09 19:30:44 +0000 2022",317,354,829,47207,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1609671235474006018/1T1wtFVH_normal.jpg
"National Identity Awareness",NationalAware,"ID 1589083577504890882",," Grassroots Organization dedicated to raising awareness pertaining to demographics and equipping local activist with effective messaging.","Sun Nov 06 02:33:55 +0000 2022",899,790,663,156,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1589086417883467776/bKM674Pz_normal.jpg
"speckzo 🇻🇦 YE24",mrspeckzo,"ID 1595372281110450176",," 6'5 Catholic zealot, husband, and father of 2. Kingship of Christ is my political ideology. Co-host of Logos Triumphant on https://t.co/jCXNMritbW","Wed Nov 23 11:02:56 +0000 2022",2140,331,464,515,http://t.me/speckzo,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1597368458999742465/v05Pz5I5_normal.jpg
"Patrick Basedman🌲☀️🌲",patrickbasedmn,"ID 920317981",," Videotape returner. Neanderthal supremacist. Faction of Truth.","Fri Nov 02 03:37:44 +0000 2012",22335,1419,10853,106995,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1610630869785645056/vVyI6Qsb_normal.jpg
"PUNISHED SKALLASTOWN",BronzeAgePaul,"ID 1560095317936275456",," Strictly Professional","Thu Aug 18 02:45:47 +0000 2022",554,34,116,623,http://linktr.ee/skallastown,,Disabled,"Not verified",,Protected,https://pbs.twimg.com/profile_images/1596234465054965762/e8ralH5P_normal.jpg
"John Doyle",ComradeDoyIe,"ID 1040629068264366080",DFW," Christian, Conservative, content creator. https://t.co/guS7EL1Zlq","Fri Sep 14 15:51:18 +0000 2018",26182,214,5558,1,http://YouTube.com/JohnDoyle,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1050086940190670848/qDoB9Vzv_normal.jpg
"Act Now!",Antisemitic247,"ID 1589387969261076483",Innernet," We must secure the existence of our people and a future for all children.","Sun Nov 06 22:43:24 +0000 2022",265,550,4617,12636,http://buymybonerpills.com,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1607890390497067009/KIrbZ8oh_normal.jpg
"Ali Jamal1776",Ali_Jamal1776,"ID 1101621399628730370",," Independent conservative content creator.
America first is inevitable, Ethan Ralph's protégé 👍 ❤️🤍💙","Fri Mar 01 23:13:03 +0000 2019",1799,1368,5079,5568,https://wlo.link/@Ali_Jamal1776,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1579582726683910147/a7IVgKAS_normal.jpg
"Punished Goy - YE24",goywillbegoy,"ID 1532467103093202945",," Jesus Christ is your Lord and Savior, you may just not know yet.","Thu Jun 02 21:00:19 +0000 2022",1475,127,771,3764,http://cozy.tv,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1555201000314736640/U01dEkal_normal.jpg
"Baby ➐",drugcel,"ID 913331707","Briargate, Colorado "," Nothing Gold Can Stay","Mon Oct 29 21:59:13 +0000 2012",2339,268,4157,73738,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1299246535113228288/YteaNg-0_normal.jpg
