Name,"Screen name","Twitter ID",Location,Biography,"Created date",Followers,Following,Tweets,Favorites,Website,"Time zone",Geo-enabled,Verified,Language,Protected,"Profile image URL"
"Matt Walsh",MattWalshBlog,"ID 1500129642",," Theocratic fascist, bestselling children’s author, Transphobe Of The Year (2022)","Tue Jun 11 03:17:16 +0000 2013",1365118,615,59014,33,http://www.whatisawoman.com,,Disabled,Verified,,"Not protected",https://pbs.twimg.com/profile_images/1536824114253529089/Cz7JCkgi_normal.jpg
Restream,Restreamio,"ID 2733966036","Kyiv, Ukraine"," Multiply your views with Restream! Easily stream to YouTube, Facebook, Twitch, and other platforms simultaneously. Need Help? @RestreamHelps is here!","Fri Aug 15 08:23:56 +0000 2014",146622,158,4063,4856,https://restream.io,,Disabled,Verified,,"Not protected",https://pbs.twimg.com/profile_images/1556586574313398272/EUW38gUv_normal.jpg
"Judy A. Mikovits PhD",DrJudyAMikovits,"ID 1251638956359385089",USA," World renowned PhD Biomedical Research Scientist with 50+ scientific published articles. NYT Best Selling Author. International speaker presenting solutions.","Sat Apr 18 22:30:23 +0000 2020",146362,85,626,1893,https://TheRealDrJudy.com,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1511598911021932544/AyuDeG1X_normal.jpg
"Tim Ferriss",tferriss,"ID 11740902",Global," Author of 5 #1 NYT/WSJ bestsellers, early-stage investor (https://t.co/cpVCd1q9Hk), Tim Ferriss Show podcast (900M+ downloads), founder of https://t.co/9bQjti0XgE","Wed Jan 02 04:36:53 +0000 2008",1905648,2830,37693,34927,http://tim.blog/friday,,Enabled,Verified,,"Not protected",https://pbs.twimg.com/profile_images/1590221913128837121/SfucaJh8_normal.jpg
"The National Pulse",TheNatPulse,"ID 3066129832","Washington, DC"," Edited by @RaheemKassam.","Mon Mar 02 21:00:06 +0000 2015",52836,2,4628,209,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1298288254786183169/3ULFmdyV_normal.jpg
DLive,OfficialDLive,"ID 954238695330074624",Global," Unlock your streaming potential with the New DLive · Global Live Streaming Platform · Your Stream, Your Rules!","Fri Jan 19 06:26:48 +0000 2018",35744,144,4597,10064,https://dlive.tv/,,Enabled,Verified,,"Not protected",https://pbs.twimg.com/profile_images/1376645585948659713/7aUQJs2-_normal.jpg
"Scott Horton",scotthortonshow,"ID 33347217",Austin," Director https://t.co/xgS7CV7mSK, Editorial Director https://t.co/EDFfMpisef, author Enough Already https://t.co/soNTO8ugMv, host KPFK FM, 5,800+ interviews https://t.co/VLJvj7eUIn.","Sun Apr 19 23:58:20 +0000 2009",68302,7873,110155,18,https://scotthortonshow.substack.com,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1614892907063873537/scrN04nF_normal.jpg
"Tiffany FitzHenry",Tiff_FitzHenry,"ID 636896104",," ","Mon Jul 16 11:20:06 +0000 2012",91837,452,114,17966,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1495605399608823813/KarnT8_G_normal.jpg
"Jeanine Pirro",JudgeJeanine,"ID 29458079","New York, NY"," Judge Pirro is a highly respected District Attorney, Judge, author & renowned champion of the underdog. She Co-hosts the #1 Fox News Show “The Five”","Tue Apr 07 14:27:06 +0000 2009",3136420,490,19340,466,http://www.cameo.com/judgejeanine,,Enabled,Verified,,"Not protected",https://pbs.twimg.com/profile_images/850023968484368386/jBcIv7W1_normal.jpg
"Kimberly Guilfoyle",kimguilfoyle,"ID 25101996","Florida, USA"," Mother, Sister, Patriot, Proud American MAGA 🇺🇸","Wed Mar 18 16:33:40 +0000 2009",2048433,3297,10534,14466,http://shopkimberlyg.com/,,Enabled,Verified,,"Not protected",https://pbs.twimg.com/profile_images/1276508455042527232/qBl4p7P1_normal.jpg
"Emerald Robinson ✝️",EmeraldRobinson,"ID 3932768472","Biden’s banana republic"," Host @AbsoluteWithE on https://t.co/tR7hoxwd6W. Ex-Newsmax & Ex-OANN WH Correspondent. The Queen of Savage Twitter. My words: https://t.co/J3JNKChXKQ","Sun Oct 18 05:57:46 +0000 2015",537605,8309,19073,34408,https://emeralddb3.substack.com,,Enabled,Verified,,"Not protected",https://pbs.twimg.com/profile_images/1047149053677514754/fbtPJUYI_normal.jpg
"Ron Paul",RonPaul,"ID 287413569","Clute, TX"," Former Congressman from Texas.","Sun Apr 24 23:20:55 +0000 2011",890432,182,11899,41,http://ronpaulinstitute.org,,Disabled,Verified,,"Not protected",https://pbs.twimg.com/profile_images/573517737172934659/bB-v1E-8_normal.jpeg
"Lew Rockwell",lewrockwell,"ID 20837035","Auburn, Alabama"," Founder and chairman of the Ludwig von Mises Institute, editor of https://t.co/8Lm2SnDcnN.","Sat Feb 14 08:26:59 +0000 2009",74091,56,52779,18,http://lewrockwell.com/,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/634770570412822528/DSUiZT-E_normal.png
"Spencer P Morrison",SPMorrison_,"ID 788897356624171008",," JD. BA. Writer & independent intellectual with a focus on applied philosophy, empirical history & practical economics. #Christian #Nationalist #Conservative","Thu Oct 20 00:19:21 +0000 2016",1283,63,1401,3525,http://nationaleconomicseditorial.com,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/789313287972229120/3NAQd_Wq_normal.jpg
"Robert P. Murphy",BobMurphyEcon,"ID 389230624",Illinois," Christian, Austrian economist, and theorist of nonviolent social mechanisms. Senior Fellow at Mises Institute. Author of *Choice*. Host of https://t.co/ByuMumY4eb","Wed Oct 12 02:20:33 +0000 2011",83785,1036,36176,32841,http://consultingbyrpm.com/blog,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/854303191592194049/eJ84NamK_normal.jpg
"The Gateway Pundit",gatewaypundit,"ID 19211550","St. Louis, Missouri"," Where Hope Finally Made a Comeback","Tue Jan 20 00:45:40 +0000 2009",450962,1597,115834,8730,http://www.thegatewaypundit.com/,,Disabled,Verified,,"Not protected",https://pbs.twimg.com/profile_images/1604127647390392323/1CdvBvRK_normal.jpg
"Ryan Saavedra",RealSaavedra,"ID 812135885328236551",USA," Senior Writer at @realDailyWire. Retweets ≠ endorsement.","Fri Dec 23 03:20:58 +0000 2016",335964,629,83871,14870,,,Disabled,Verified,,"Not protected",https://pbs.twimg.com/profile_images/1587324304164761600/_xsx8qcs_normal.jpg
"Peter Lloyd",Suffragent_,"ID 804449376",," Journalist/author/ghostwriter/meme","Wed Sep 05 11:58:57 +0000 2012",60010,3405,82,24006,,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1284989864925159425/7NSrZLgO_normal.jpg
"Peter Schiff",PeterSchiff,"ID 56562803",," Chief Economist & Global Strategist: https://t.co/OMmqdEJS2O, Founder: https://t.co/Ib5G6n78js, Host: https://t.co/YAV1Kdqb51, three-time NY Times bestselling author.","Tue Jul 14 01:28:42 +0000 2009",915431,271,24154,244,http://amzn.to/1nDylDr,,Enabled,Verified,,"Not protected",https://pbs.twimg.com/profile_images/1265705916298641408/qK7MHnk9_normal.jpg
"Janice Atkinson",janiceonholiday,"ID 3329053900","London, England and world"," Living life to the full around the world now I do absolutely nothing","Tue Jun 16 08:44:58 +0000 2015",13892,1318,24648,85277,,,Disabled,"Not verified",,Protected,https://pbs.twimg.com/profile_images/1520444106824200192/tK6E9o_r_normal.jpg
"Dr. Duke Pesta",DukePesta,"ID 982326059168235520","Appleton, WI"," Director of FreedomProject Academy & Media | Host of the ""Dr. Duke Show"" l Professor of English | Speaker, Author, Teacher","Fri Apr 06 18:35:58 +0000 2018",4252,129,650,33,http://www.freedomproject.com,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1081278186019786752/QrWrSzKE_normal.jpg
"Dave Smith",ComicDaveSmith,"ID 467661480",NYC," Husband, Father, Comedian, libertarian, Host of “Part Of The Problem Podcast”, 1/3 of LOS  Business Inquiries: Davesmithbookings@gmail.com","Wed Jan 18 18:20:00 +0000 2012",321326,934,16725,16124,https://linktr.ee/theproblemdavesmith,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1019515212486053888/YU1J4lDp_normal.jpg
"Brittany Sellner",BrittPettibone,"ID 274316654",Austria," Author. Catholic.","Wed Mar 30 03:50:37 +0000 2011",134475,396,4585,32737,https://www.youtube.com/c/BrittanyPettibone,,Disabled,Verified,,"Not protected",https://pbs.twimg.com/profile_images/1589913282760130561/IhG6Su6S_normal.jpg
"Allum Bokhari",LibertarianBlue,"ID 1356030014","Dissdt Right Extended Universe"," Investigating Big Tech @BreitbartNews. Published leaks exposing Google, Facebook, YouTube. @ClaremontInst Lincoln fellow. allumbokhari@protonmail.com","Tue Apr 16 04:28:22 +0000 2013",65687,4520,16424,17301,https://www.centerstreet.com/titles/allum-bokhari/deleted/9781546059301/,,Disabled,Verified,,"Not protected",https://pbs.twimg.com/profile_images/1518670587840892928/STBKZ9r__normal.jpg
"steve hsu",hsu_steve,"ID 161078090",," physicist, startup founder, blogger, dad","Tue Jun 29 23:02:37 +0000 2010",14065,0,3395,402,http://infoproc.blogspot.com,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/2373845470/xo47c5umzzinsr4o9vjk_normal.jpeg
"Tom Fitton",TomFitton,"ID 18266688","Washington, DC"," President, Judicial Watch. Fact checker. ""Expert"" (These are my personal views only!) LATEST BEST SELLER BOOK: A Republic Under Assault: https://t.co/0SmAJ7aAGp","Sat Dec 20 14:32:44 +0000 2008",2057560,3813,64732,1514,http://www.JudicialWatch.org,,Disabled,Verified,,"Not protected",https://pbs.twimg.com/profile_images/964235516794171392/ktAX5u2i_normal.jpg
Styxhexenhammer666,Styx666Official,"ID 807812802761158656",," Commander in the meme war (2016-present) 0% spike proteins.

Youtube: https://t.co/N9dyM1hjGD
Rumble: https://t.co/UXR91YDHDx
Bitchute: https://t.co/CzKwc6Zdo9

Wife: https://t.co/ODCtaPUXxa","Sun Dec 11 05:02:35 +0000 2016",118976,445,68943,3710,https://tarlwarwick.wordpress.com,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1368862057177743362/LDNU644j_normal.jpg
"Kaya Jones",KayaJones,"ID 32626129",America," SAVED BY HIS GRACE. HIS GLORY 👑 ALONE! Let’s make God’s love famous!","Fri Apr 17 22:25:42 +0000 2009",377997,16877,71680,132208,http://kayajones.com,,Enabled,Verified,,"Not protected",https://pbs.twimg.com/profile_images/1605433052573978627/IznEJxDF_normal.jpg
