Name,"Screen name","Twitter ID",Location,Biography,"Created date",Followers,Following,Tweets,Favorites,Website,"Time zone",Geo-enabled,Verified,Language,Protected,"Profile image URL"
"Daisuke IENAGA",longhouse_jp,"ID 105876406",Kyoto," Creative Director /（株）ロングハウススタジオ 代表 / 三度の飯より睡眠が好き","Sun Jan 17 20:00:43 +0000 2010",719,361,7440,2993,https://longhousestudio.net,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1579289243381207042/JcnU5Ygc_normal.jpg
PetesSubstack.com,petessubstack,"ID 1561177309406810114",," 'This is the Age of Absolute Politics, for the whole form of our life is now a function of power'","Sun Aug 21 02:24:24 +0000 2022",2948,385,585,4083,https://bit.ly/3AmY9O3,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1599424643387072512/8XM5qOy3_normal.jpg
"August Takala",RudyTakala,"ID 846479437","MN ✈️ DC ✈️ FL"," Opinion editor @CoinTelegraph Rudy.Takala@CoinTelegraph.com. AugustTakala@ProtonMail.com. Priors include Fox News/Washington Examiner","Wed Sep 26 00:28:49 +0000 2012",8294,416,3138,7209,,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1438925297764732929/8sPPXjdT_normal.jpg
"Archibald Cunnywinkle",EpheboWeedCel,"ID 1456273335348645907",Agartha," ","Thu Nov 04 14:53:22 +0000 2021",945,344,153,2518,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1610425836120805380/s7t9X8k4_normal.jpg
"Jaden McNeil",JadenPMcNeil,"ID 3095130883",," Christian • Conservative • Gamer","Wed Mar 18 05:17:31 +0000 2015",24892,234,860,16690,https://allmylinks.com/jadenmcneil,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1603846888373030922/iNffFKQw_normal.jpg
"🌲nationalist guerilla🌲",nationalistturt,"ID 1376988282605629441",," decidedly not a big fan of antifa","Tue Mar 30 20:02:50 +0000 2021",539,93,583,277,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1616095839176511488/InR4HDUk_normal.jpg
"Soares Silva",LordAss,"ID 67800957",," Escritor e roteirista","Sat Aug 22 03:20:17 +0000 2009",5976,1816,15747,99775,http://alexandresoaressilva.wordpress.com/,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/765021564215623680/LmWVE4tB_normal.jpg
Interist,OfInterist,"ID 1529711258580070400",," lmao","Thu May 26 06:29:31 +0000 2022",1320,468,1423,4623,https://poa.st/@ofinterist,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1531476747392192512/OyMTXBuX_normal.png
𝕵𝖆𝖈𝖆𝖇𝖎𝖙𝖊𝕽𝖊𝖇𝖊𝖑,JacabiteRebel,"ID 330328228",," #MAGA #TrumpWon #KAG #USA #American #Conservative #TrumpIsMyPresident #BuildTheWall #PatriotWarriors #NRA #2000Mules #FJB #Pray #Jesus #Family #PatriotsUnite","Wed Jul 06 13:12:08 +0000 2011",14028,11236,14004,9334,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1574094668865871876/xXbSPgh4_normal.jpg
"Peyton Cox",MPeytonCox,"ID 1438467003417874439","Curated Content and More 👉🏻"," An engineer using data. Lost 65 pounds and deadlifted 735. On a mission to help overweight men transform their physique without sacrificing their lifestyle","Thu Sep 16 11:37:18 +0000 2021",7576,241,13530,12337,http://IDontHateMuscle.com,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1611071407189811214/Glc5QTf-_normal.jpg
