Name,"Screen name","Twitter ID",Location,Biography,"Created date",Followers,Following,Tweets,Favorites,Website,"Time zone",Geo-enabled,Verified,Language,Protected,"Profile image URL"
"L O N D O N",clement_london,"ID 932876784403714048","Harare, Zimbabwe"," ","Tue Nov 21 07:42:12 +0000 2017",235,2986,9551,25314,https://clementlondon.wixsite.com/clementlondon,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1002454930697936896/KF4JoOlP_normal.jpg
pablo,yepropaganda,"ID 1468115097889300482","louis store with a gucci mask"," #YE24","Tue Dec 07 07:08:22 +0000 2021",15,45,238,689,,,Disabled,"Not verified",,Protected,https://pbs.twimg.com/profile_images/1596363575165325312/COelzqg5_normal.jpg
Minion,Ye_Minion,"ID 1621720702456832001",," Ye24
Minion Mode
FREEYOBA","Sat Feb 04 04:02:11 +0000 2023",0,19,1,1,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1621720794022744066/F3542PN6_normal.jpg
"Casey Mari",caseyyyjohnson,"ID 541361190",," ","Sat Mar 31 01:51:15 +0000 2012",96,111,1827,8504,,,Disabled,"Not verified",,Protected,https://pbs.twimg.com/profile_images/1519383871690731520/nLJh7VNY_normal.jpg
Dirty♨️🇻🇦,dirty0120,"ID 1582987022947565569",," ","Thu Oct 20 06:48:38 +0000 2022",118,315,5,14249,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1613316954642579461/LwrjPSGQ_normal.jpg
"lurker YE24",basedye24tictac,"ID 1596254435445022721",," ","Fri Nov 25 21:28:15 +0000 2022",43,130,308,664,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1618758204065808384/GhONTguw_normal.jpg
"Chadical Coder",Chadical_Kodar,"ID 1608093395729219584",," Bi-Racial🏅#SpacesHost🧬✝️☦️✝️ Don’t get even, Get ahead!","Wed Dec 28 13:32:13 +0000 2022",1052,774,164,218,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1619299195805990913/LSDBuqMs_normal.jpg
Guy❄️,Guntineer,"ID 1621478522240860160",," ","Fri Feb 03 11:59:55 +0000 2023",31,107,14,97,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1621478677341945857/Vz2RjMGG_normal.jpg
"CPUSA Virginia",VA_CPUSA,"ID 1582844512837197837","Virginia, USA"," Promoting Communism in the first state since 1919. #CPUSA2036 #MAGACOMMUNISM

https://t.co/e0S4MfEiED","Wed Oct 19 21:22:04 +0000 2022",541,1035,1017,3283,http://cpusa.org/join-us/,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1583036231482593281/lSD-I6d2_normal.png
onG,LiftsForGod,"ID 1579165399761010688",," ","Sun Oct 09 17:43:23 +0000 2022",1,24,3,11,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1579165792335269895/udkCHr00_normal.jpg
Andrewmatt,andrewmatt,"ID 1106057400891527168",," ","Thu Mar 14 05:00:08 +0000 2019",33,92,69,604,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1106057626566066177/vwOOUIjp_normal.png
。,HlidskjaIf,"ID 1469284200327139334",," ","Fri Dec 10 12:33:53 +0000 2021",0,130,4,976,,,Disabled,"Not verified",,Protected,https://pbs.twimg.com/profile_images/1561283223338065922/-6lcMe7j_normal.jpg
"Lover of Humanity",DeusVultAF,"ID 1595541695445311488",," 🐸🇺🇸 I love you my lord, my king…✝️","Wed Nov 23 22:16:09 +0000 2022",149,365,1219,3959,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1613739724513939456/6aVYxFe3_normal.jpg
