Name,"Screen name","Twitter ID",Location,Biography,"Created date",Followers,Following,Tweets,Favorites,Website,"Time zone",Geo-enabled,Verified,Language,Protected,"Profile image URL"
"Partisan 🧃",InternetRadical,"ID 1619353638773686272",," Fear not the great nor the mighty, but be wise and ever serene.
#LoveSpeech","Sat Jan 28 15:16:21 +0000 2023",712,205,145,401,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1619354534542712839/QqLHdZxI_normal.jpg
"Zealous Seraphim ☦️ 📿🇺🇸",ZealousSeraphim,"ID 1214762081272111104",," I talk about Orthodoxy and current events • Conservative • LOVE EVERYONE • Telegram: https://t.co/VddiGqpei5","Wed Jan 08 04:13:53 +0000 2020",9625,1474,33236,29127,https://tellonym.me/ZealousSeraphim,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1549570388551733251/ks_ZWJW4_normal.jpg
ActualZ,PNW_Z_YE24,"ID 1608011146245832708"," East Tacoma"," Hot takes from a white guy inna truck/Lion Raging Defiant in the West/Genesis 1:1/God's strongest retard/Nick Fuentes did nothing wrong/","Wed Dec 28 08:05:38 +0000 2022",357,1111,3563,9354,http://cozy.tv,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1608011859038470144/j99PKHyD_normal.jpg
Yeditorial,yeditorialweb,"ID 1600777973430263808",," Official Yeditorial Twitter Account. Honest and entertaining news about Ye.","Thu Dec 08 09:03:47 +0000 2022",324,52,146,143,https://yeditorial.com,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1618426009140989957/J1t6lZC5_normal.jpg
🚬zg,zgpilled,"ID 1600703165975777280",☦️🇦🇲," ","Thu Dec 08 04:06:51 +0000 2022",208,122,342,1364,http://zoomerguy.github.io,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1619801856129269761/ILEliXe2_normal.jpg
"Mark Collett",MarkACollett,"ID 829715112890159104","Yorkshire and The Humber"," Leader of Patriotic Alternative and the author of The Fall of Western Man. 
PA: https://t.co/5bohpea2oL
TFOWM: https://t.co/uboaVLl8dg","Thu Feb 09 15:34:33 +0000 2017",53270,181,6555,6097,https://odysee.com/@MarkCollett:6,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1614527348870729729/34rca1FI_normal.jpg
"Nervous 😵‍💫 Autist",NervousAutist,"ID 1299280837293142017",N/A," ♰","Fri Aug 28 09:41:13 +0000 2020",315,228,762,54567,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1584033687850606592/ANPFYQQ8_normal.jpg
"computerspilleren YE24🧃",pudwn97,"ID 1448368776383275013",," I forgot what fear is. Juicer baby! #LoveSpeech","Wed Oct 13 19:23:54 +0000 2021",160,526,190,2949,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1620411127636148226/6lK71j4w_normal.jpg
Damus⚡️,damusapp,"ID 1516377644111056905",nostr," The ⚡️charged social network that you control, built on #nostr. 👨‍💻@jb55","Tue Apr 19 11:26:27 +0000 2022",32600,18,293,253,http://damus.io,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1520334893246390274/47gVjFCe_normal.jpg
"Requietem 🧃",requietem,"ID 1604220132343021569",Ekarte," Traditional Catholic | AF + Anime fan | Gamer | Lifter | #YE24","Sat Dec 17 21:01:07 +0000 2022",219,378,993,523,https://textup.fr/621922xA,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1615371428815147009/20lQUJg1_normal.jpg
"Stimulant YE24 Groyper",IRLTIgroyper,"ID 1594785182267150359",," Guys being dudes.","Mon Nov 21 20:10:07 +0000 2022",235,150,1505,12402,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1597675029705138176/3KOggTW-_normal.jpg
ZV,ZoomerVirgil,"ID 1476250401389350912","55th West 81st Street"," Roman Catholic - America First - NJFG4L - Zoomer - WANGHAF - YE24","Wed Dec 29 17:55:06 +0000 2021",192,96,1337,8221,http://cozy.tv,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1618019934482710528/39j8Z6CH_normal.jpg
"Right-Wing Media",rightwingmedia4,"ID 1335098200315867136",Idaho," Right Wing Media is a network of shows that bring you entertainment with a conservative slant. https://t.co/CYb8kQIxic","Sat Dec 05 05:46:37 +0000 2020",698,199,129,123,https://linktr.ee/whatshappeningamerica,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1616716147398938624/S2E8w1Uj_normal.jpg
"ID Young Republicans",IdRepublicans,"ID 1619531049184428033","Idaho, USA"," Strong Leadership for Idaho’s Future. Affiliate of @idahogop #idpol #idgop #idyr #YRNF - Telling a true story about IYR through parodies","Sun Jan 29 03:01:37 +0000 2023",121,85,49,7,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1619857793896566784/p6ChREP9_normal.jpg
TheGoyimKnow,JasonMa33903617,"ID 1591993016713203714",Boston," Oven salesman","Mon Nov 14 03:15:41 +0000 2022",102,360,1110,2567,,,Disabled,"Not verified",,Protected,https://pbs.twimg.com/profile_images/1593810797574111232/B4kwDx8W_normal.jpg
"Toby Turner",TobyTurner,"ID 6054912","Los Angeles, CA"," BLESS YOUR FACE https://t.co/C26Fdlg4kK https://t.co/3OKBJrsn0O https://t.co/1amWkWyLvw","Tue May 15 07:10:46 +0000 2007",886300,1186,19545,17338,https://youtube.com/playlist?list=PLjMyftFeAnd0ebNNq_TOUzV0ems3_6NXW,,Disabled,Verified,,"Not protected",https://pbs.twimg.com/profile_images/1602519554688630784/W5vw6VSZ_normal.jpg
ChimpYE24Skylark,RealChimpOnline,"ID 1531761787124817920",Chimpsdale," NJFG4L x YE24 x DJTG4L x UXG4L","Tue May 31 22:18:02 +0000 2022",289,142,2772,6137,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1610002480045195266/BZ6X4FUq_normal.jpg
"Polwop Groyper",PolwopGroyper,"ID 1190266559291375617","United States"," America First 🇺🇸. Millennial Groyper. God, Family, Country. 🐸","Fri Nov 01 13:57:23 +0000 2019",129,178,582,83,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1617876328094613504/3w8uh9CX_normal.jpg
"Election Wizard 🇺🇸",ElectionWiz,"ID 1290635110149169152","The Swamp"," Populist news, election coverage, and wizardly takes. Use promo code WIZ at https://t.co/srFqJskYus to save up to 66% off!","Tue Aug 04 13:06:13 +0000 2020",414571,3258,40191,24911,https://electionwiz.com/,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1599152131390537728/TvilD_cL_normal.jpg
"Fellow Traveler",feIIowtravelr,"ID 1594195632557801474","Boston, MA"," ","Sun Nov 20 05:08:08 +0000 2022",23,380,4,6660,,,Disabled,"Not verified",,Protected,https://pbs.twimg.com/profile_images/1595810297150939138/1alzYK7d_normal.jpg
pnami,pnamiYG4L,"ID 1594519238244540416",," ","Mon Nov 21 02:33:16 +0000 2022",20,295,32,519,,,Disabled,"Not verified",,Protected,https://pbs.twimg.com/profile_images/1594522266326417410/1b8-pJeB_normal.jpg
✞✞✞ｐｏｋｏ✞✞✞🇷🇺,tootsierollsoul,"ID 1553102455801409536","Sacramento Oblast"," Christian. repented sinner. anti-termite. #Ye24. abortion is evil. tweets autodeleted weekly","Fri Jul 29 19:37:56 +0000 2022",142,3700,284,10475,https://soundcloud.com/hipcrime/pam-tape,,Disabled,"Not verified",,Protected,https://pbs.twimg.com/profile_images/1608374379855085568/1AkG6lOY_normal.jpg
Secondbanana24,TotalBanana7,"ID 1463341947104362496",," ","Wed Nov 24 03:01:36 +0000 2021",1,160,23,1751,,,Disabled,"Not verified",,Protected,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png
VDARE,vdare,"ID 27522964",," The Twitter account for the editors of VDARE.  Featured at the 2016 Republican National Convention","Sun Mar 29 22:43:28 +0000 2009",58744,3456,99346,61411,http://www.vdare.com,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1400083270575005698/gnw8SSXN_normal.jpg
𝐌𝐙,southcel,"ID 1606494363860848642","never happened"," erm...","Sat Dec 24 03:38:07 +0000 2022",79,118,127,7570,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1619929465856966656/T5TDpgeI_normal.jpg
"Leftists posting their L's online 🇺🇸 🇷🇺",CommiesOnline,"ID 1371559065562800128",," Archiving the dumbest of twitter
DM submissions
Discord https://t.co/EI16keIkIk
Gab https://t.co/3cujd99mCS","Mon Mar 15 20:29:05 +0000 2021",7918,211,1221,331,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1371559966146977795/TcXONqlE_normal.png
"silly little molerat",moleinacozyhole,"ID 1586841297272377344","United States"," AF YE24","Sun Oct 30 22:03:51 +0000 2022",49,294,8,868,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1618470817456689153/RmUUWeEV_normal.jpg
TGE,TGETGETGETGE,"ID 1600720176906833920",," WANGHAF x AF x NJF x YE24 X https://t.co/Ao1Jj9KzqO","Thu Dec 08 05:13:42 +0000 2022",174,81,124,2378,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1613996742437109760/p3c3F4Mm_normal.jpg
