Name,"Screen name","Twitter ID",Location,Biography,"Created date",Followers,Following,Tweets,Favorites,Website,"Time zone",Geo-enabled,Verified,Language,Protected,"Profile image URL"
Joseph,jose2405217,"ID 1512025622863749121",," ","Thu Apr 07 11:13:07 +0000 2022",4,102,0,3,,,Disabled,"Not verified",,"Not protected",https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png
"Students For YE24 @Iowa State",IsuYe24,"ID 1598157346739462144",," ","Thu Dec 01 03:29:50 +0000 2022",46,50,78,492,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1598166373573820417/nyEMDjMg_normal.jpg
"Unbroken Hill Billy",BossHaw42681073,"ID 1524661427641929730",," ","Thu May 12 08:03:21 +0000 2022",2,55,15,109,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1524661496319512578/zm1WXcUn_normal.png
"Stained Glass Voice",el_noticer,"ID 1520094208601714689",," Just noticing things","Fri Apr 29 17:34:47 +0000 2022",14,125,348,463,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1610786143330791424/fpVWpz8v_normal.jpg
"Dave Shap",ShapDave,"ID 1345467048122572802",," salty army WHITE LIVES MATTER","Sat Jan 02 20:28:52 +0000 2021",8,54,47,1057,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1598086854774923264/FlPgqGJa_normal.jpg
JPBP,SocialHandbird,"ID 244299859","California, USA"," ","Sat Jan 29 00:37:25 +0000 2011",350,2302,2014,118245,,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1363791382607917059/EQYCO66t_normal.jpg
"Wavy Matt",wavymattlol,"ID 2446183489","Warner Robins, Georgia"," Not your grandma’s favorite Christian rapper","Tue Apr 15 23:03:55 +0000 2014",367,41,357,2575,http://fanlink.to/ihatetheantichrist,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1620170364075773954/G315e-TM_normal.jpg
W,Westerner77,"ID 1486875918262022146",West," I delete all followers. No offence.  Really.","Fri Jan 28 01:37:08 +0000 2022",1,173,15,3503,,,Disabled,"Not verified",,Protected,https://pbs.twimg.com/profile_images/1621605057878786051/J69anSbP_normal.jpg
"John Smith",JohnSmi61864844,"ID 1598400798010081290",," ","Thu Dec 01 19:37:14 +0000 2022",0,12,2,23,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1598400851869138958/8Bmt0mOW_normal.png
"Tuong Lu Kim",Herro_Preease,"ID 1529202848163958784",," ","Tue May 24 20:49:33 +0000 2022",39,725,1099,6328,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1616878757238968320/9FpKrcUw_normal.jpg
