Name,"Screen name","Twitter ID",Location,Biography,"Created date",Followers,Following,Tweets,Favorites,Website,"Time zone",Geo-enabled,Verified,Language,Protected,"Profile image URL"
Michael,drawfromlife1,"ID 1525263991382999040",," Helping Beginning and Aspiring Artists","Fri May 13 23:57:42 +0000 2022",14,26,345,94,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1594789431424454656/xqfuyIID_normal.jpg
"Isabella Riley Moody",isabellarileyus,"ID 2871659160","Yeehaw, Texas"," Host of 'MOODY with Isabella' LIVE weekdays on Rumble @4 PM ET LINK BELOW) WIFE to @JxsiahM 🧡 Press inquiries: isabellarileyusa@gmail.com","Wed Oct 22 19:52:30 +0000 2014",89807,586,23086,31162,https://rumble.com/v27dmnw-moody-with-isabella-1.27.23-4pm-tbd.html,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1612434086060036097/mwNQGtvy_normal.jpg
"College Republicans",CRNC,"ID 7039122","Washington, DC"," America's voice for young conservatives.","Sat Jun 23 20:10:58 +0000 2007",71085,5107,19584,3376,https://secure.winred.com/college-republican-national-committee-4c6c3cea/donate-today,,Enabled,Verified,,"Not protected",https://pbs.twimg.com/profile_images/880787965705949184/bfL12JiI_normal.jpg
"Action Idaho",action_idaho,"ID 1484007333961162755",Idaho," Analysis for Red State survival. Advocating for independence from the national government so a thriving civilized culture can emerge. Against the black pill!","Thu Jan 20 03:38:56 +0000 2022",678,184,913,178,http://actionidaho.org,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1506036763487203331/uTLc1sd0_normal.jpg
"The Daily Sneed™🕗",Tr00peRR,"ID 903228570536996865",Antarctica," media posted for non-profit/educational/news/informative/entertainment related purpose. Formerly The Daily Chuck™","Thu Aug 31 12:10:47 +0000 2017",21655,1735,110661,89382,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1353048203663470597/fgv4zwiZ_normal.jpg
courtney,bigtiddygothgf9,"ID 1042563175827165184",†," i’m not 10 years old","Wed Sep 19 23:56:45 +0000 2018",7283,379,11923,50253,http://radiohead.com,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1607639371213115393/v9Cxi8UF_normal.jpg
Rebecca,Blondes_tweets,"ID 701494270994190338",Idaho," Wife. Mom. Dissident. 2+2≠5 blondeinthebellyofthebeast@gmail.com","Sun Feb 21 19:50:42 +0000 2016",13535,391,9890,6369,https://www.youtube.com/channel/UCpbyOgUSjTSPpvVUAT2OyHw,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/908822645105291265/-5ZIHGp__normal.jpg
"Brent Regan",BrentFRegan,"ID 1195873536650301440","Coeur D Alene, Idaho"," Mad Scientist Inventor
Chairman Kootenai County Republican Central Committee
Chairman Idaho Freedom Foundation","Sun Nov 17 01:17:45 +0000 2019",360,113,599,192,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1195875232591970305/EJlBsmiB_normal.jpg
"Senator Tammy Nichols",nichols_senator,"ID 1606447548377755650",," Official Account For Sen. Tammy Nichols District 10 Idaho. Please review my social media policy: https://t.co/bt8sUIPCLO","Sat Dec 24 00:32:43 +0000 2022",100,55,45,14,http://nicholsforidaho.com,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1619583789327581184/9rgDRzAV_normal.jpg
"Kootenai Republicans",KCRCC,"ID 172202711","Kootenai County, Idaho"," https://t.co/hJR0dxK5FH
Representing Republicans in Kootenai County!","Thu Jul 29 03:55:59 +0000 2010",677,171,5884,13160,http://www.kcrcc.com,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1532840671152775170/VPh_t-sR_normal.jpg
"Bjorn Handeen",BjornHandeen,"ID 2694282644","Coeur d'Alene, ID"," Idaho Republican Party Region 1 Chairman, representing Boundary, Bonner, Kootenai, Shoshone, and Benewah Counties.","Thu Jul 31 00:23:55 +0000 2014",1206,715,6757,4334,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1219825614162518016/nh-NCnS-_normal.jpg
@vegas96,michaelnne20,"ID 3368579713",🌌," Don’t think of yourself as an ugly person, think of yourself as a beautiful monkey.
professional procrastinator
pureblood 🩸","Fri Aug 28 08:18:32 +0000 2015",70,243,3972,7541,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1440709078628536321/pGphRorE_normal.jpg
JL,JeffersonLee86,"ID 1547227626791657472",," The front line is everywhere","Wed Jul 13 14:33:14 +0000 2022",800,76,281,385,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1586835017111687173/HayLrixw_normal.jpg
"Louis Theroux",louistheroux,"ID 76351820",London," I am involved in the making of documentaries. Warning: Some tweets may contain irony.","Tue Sep 22 14:51:17 +0000 2009",2256018,2755,4160,2995,http://www.louistheroux.com,,Enabled,Verified,,"Not protected",https://pbs.twimg.com/profile_images/1460546011101896708/wn8PhdXV_normal.jpg
"Rick 🇺🇸",Rick_Loughery,"ID 186493154","Philadelphia, PA"," Young Republican National Chairman @yrnf | Doctor of Public Admin @ppaWCU | Proud American 🇺🇸","Fri Sep 03 16:20:07 +0000 2010",3618,2467,2874,11894,http://instagram.com/rick_loughery,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1613665201978482688/h7NweS39_normal.jpg
"The Young Republicans",yrnf,"ID 18592146","United States"," Young Republican National Federation 🇺🇸 Building the next generation of Republican leaders | 18-40yo Republicans across USA | National Chairman @Rick_Loughery","Sun Jan 04 01:33:34 +0000 2009",41869,3267,13275,11028,https://linktr.ee/yrnf,,Enabled,Verified,,"Not protected",https://pbs.twimg.com/profile_images/1255990900859252744/8RnOT3H2_normal.jpg
Manda,shmandalynn30,"ID 1439615489479675908","Chicago, IL"," Trump 2024!!! (hopefully sooner 💥) Mother of 3. wifey. unvaxxed and proud. ex-healthcare worker. MAGA! #SpacesHost","Sun Sep 19 15:41:17 +0000 2021",14568,1593,4715,14817,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1602810868777062402/fkQpZ4G-_normal.jpg
"Kevin Dalton",TheKevinDalton,"ID 1508867469447864324","Pomona, CA"," I tried fixing the system by working with the system. Now I'm doing it my way.","Tue Mar 29 18:04:12 +0000 2022",24672,1321,10609,6070,,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1616201710548193280/np8DTL5s_normal.jpg
"Lancevideos 🍊",lancevideos,"ID 1305792305539026948","Dallas, TX"," Texan-American Nationalist!","Tue Sep 15 08:56:30 +0000 2020",1099,221,1274,1302,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1606002190514065417/tWumVmXy_normal.jpg
"Matt Edwards",TrueMattEdwards,"ID 1587193635413512193","Idaho, USA"," Husband | Dad | Citizens Alliance of Idaho | Media Producer | J8:32 | co-host What’s Happening North Idaho | GIFWarIII | Stand-Up Comic","Mon Oct 31 21:24:07 +0000 2022",219,308,634,386,https://gettr.com/user/realmattedwards,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1598040273900408833/WBMxNmam_normal.jpg
