Name,"Screen name","Twitter ID",Location,Biography,"Created date",Followers,Following,Tweets,Favorites,Website,"Time zone",Geo-enabled,Verified,Language,Protected,"Profile image URL"
GDL,GentileDefense,"ID 1600691329373155330",," ","Thu Dec 08 03:19:31 +0000 2022",390,116,454,617,http://Goyimtv.com,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1600692014432911361/45j3yJ5N_normal.jpg
Matty,ncdmatty,"ID 1618378156167020545",," Just a man.","Wed Jan 25 22:40:04 +0000 2023",35,18,106,68,https://nicecrew.digital,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1618378924509089792/CFoOxyQh_normal.jpg
MurdochMurdoch,MurdochMurdoch8,"ID 1429580873930842112",," American Nationalist.","Sun Aug 22 23:07:03 +0000 2021",4670,309,1783,5881,,,Disabled,"Not verified",,Protected,https://pbs.twimg.com/profile_images/1429583996766273539/t8AHqCd9_normal.jpg
"Dong Johnson",DwightMan17,"ID 1618383311650299904",pennsylvania," it’s up to you to hate yourself enough to change","Wed Jan 25 23:00:45 +0000 2023",54,125,59,565,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1619783023309819904/U6LJ3suI_normal.jpg
"Planned Parenthood Action 👼🏿",iEPPACT,"ID 1617999343767949313",iE," Planned Parenthood Action of America #GetItOut👼🏿","Tue Jan 24 21:34:51 +0000 2023",36,35,12,2,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1618000945379696640/a8ErIeb-_normal.jpg
Roy,Goy_Orbison_,"ID 1462876081522982914",," ","Mon Nov 22 20:10:39 +0000 2021",253,147,80,10536,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1619683508527431683/WEHg1h0p_normal.jpg
"Sam Hyde 🇮🇳 😷 (World Crisis Connoisseur)",wigger,"ID 548258435","COM98, 1TEAMistan"," I will not litter.","Sun Apr 08 08:29:42 +0000 2012",116735,1281,2291,4816,https://www.youtube.com/watch?v=GeOSWLGKuaE,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1481021073181265922/TBVzFzJZ_normal.jpg
GOOFY,foogyGuy,"ID 1567543511511351296",," ","Wed Sep 07 16:01:31 +0000 2022",29,152,516,6985,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1614863459564519424/rD42lJ0o_normal.jpg
Holocaust_Survivors_Speaks,uspakoise,"ID 1607094388202606592",Teheran," Exposing the evil nazi crimes","Sun Dec 25 19:22:24 +0000 2022",553,341,389,61,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1607145942003613697/oycKd7sC_normal.jpg
"BarbarianFren 🌲",FrenBarian,"ID 1616593576867278848",," ","Sat Jan 21 00:28:46 +0000 2023",320,177,246,1158,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1616855411868450819/DJd6eKRP_normal.jpg
