Name,"Screen name","Twitter ID",Location,Biography,"Created date",Followers,Following,Tweets,Favorites,Website,"Time zone",Geo-enabled,Verified,Language,Protected,"Profile image URL"
narcissist,narcissist9000,"ID 1588230947765473285",," ","Thu Nov 03 19:56:19 +0000 2022",379,64,297,909,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1588264582258298880/n3RjplV0_normal.jpg
StopHate.com🛑,HelpStopHate,"ID 71857191","Texas, USA"," Providing solutions, not just talking about problems, building a bigger team. Christian. Conservative. https://t.co/msWUppcMWX https://t.co/ujOvoprIk8","Sat Sep 05 18:06:44 +0000 2009",13310,10741,38223,37758,,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1599847148484530179/ok7fS2kd_normal.jpg
"Camp Enjoyer",CampEnjoyer,"ID 1611850299614048256",," Head Counselor #FREENICKFUENTES","Sat Jan 07 22:20:41 +0000 2023",175,289,554,4351,http://t.me/kivsterscamp,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1618333794418806784/rL_SnZ6l_normal.jpg
Pulte,pulte,"ID 25029495",Love," The Philanthropist. Inventor of #TwitterPhilanthropy. Giving money, food, shelter & medicine to people in need!","Wed Mar 18 04:44:13 +0000 2009",3324443,1228,15673,14567,http://Pulte.org,,Disabled,Verified,,"Not protected",https://pbs.twimg.com/profile_images/1575272587902476294/aULMWfWX_normal.jpg
DDayCobra,DDayCobra,"ID 1150818426",," Founder/Owner @GeeksGamersCom | Co-Host of #FridayNightTights","Tue Feb 05 12:33:38 +0000 2013",58254,281,31473,27628,http://GeeksandGamers.com,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1519096073251393536/rpXzqRwg_normal.jpg
"Sam Hyde 🇮🇳 😷 (World Crisis Connoisseur)",wigger,"ID 548258435","COM98, 1TEAMistan"," I will not litter.","Sun Apr 08 08:29:42 +0000 2012",116723,1281,2291,4816,https://www.youtube.com/watch?v=GeOSWLGKuaE,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1481021073181265922/TBVzFzJZ_normal.jpg
"Reactionary Groyper YE24",groypergreen07,"ID 1518815025233768448",," Sedevacantist Traditional Catholic/ Reactionary/ America First Nationalist/ Loyal Groyper/ Part-Time Writer/ Content Creator & Meme Poster","Tue Apr 26 04:51:45 +0000 2022",2129,196,1110,1571,https://t.me/reactionarygroyper,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1584266590618779648/QjWLExjs_normal.jpg
"Steve Franssen",SteveFranssen,"ID 521167914","Montana, USA"," Renegade | Ultra Bad Boy | Grizzled Outlaw | Nick Fuentes Respecter |","Sun Mar 11 09:29:30 +0000 2012",9344,121,22398,23798,https://t.me/stevenfranssen,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1618297063736807425/W6Mhglkm_normal.jpg
"Mark Collett",MarkACollett,"ID 829715112890159104","Yorkshire and The Humber"," Leader of Patriotic Alternative and the author of The Fall of Western Man. 
PA: https://t.co/5bohpea2oL
TFOWM: https://t.co/uboaVLl8dg","Thu Feb 09 15:34:33 +0000 2017",53262,181,6555,6097,https://odysee.com/@MarkCollett:6,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1614527348870729729/34rca1FI_normal.jpg
TaraBull,TaraBull808,"ID 1374968033265864706","United States"," | #SpacesHost | #Stocks | #NFTs | #Crypto | $TSLA Shadow Crew •As Seen on Fox Business• ʟɪꜱᴛᴇɴ ᴡɪᴛʜ ᴄᴜʀɪᴏꜱɪᴛʏ. ꜱᴘᴇᴀᴋ ᴡɪᴛʜ ʜᴏɴᴇꜱᴛʏ. ᴀᴄᴛ ᴡɪᴛʜ ɪɴᴛᴇɢʀɪᴛʏ.","Thu Mar 25 06:15:06 +0000 2021",239606,18791,46449,124227,http://linktree.com/tarabull,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1575977223797952512/lDUcgkJy_normal.jpg
