Name,"Screen name","Twitter ID",Location,Biography,"Created date",Followers,Following,Tweets,Favorites,Website,"Time zone",Geo-enabled,Verified,Language,Protected,"Profile image URL"
TrashRadio,TrashRadio_,"ID 1621584220488433667",(718)," co-founder of Cars & Women Magazine | links - https://t.co/A4FNq8g4v8 | We live in mumbo jumbo times","Fri Feb 03 19:00:09 +0000 2023",88,1,71,12,http://queenstrash.com,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1621712441745805313/kvGQ-92l_normal.jpg
"𝙂𝙤𝙡𝙙 𝘽𝙧𝙖𝙝",goldbrah,"ID 1290925531148554240",," I would rather be a coyote than be a coward! 🌲👁 #bitcoin","Wed Aug 05 08:20:19 +0000 2020",3182,1442,9127,13671,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1525562395573248001/Z8r4rxi2_normal.jpg
"Dylan LeClair 🟠",DylanLeClair_,"ID 1649128015",," #Bitcoin | @BitcoinMagazine Pro | Senior Analyst @UTXOmgmt | Co-Founder https://t.co/tTlLpw1WCb | Stream: https://t.co/Ro1MWwAZek | https://t.co/VRXXLpWX5j |","Tue Aug 06 01:06:43 +0000 2013",293254,3821,27916,96423,http://BitcoinMagazinePro.com,,Enabled,"Not verified",,Protected,https://pbs.twimg.com/profile_images/1599858581611941922/XxvPPWAt_normal.jpg
"Cade McGuffin",43Cade,"ID 3237814902","Fort Worth, TX"," ","Sat Jun 06 12:30:09 +0000 2015",349,405,25,8903,,,Disabled,"Not verified",,Protected,https://pbs.twimg.com/profile_images/1348401192678944770/3XWsvEvu_normal.jpg
"Gab AI",ReadGabNews,"ID 767960339547774976",," Building Technology For The Glory of God. Social Network: https://t.co/hsCA13uWAn News: https://t.co/8yz0wdUvC0 Payments: https://t.co/J1BMHdXtMF","Tue Aug 23 05:43:07 +0000 2016",356655,299,659,2020,http://news.gab.com,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1621258715688050688/QSh03KCd_normal.png
"Schizo Fren",schizo_fren,"ID 1570904710336466945","Mount Meru, North Pole"," Christian schizophrenic frog that spreads disinformation on the internet. Sometimes I forget to take my meds. I hate the antichrist! #KJV #FlatEarth #Pureblood","Fri Sep 16 22:37:43 +0000 2022",1287,570,4492,13944,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1594884013549920256/WHbX4Div_normal.jpg
"Philip Reichert",PhilipReichert,"ID 1412245103540772865","New York, NY"," Father, military intelligence veteran, and 6th generation Floridian. Conservative Jew and Fox News alum. NYU, and others. National security advocate.","Tue Jul 06 03:00:55 +0000 2021",19442,1538,5567,14884,,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1614474718752432128/OTZ0OuuF_normal.jpg
"Manlet Thorin",ManletThorin,"ID 1363174828216373249",Erebor," 5’ 13” | hoarder | king under the mountain | Peter Jackson’s top guy","Sat Feb 20 17:13:10 +0000 2021",7338,928,31257,52267,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1620589166722486272/RIRFQUt3_normal.jpg
"High IQ Groyper",HighIQ_Groyper,"ID 1248418086312538120",," YE24","Fri Apr 10 01:10:48 +0000 2020",74,134,239,21092,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1430390899582767108/Tp7HLN3z_normal.jpg
"Roger Stone",RogerJStoneJr,"ID 47253057",," American Political Icon, New York Times Bestselling Author, Trump-loyalist, veteran GOP operative, libertarian conservative. https://t.co/YSHlmOKSaL 5 P.M. EST.","Mon Jun 15 03:51:50 +0000 2009",383332,3349,33232,4523,https://rogerstone.substack.com/p/welcome-to-stone-cold-truth,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/881721994328363008/FxyU1qMF_normal.jpg
FiddlersGreen🇻🇦,13FiddlersGreen,"ID 1619143115692019714","Finger Lakes"," Just a fiddlemaxxing lost upstater meandering his way back home","Sat Jan 28 01:19:43 +0000 2023",5,45,61,275,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1619144862628036611/SgnEcv-B_normal.jpg
ℝ𝕖𝕕𝕊𝕟𝕠𝕨🌲,CrimsonFrost_,"ID 1473733867353878536",," ","Wed Dec 22 19:16:06 +0000 2021",2218,741,7144,24867,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1611069774523469846/UAGXkKHc_normal.jpg
Joseph,AHB___,"ID 1265053791050743814",," 🇫🇷","Mon May 25 22:55:19 +0000 2020",5673,201,4476,23186,,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1619825089792319492/NaiXMdgt_normal.jpg
"Alex Sheppard 🇺🇸",NotAlexSheppard,"ID 1347704593438879745","Subscribe On Rumble"," “It is not in numbers, but in unity, that our great strength lies; yet our present numbers are sufficient to repel the force of all the world.” - Thomas Paine","Sat Jan 09 00:40:02 +0000 2021",61059,6201,30671,99287,https://rumble.com/user/AlexSheppard,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1487403801715822592/xL9kxKCI_normal.jpg
StarBard,StarBarduous,"ID 1477114926195957765","Super-Sargasso Sea"," The only living boy in NY","Sat Jan 01 03:10:25 +0000 2022",6313,281,12689,36843,http://twitch.tv/star_bard,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1477116638453452801/Acp8gMfK_normal.jpg
"Camp Enjoyer",CampEnjoyer,"ID 1611850299614048256",," Head Counselor #FREENICKFUENTES","Sat Jan 07 22:20:41 +0000 2023",175,289,554,4351,http://t.me/kivsterscamp,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1618333794418806784/rL_SnZ6l_normal.jpg
boy,uxreturns,"ID 937799990902251520",💟," ye24 • love","Mon Dec 04 21:45:16 +0000 2017",1869,33,75,304,http://cozy.tv/ux,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1617955286504902670/TVUks8Sv_normal.jpg
"Ryan Katsu Rivera",AsianPatDixon,"ID 4891451439","NOPEYUP / HALLOWED bassist"," Gavin's producer at https://t.co/u3yUEBjpJT * Asian Pat Dixon * Crime Report * YT: https://t.co/B495QYagnV * Telegram: https://t.co/1TEj2Ngqzi","Tue Feb 09 10:33:42 +0000 2016",14593,1225,6298,15035,http://cameo.com/ryankatsurivera,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1598404778681421824/q2067bnA_normal.jpg
"Patrick Howley",HowleyReporter,"ID 1153042794375712770",," Senior Reporter @nationalfile

Seen on Fox and Friends, Newsmax, OAN, C-Span, CBS, The Alex Jones Show

patrickreporter@protonmail.com","Sun Jul 21 20:43:19 +0000 2019",74413,1801,47242,6032,https://gab.com/PatrickReports,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1520223898285002752/lpxCWbcc_normal.jpg
"🫵🏾 Wayne DuPree ",WayneDupreeShow,"ID 282695161","USAF Desert Storm/Shield Vet"," Turn On My Notifications 🔔 🔔🔔 ; Made By 🫵🏾 - USAF Decorated Vet; Award-Winning Podcast - Mon-Thu 12-1 pm ET at https://t.co/UQHHgtBKd0","Fri Apr 15 18:32:32 +0000 2011",488377,21283,49137,41124,http://www.waynedupree.com,,Enabled,Verified,,"Not protected",https://pbs.twimg.com/profile_images/1593108610338398208/jzzPzd0w_normal.jpg
"Pragmatic Culture",PragCulture,"ID 4455337059",," Catholic | YE24 | 🧃 | So back","Sat Dec 12 03:58:28 +0000 2015",1335,348,16913,74068,,,Disabled,"Not verified",,Protected,https://pbs.twimg.com/profile_images/1621614819160760320/_QpO-NNw_normal.jpg
"Sam Hyde 🇮🇳 😷 (World Crisis Connoisseur)",wigger,"ID 548258435","COM98, 1TEAMistan"," I will not litter.","Sun Apr 08 08:29:42 +0000 2012",116723,1281,2291,4816,https://www.youtube.com/watch?v=GeOSWLGKuaE,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1481021073181265922/TBVzFzJZ_normal.jpg
