Name,"Screen name","Twitter ID",Location,Biography,"Created date",Followers,Following,Tweets,Favorites,Website,"Time zone",Geo-enabled,Verified,Language,Protected,"Profile image URL"
"🌲Déaglán Baumgartner🌲",W0rmThatWalks,"ID 1361372751286697984","Late modern decline, Kali Yuga"," ""I ask myself in bewilderment, 'How on earth did I ever come down here?'""

Platonist. Diadochus. Anarcho-monarchist. Homesteader: Nature is Theophany.","Mon Feb 15 17:54:51 +0000 2021",439,808,3077,2380,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1600053757630291974/sV2e53B6_normal.jpg
"Tradey W",NWordSpeaker,"ID 1507971293051863042","Orchard Park, NY"," 🗣🎙HERE FOR CARDBOARD & CRYPTO ONLY $LINK ⛓ (NO DMS📩🚫)","Sun Mar 27 06:42:36 +0000 2022",253,155,545,1167,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1593657565187133443/T7W9h3SS_normal.jpg
"Hunt Stockwell",HuntStockwell01,"ID 1621324884532989952",," Mercenary / Pureblood / White / insomniac","Fri Feb 03 01:49:28 +0000 2023",5,118,10,16,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1621325183217721346/J6LomwGL_normal.jpg
"Lord f’n Relay",LordDeth3,"ID 1474411411015147529","Anchorage, AK"," Halo/HCS diehard. Love: MMA, Heavy Metal, Horror films, TTRPGs, Xbox — guns, Gears of War, & a proud American Nationalist 🇺🇸 🇮🇪 🍻 🤘🏻 #MutantFam","Fri Dec 24 16:07:43 +0000 2021",293,2470,6739,19196,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1589755543790419970/CuWmjl3S_normal.jpg
Steakfren,ribeyefrog,"ID 1593743529393750016",," I manage the snacc division.","Fri Nov 18 23:11:12 +0000 2022",436,494,1916,18359,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1615912260601348096/ib-Ur4E2_normal.jpg
"Hello I Will Not Comply Kitty",TBASgtPrincess,"ID 41369976","in my hidey-hole"," I'm a girl","Wed May 20 14:35:45 +0000 2009",330,854,31875,149861,,,Disabled,"Not verified",,Protected,https://pbs.twimg.com/profile_images/1609247280434905088/u7jJemCb_normal.jpg
"Power Fade Revisited",PunchCuts2,"ID 1619723138018803714","Home in 2 "," Anon Amerikaner just watching the decline","Sun Jan 29 15:44:34 +0000 2023",12,121,90,1378,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1620206543269421059/HSdX7fwI_normal.jpg
"Bobbie O'Vitale",Johnnyvitale95,"ID 1599253152724930561",," YE 24. Catholic. America First. NJFG4L. 🇺🇸✝️","Sun Dec 04 04:04:24 +0000 2022",123,441,456,2771,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1599640684612538368/ZGBoU_Uv_normal.jpg
"Orangey Orange🐢",CowabungaFren,"ID 1519148309495095298",," John 3:16","Wed Apr 27 02:56:20 +0000 2022",196,583,419,11515,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1522760968366874624/jcXgW11V_normal.jpg
Gomex,Gomex213,"ID 1594009568346050560",," ""Dissent is the highest form of patriotism.""","Sat Nov 19 16:48:11 +0000 2022",50,260,802,2422,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1594010076322357262/nKNk8IJj_normal.jpg
Dennis,denlusk13,"ID 3247965726","Laniakea Supercluster"," Seeker of truth, follow back #MAGA 
Parler: Denlusk13 Gab den1313
Author: A New Paradigm for Humanity (Amazon)
Followed by: James Woods, Charles Payne, et al","Wed Jun 17 16:24:34 +0000 2015",12248,13379,312196,155892,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/675512173750304769/VLDkfbMg_normal.jpg
