Name,"Screen name","Twitter ID",Location,Biography,"Created date",Followers,Following,Tweets,Favorites,Website,"Time zone",Geo-enabled,Verified,Language,Protected,"Profile image URL"
slimebug,slimeywimeybugg,"ID 1597425365806465027",," :vD","Tue Nov 29 03:01:19 +0000 2022",1,48,11,114,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1620242823801962497/d_VfE0HH_normal.jpg
"Richard Whipper",whipper_richard,"ID 1598424586873348099","Ur Mom's House"," Ultra MAGA

Fully retarded

Gulag advocate

Christ is KING

Maximum Deboosted

Twitter ban incoming","Thu Dec 01 21:11:41 +0000 2022",55,187,1025,4492,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1603425235067408387/MjLTUI2m_normal.jpg
"NapoleonIV ☪️🇮🇪 🇸🇩 🇵🇸🇷🇺",NapoleonIV7,"ID 1246779481660014597",," Muslim ☪️, conservative, from Sudan 🇸🇩, live in Ireland 🇮🇪, I stand with Palestine 🇵🇸 and Russia 🇷🇺","Sun Apr 05 12:39:49 +0000 2020",29,264,755,4917,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1246780144594956298/sxsHi_QB_normal.jpg
"Riddler Sam Hyde",RiddlerSamHyde,"ID 1621382046059991040","Republic of Mozambique"," Love Speech
YE24","Fri Feb 03 05:36:42 +0000 2023",1,30,0,4,http://bible.com,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1621385498240622592/1lyAXKVR_normal.jpg
"Dustin M",DustinM16737623,"ID 1542611942572957696",," ","Thu Jun 30 20:52:21 +0000 2022",25,328,18,484,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1542612025628672002/TMzFpjHO_normal.png
Seefe,CozySeefe,"ID 1617932570225946625",," 🇺🇸 America First 🇺🇸 • Jughead • YE24","Tue Jan 24 17:10:10 +0000 2023",13,81,27,148,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1617933381609877505/xMLZRr5U_normal.jpg
"TradCath Zoomer",TradCathACN,"ID 1621241060193099782","New England"," TradCath, American Christian Nationalist, Philosophy & Theology Nerd, New England Regionalist, America First, Traditionalist","Thu Feb 02 20:16:26 +0000 2023",16,550,32,162,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1621241651980115969/ldDXREKo_normal.jpg
"Jae Drews 🧃",glowgoy,"ID 1518902002796875777",," ","Tue Apr 26 10:37:22 +0000 2022",94,639,415,1605,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1519841558253776902/ki9YeJYV_normal.jpg
"We Need the Savior",MillennialAK1,"ID 1514716300718837767",," Christ is 👑
#AmericaFirst is inevitable
Get married young, have lots of kids","Thu Apr 14 21:25:05 +0000 2022",96,540,2423,3168,http://www.bible.com,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1617543522906677250/nQEIIZhd_normal.jpg
Utah_dude,markomrtnz,"ID 1466044507",," 🌐","Wed May 29 00:37:34 +0000 2013",67,554,195,1038,,,Enabled,"Not verified",,Protected,https://pbs.twimg.com/profile_images/1620209244728623104/8DGrhjyS_normal.jpg
quatecell,quatecellol,"ID 1505770701558493185",," ","Mon Mar 21 05:02:07 +0000 2022",15,106,1824,16271,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1521007819440283648/l-4nX1ik_normal.jpg
"Hackin YE24 Zoomer",HackinZoomer,"ID 1585990920364855296",," ","Fri Oct 28 13:45:12 +0000 2022",20,58,110,311,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1618110795409227777/mV92lei__normal.jpg
"DickMakas 🇺🇸",Dickmakas,"ID 2272448245",Commiefornia," USAF vet.
Long-haired, loud, happy mammal.
Trollers gotta troll.
🇺🇸 🇺🇸 🇺🇸","Thu Jan 02 03:53:54 +0000 2014",229,2284,10140,66995,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1612002702258761730/USBvNPj-_normal.jpg
Sarge198,RealSarge198,"ID 64562983","In a galaxy far, far away..."," We've been tricked, we've been backstabbed and we've been quite possibly.... Bamboozled","Tue Aug 11 00:17:14 +0000 2009",70,964,513,766,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1526120628423512064/Exzjw5_I_normal.jpg
Noeyedear,Bee89Ben,"ID 1521610488844587009",," no idea","Tue May 03 22:00:19 +0000 2022",83,2073,1348,1047,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1589715037249224705/Gr6RG5Mf_normal.jpg
"Mikey Darko",Mikey_Darko,"ID 38790085",," #AmericaFirst.","Sat May 09 03:37:04 +0000 2009",119,169,15734,3136,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1117689674389164032/fyOPGs--_normal.jpg
