Name,"Screen name","Twitter ID",Location,Biography,"Created date",Followers,Following,Tweets,Favorites,Website,"Time zone",Geo-enabled,Verified,Language,Protected,"Profile image URL"
yzyupdates,yzyupdates,"ID 1102712310","United States"," daily news & updates about @kanyewest | @yzy_media","Sat Jan 19 03:58:48 +0000 2013",61746,1893,40989,80744,http://instagram.com/yzyupdates,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1603199513098862597/HyovLFHP_normal.jpg
"Ryan Dawson",RyLiberty,"ID 33665720",Japan," Goodwill Ambassador for Nara Japan. Geopolitical analyst for 23 years.  https://t.co/fkmmQOtCau","Mon Apr 20 21:13:11 +0000 2009",34557,700,28251,10045,https://ancreport.com,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1179270612096651265/buGHnc3i_normal.jpg
"Stew Peters",realstewpeters,"ID 1288319695658135552","Minneapolis, MN"," The People’s Bullhorn - The Stew Peters Show ✝️🇺🇸 #DiedSuddenly","Wed Jul 29 03:45:36 +0000 2020",163115,100,9427,1229,http://StewPeters.com,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1610404178425270276/WFvuDh4x_normal.jpg
YEisRIGHT,YEisRIGHT2024,"ID 1615187395602776064",," Ye 2024","Tue Jan 17 03:21:08 +0000 2023",997,20,50,123,https://rumble.com/c/YEisRIGHT,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1616126295917707266/4jXwWbfs_normal.jpg
"Andrea Tate",snakestasia,"ID 1266893032034578432",," ''You will own no NFTs, and you will be happy.'' - World Crypto Forum","Sun May 31 00:43:43 +0000 2020",67,245,739,1958,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1594939671846522881/IlH9pTDh_normal.jpg
"Right Wing Watch",RightWingWatch,"ID 17376893","Washington, DC"," A project of People For the American Way that monitors and exposes the activities of Radical Right political organizations.","Fri Nov 14 00:48:13 +0000 2008",368665,459,48016,11,http://www.rightwingwatch.org,,Disabled,Verified,,"Not protected",https://pbs.twimg.com/profile_images/871766488767713281/UdidsRE9_normal.jpg
"Andrew Tate",Cobratate,"ID 333357345",Dubai," Light-Heavyweight Kickboxing World Champion. Escape the Matrix: https://t.co/xycLeDhfe0","Mon Jul 11 12:15:34 +0000 2011",4908626,125,1277,12029,http://www.cobratate.com,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1593669202702999554/aQ7YTs2C_normal.jpg
E,ElijahSchaffer,"ID 350822109",Dallas," Reporter. Podcaster. Streamer. Film Producer. Traveling Full Time - Business Contact Elijah@slightlyoffensive.com","Mon Aug 08 10:58:53 +0000 2011",571087,862,31524,9160,http://slightlyoffensive.com,,Enabled,Verified,,"Not protected",https://pbs.twimg.com/profile_images/1612694204282736640/qhJ22nuL_normal.jpg
"Laura Loomer",LauraLoomer,"ID 537709549","Florida "," Investigative Journalist 🇺🇸 Author ✍️ Former @Project_Veritas operative. 📸 America First Conservative♦️Former Congressional Candidate ✡️ Feisty Jewess🙋🏻‍♀️","Tue Mar 27 00:53:56 +0000 2012",293612,3465,36024,52371,https://loomered.com/,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1600843244828491778/HbW3NZJN_normal.jpg
"Anna Khait",Annakhait,"ID 534881613","United States"," JESUS! Ex-Pro Poker Player • SURVIVOR S32 Contestant 🌴• Worked at Project Veritas & got commies fired from DOS • IG: realAnnaKhait • Ministry: @gatheringbride","Fri Mar 23 23:06:45 +0000 2012",300167,858,53757,164950,https://linktr.ee/AnnaKhait,,Disabled,Verified,,"Not protected",https://pbs.twimg.com/profile_images/1563342191719632898/_PK0CpME_normal.jpg
NYGrypr,Ike_Bvrner,"ID 1587245901441114112","New York "," YE24 x AF #SpacesHost","Tue Nov 01 00:51:36 +0000 2022",656,547,2355,2096,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1620644319135731712/J9DOq7BK_normal.jpg
"Fight Haven",FightHaven,"ID 3939574932",Florida," #1 Source For Combat Sports Videos/News | Follow Us & Stay Updated | Email For Promo/Business | TheFightHaven@gmail.com","Sun Oct 18 20:44:04 +0000 2015",1304779,624,7911,1728,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/865269170132328448/cvBsCNGY_normal.jpg
"Baked Yelaska West",ZestyGroyper,"ID 1596347931640168450",," NeverBannedAgain","Sat Nov 26 03:39:50 +0000 2022",180,235,473,7530,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1620500869992140800/DtQWxFvp_normal.jpg
"Pragmatic Culture",PragCulture,"ID 4455337059",," Catholic | YE24 | 🧃 | So back","Sat Dec 12 03:58:28 +0000 2015",1335,348,16913,74064,,,Disabled,"Not verified",,Protected,https://pbs.twimg.com/profile_images/1621614819160760320/_QpO-NNw_normal.jpg
"Ali Alexander",ali,"ID 6782762","United States"," Started the Stop the Steal protests and January 6th. Back after 2 years. Biden failed to jail me.","Wed Jun 13 04:57:34 +0000 2007",176194,1327,32888,19278,https://givesendgo.com/alialexander,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1305817044240261121/xWwXL2P3_normal.jpg
"Hack The Movies",HacktheMovies,"ID 473458125",," Creator and host of Hack The Movies, award winning filmmaker, former international male model, and current sex worker.","Wed Jan 25 00:33:11 +0000 2012",10016,664,339,5995,https://www.youtube.com/user/Hackthemovi3s,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1374840382677204995/GY1fOyOv_normal.jpg
"Dalton Clodfelter 🧀",Paleocon_Dalton,"ID 1386002827663847425",Cozy," Christian","Sat Apr 24 17:03:32 +0000 2021",1312,124,1322,2562,https://wlo.link/@DaltonClodfelter,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1609859008692617216/i3wLOgBw_normal.jpg
SNEAKO,sneako,"ID 588703829",Rumble," Seek Truth Through Funny - Live 8pm EST Everyday https://t.co/z3NknvKmtK","Thu May 24 00:51:27 +0000 2012",281067,376,18914,20121,http://thecreativitykit.com,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1548783681610866691/UcBDtR3V_normal.jpg
M.I.A.,MIAuniverse,"ID 23859156",," https://t.co/z1xUz4pcG7  mia@miarul.in","Thu Mar 12 00:16:22 +0000 2009",708944,209,1613,876,https://mia.lnk.to/MATA,,Enabled,Verified,,Protected,https://pbs.twimg.com/profile_images/1529914498248626176/VP0rfNTY_normal.jpg
"Dalton Clodfelter",TRightDissident,"ID 1587353219184959490","Orlando, FL"," ➥ Reactionary Radio™ on https://t.co/IJVv32CF4k ➦ The Right Dissident™ on https://t.co/aCWIWTGSIx","Tue Nov 01 07:58:01 +0000 2022",3610,145,1206,3041,http://cozy.tv/daltonclodfelter,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1620653110380085249/37W1DCkw_normal.jpg
"Gato 🪓",TopGato1791,"ID 1605823245407715328","Los Angeles, CA"," Alexander Hamilton’s strongest soldier","Thu Dec 22 07:11:37 +0000 2022",1094,146,502,2480,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1621665940416126977/WpXqhF_k_normal.jpg
"Alexander Augustine",WurzelRoot,"ID 1301316133501448192","America First"," I HATE THE ANTI CHRIST","Thu Sep 03 00:28:49 +0000 2020",16131,102,1319,892,http://linktr.ee/Wurzelroot,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1378845234763796483/nupEOX3w_normal.jpg
"Josh Perot",JoshPerot,"ID 1335738259700387848"," The Old Neighborhood "," The Mark Dice Of The Fight Game🥋🩻","Mon Dec 07 00:10:13 +0000 2020",440,360,642,1365,https://youtube.com/channel/UClYW8GhGHG7uTkFxxAWImhw,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1618653171349348353/lbfLqJI2_normal.jpg
Smeagolfan,Smeagolfan1,"ID 1609263348868063232",," I am Sméagolfan, 90% of the time I’m right about the way how things are. The other 10%…well I can’t always be right. I love America. Christ is King","Sat Dec 31 19:01:06 +0000 2022",287,103,497,355,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1609263798728200193/SW8kl24Z_normal.jpg
marie🥷🏻,Healhaus,"ID 1427393332490162177",Chicago," https://t.co/SL3xnrjGyB 💡","Mon Aug 16 22:14:31 +0000 2021",637,161,9942,24180,https://www.instagram.com/yemarie3/,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1614813833205350401/HI6dPhzg_normal.jpg
