Name,"Screen name","Twitter ID",Location,Biography,"Created date",Followers,Following,Tweets,Favorites,Website,"Time zone",Geo-enabled,Verified,Language,Protected,"Profile image URL"
"Students For YE24 @Iowa State",IsuYe24,"ID 1598157346739462144",," ","Thu Dec 01 03:29:50 +0000 2022",46,50,78,492,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1598166373573820417/nyEMDjMg_normal.jpg
"Christian Kane",ChristianKane33,"ID 1570580699408629766",," Excuse me, sweetie,  I'm on the list.","Fri Sep 16 01:11:10 +0000 2022",55,849,17,411,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1570584017648451585/fKMya2O1_normal.jpg
🧃AnPrimWrestler,TokenLover69420,"ID 1417872282899390464",," Proud Skater | Cold-wallet bloated | Ye24 burn it all down 🌬️","Wed Jul 21 15:41:32 +0000 2021",110,1746,363,1852,,,Disabled,"Not verified",,Protected,https://pbs.twimg.com/profile_images/1605278538688614407/PIdiwMYi_normal.jpg
WV4Me,WV4Me2022,"ID 1586895691087073280","West Virginia, USA"," 20 year Realtor who left it behind to be a homesteader, gardener, and chicken momma!","Mon Oct 31 01:40:17 +0000 2022",116,896,313,474,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1616995506181349377/8UkWjI1t_normal.jpg
L⨁EFWINE,loefwine,"ID 1616743841100607488",Iceland," 🇮🇸 ᚻᚪᛁᛚ᛫ᚷᛁᛒᚢᚱ᛫ᚪᚱᚪᚻᚪᚱᛁ!","Sat Jan 21 10:25:52 +0000 2023",40,89,11,186,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1616747189971333121/I9FMZTNH_normal.jpg
"Dog Brown",bogdrown,"ID 3039163002",," ","Tue Feb 24 09:25:35 +0000 2015",10,30,242,836,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1491590249876574210/wLMtm95L_normal.jpg
Drew,sats_stacked,"ID 1118760388353376258","California, USA"," ","Thu Apr 18 06:17:16 +0000 2019",30,63,7,7292,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1434727330082004996/mXxlB2x1_normal.jpg
"DeadMan ❤️‍🔥",uItralight_beam,"ID 1586584028580237312","around town"," new game YE24 🌐","Sun Oct 30 05:01:52 +0000 2022",22,87,113,1745,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1590070018699456512/V6PBWTzV_normal.jpg
FlochFan8326,MasterB1aster63,"ID 1596390945745879042",," YE24☦️","Sat Nov 26 06:30:58 +0000 2022",86,279,96,1014,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1597373954900996097/zr3n_dhE_normal.jpg
"Ali Alexander",ali,"ID 6782762","United States"," Started the Stop the Steal protests and January 6th. Back after 2 years. Biden failed to jail me.","Wed Jun 13 04:57:34 +0000 2007",176195,1327,32888,19278,https://givesendgo.com/alialexander,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1305817044240261121/xWwXL2P3_normal.jpg
"Rawdog Rapist (backup)",Minamar54452314,"ID 2983296962",," ","Wed Jan 14 22:37:02 +0000 2015",5,33,6,28,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1621724774224257024/ALy_Ty8e_normal.jpg
illuminous,vrilluminus,"ID 1618710101895913489",🇫🇮," From the division of chaos there has never been an increase or decrease.

Not exposing the body to disaster implies the practice of ethical morality.","Thu Jan 26 20:39:12 +0000 2023",58,411,83,377,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1618745481030471687/B74sieqT_normal.jpg
"Mr Blepe 🌴",MrBlepe_,"ID 1621550805416280064",," og noticer old head back from the grave","Fri Feb 03 16:47:02 +0000 2023",96,158,29,74,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1621550888409075713/a5HXCizw_normal.jpg
"George Gill",GeorgeG77219894,"ID 1604986289996054529",," ","Mon Dec 19 23:45:34 +0000 2022",2,29,341,464,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1618023262994169857/dyJhoLF__normal.jpg
"Vince Tacotio",VTacotio,"ID 1620157513231482880",," ","Mon Jan 30 20:30:42 +0000 2023",3,151,49,154,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1620157580470263808/v_8YtGLW_normal.png
"Bosso of Kekistan",BrineMyCucumber,"ID 1591579541306122241",," ","Sat Nov 12 23:51:57 +0000 2022",5,77,89,1687,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1591580157000658944/2R6YErlF_normal.jpg
"Among the Rust",BillyWagnerPriv,"ID 1595804687621668866",," ","Thu Nov 24 15:41:26 +0000 2022",19,137,38,366,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1608603385296572419/lMQZmFlE_normal.jpg
"phuck yu",phuckurmomhard,"ID 1621335289296822273",," ","Fri Feb 03 02:31:14 +0000 2023",0,77,0,1,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1621335635473711106/lUlynxLN_normal.jpg
