Name,"Screen name","Twitter ID",Location,Biography,"Created date",Followers,Following,Tweets,Favorites,Website,"Time zone",Geo-enabled,Verified,Language,Protected,"Profile image URL"
Deleted,LagOutLouder,"ID 1380394256657944579","United States"," ﹤𝕞𝕖𝕤𝕤𝕒𝕘𝕖 𝕕𝕖𝕝𝕖𝕥𝕖𝕕﹥","Fri Apr 09 05:37:00 +0000 2021",1466,268,368,1269,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1575966261355364353/lpvwdGIr_normal.jpg
"Steve Sailer",Steve_Sailer,"ID 209693451",America," My pronouns, like Stalin's, are Who and Whom; also, Hey, You! and Whatever...

My prepositions are Notwithstanding and À La.

My interjection is Uh-Oh.","Fri Oct 29 18:22:50 +0000 2010",69318,1343,78189,283060,http://www.unz.com/isteve,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/2710819381/2cbdcadf6ba491ec788cb7a9cf02aa95_normal.jpeg
Yeditorial,yeditorialweb,"ID 1600777973430263808",," Official Yeditorial Twitter Account. Honest and entertaining news about Ye.","Thu Dec 08 09:03:47 +0000 2022",324,52,146,143,https://yeditorial.com,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1618426009140989957/J1t6lZC5_normal.jpg
"Balkan Memes",BalkanmemesTr,"ID 1436353484576727045",," No, I'm Balkanıan.

Reklam ve iş birliği için Dm.

the posts are for humor, don't take it seriously","Fri Sep 10 15:39:12 +0000 2021",60898,8,604,677,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1456860094411546625/_DntPgrW_normal.jpg
☁️,lexfridmanfan,"ID 910785736902819840",," ","Thu Sep 21 08:40:16 +0000 2017",419,77,623,5078,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1603830815229607952/XHd8h8XD_normal.jpg
"⚓️ Joshua YE24 S. Howes 🇦🇺✝️",realjoshshowes,"ID 1507846331536052229",Ausnia," https://t.co/15tnq4Z3kC streamer and host of Australia First || 🔴 LIVE Wednesdays 8PM AEDT
YouTube
https://t.co/UGkS4UQ4nj…
Telegram
https://t.co/lyb4eqWi4m","Sat Mar 26 22:26:14 +0000 2022",949,362,3644,5748,http://cozy.tv/joshhowes,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1582861433821618176/71yKqc9U_normal.jpg
"Elon Musk",elonmusk,"ID 44196397",," ","Tue Jun 02 20:12:29 +0000 2009",127890694,177,22559,17739,,,Disabled,Verified,,"Not protected",https://pbs.twimg.com/profile_images/1590968738358079488/IY9Gx6Ok_normal.jpg
cozy.tv,cozytvofficial,"ID 1596618068767264771",," The official Twitter account for https://t.co/FkxH0carJ1!","Sat Nov 26 21:33:33 +0000 2022",5469,1,9,1,http://cozy.tv/about,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1604191366619090944/HrPc0BK-_normal.jpg
"Charles Johnson's Thoughts & Adventures",JohnsonThought1,"ID 1602565127362019329","Northern Virginia "," Subscribe to substack. I invest for the realm 🇺🇸 🇬🇧 🇦🇺 I run @traitwell and https://t.co/jCxlIKBFWw. Please steal my work. #genetics DMs open.","Tue Dec 13 07:24:44 +0000 2022",4006,494,4183,2263,http://charlesjohnson.substack.com,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1602565510239080449/8sSbQzpR_normal.jpg
"Canceling Hate",rightweengwatch,"ID 1594411911679946753",," A project that monitors and exposes the racist, sexist, anti-semetic, and fascist activities of Nick Fuentes and the America First political organization.","Sun Nov 20 19:26:50 +0000 2022",2091,42,56,1670,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1599567505030189058/qmKD9MD2_normal.jpg
