Name,"Screen name","Twitter ID",Location,Biography,"Created date",Followers,Following,Tweets,Favorites,Website,"Time zone",Geo-enabled,Verified,Language,Protected,"Profile image URL"
"Beth Ann Greer ⛱️🌞🌊",SandSunWaves,"ID 51143313","Red Gal/Blue City/Texas"," #BeachLover | ♥️ Veterans | #GoonTwitter Gal | #FibroWarrior | #Hashimotos | #SexAbuseSurvivor | Eff U, Gretchen 🖕🏻 | Pure 🩸| 🚫 NO TRAINS 🚫","Fri Jun 26 17:25:23 +0000 2009",512,736,9661,16434,http://www.RAINN.org,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1616614979641253889/Q5mX2CSG_normal.jpg
LEAHmemes,itsreallyleah,"ID 935947988307918848","California, USA"," I make stuff 🇺🇸 #Dilley300","Wed Nov 29 19:06:04 +0000 2017",2129,82,2816,2205,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1408499637170831364/762jX-Tn_normal.jpg
"MAGA FORCE",ellenan34770401,"ID 1569479894987583488",," 👩🏼👠🍻 RETIRED FIRST RESPONDER 🚑 BACK THE BLUE💙🖤💙GOD BLESS OUR UNITED STATES 🇺🇸🇺🇸🇺🇸MAGA FAAFO.","Tue Sep 13 00:16:13 +0000 2022",900,1224,8508,14949,,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1569484102482403329/ZiUsvPcg_normal.jpg
"JMAN- Coffee Hoarder ☕",Sniper983241337,"ID 1390105233242550273","Minnesota, USA"," 🇺🇸Conservative American Patriot🇺🇸 Love of God, Country, & Family. *#USMC* Molon Labe* *NRA* *2A* *Bowhunting* *Bowtech* *Team Beardvet*  https://t.co/FojC7eCPOf","Thu May 06 00:45:05 +0000 2021",4997,5479,65859,113949,http://Beardvet.com,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1390105913231556614/OomHef9o_normal.jpg
"🇺🇸Just Melissa🇺🇸",Melissa1opinion,"ID 1609564021"," BFE"," Independent Conservative…🇺🇸 Animal lover 🐾 #AdoptDontShop…#TrumpWasRightAboutEverything #WeToldYouSo MAGA!","Sun Jul 21 02:38:26 +0000 2013",23799,23272,113893,108669,,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1607228260726743042/RKq0VMgu_normal.jpg
"Waoww LoDuv 🪶",LoDuv,"ID 54248457",USA," Brutally honest Native, snarky AF, medical queen of chaos, independent , cuss a little. Abolish the two party system.","Mon Jul 06 16:11:20 +0000 2009",11383,7572,46960,36274,,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1600742286824030209/tnLc9DG6_normal.jpg
"Texas Darlin' 🎀 🏈",TexitDarling,"ID 2377725654","Republic of Texas"," Get on my level. #GigEm","Fri Mar 07 22:26:02 +0000 2014",7696,3810,144470,170663,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1276293008942682114/gGPF2RLT_normal.jpg
"Klmunoz👠🇺🇸 #NODACA #FED UP",klmunoz54,"ID 708789388969259008","United States"," Please don't add me to list!! I BLOCK ALL LIBTARDS","Sat Mar 12 22:58:53 +0000 2016",1868,2237,41913,40175,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/709484533297455104/G2cT6ixz_normal.jpg
"Ultra MAGA Erin 🇺🇸💋🇺🇸",USAPat4DJT,"ID 1489396994372157449","Rhode Island, USA"," #VettedPatriots❤️🤍💙#PatriotsAssemble✨🇺🇸#ULTRAMAGA❤️ #1A🗣️ #2A🔫 #ProLife🙏🇱🇷🗽#StarsAndStripes76✨🇺🇸F/B @DineshDSouza🔥 @WayneDupreeShow 🔥@RitaCosby 🔥","Fri Feb 04 00:35:01 +0000 2022",60015,31972,22734,19406,http://VettedPatriots.com,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1599241419432103937/sHEyHATr_normal.jpg
"Gino Schafer",GinoSchafer,"ID 929298247297925120","Good ol' US of A"," Classic Conservative | Radiochemistry/Nuke plant expert | Analytical chemistry | Former Police Dog Trainer | Feed Raw Pet Food!","Sat Nov 11 10:42:22 +0000 2017",1970,1666,7828,71917,,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/929299575621455873/LXRyLau__normal.jpg
