Name,"Screen name","Twitter ID",Location,Biography,"Created date",Followers,Following,Tweets,Favorites,Website,"Time zone",Geo-enabled,Verified,Language,Protected,"Profile image URL"
Guy❄️,Guntineer,"ID 1621478522240860160",," ","Fri Feb 03 11:59:55 +0000 2023",31,107,14,97,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1621478677341945857/Vz2RjMGG_normal.jpg
"M A N D A I A 🏴💀🔪🧃 (SPK)",SupremeWagner,"ID 1207209178911014914","Rupes Nigra"," T⬡ky⬡ Sexwale Fan Acc⬡unt | ⬡IT Pr⬡p⬡nent | NSMTW | Ex⬡nerate Kalergi | End Sancti⬡ns | Cyber-Year Zer⬡ | Lab⬡r Arist⬡cracy Affirmer | TYBG | #YE24","Wed Dec 18 08:01:46 +0000 2019",69,420,549,4381,http://farmersonly.com,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1612843432887877634/PggUuQs6_normal.jpg
"Aspie Groyper",aspiegroyper,"ID 1618097365180719106",," ","Wed Jan 25 04:04:21 +0000 2023",2,4,2,97,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1618100412996804608/9vdlXLQh_normal.jpg
"Nervous 😵‍💫 Autist",NervousAutist,"ID 1299280837293142017",N/A," ♰","Fri Aug 28 09:41:13 +0000 2020",315,228,762,54567,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1584033687850606592/ANPFYQQ8_normal.jpg
"Get on Gab.com",freelegalspeech,"ID 1595495225828511751",," https://t.co/nPbnvDo2sF is the best social media site and great medium for debate.","Wed Nov 23 19:11:37 +0000 2022",2,70,8,10,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1603968527022555139/6E1KxmsL_normal.jpg
"sneeding yetriot",sn33dingp4triot,"ID 1617923102754603019",sneedville," hi frens hiiiii hihiihiiii","Tue Jan 24 16:31:53 +0000 2023",6,57,22,843,http://cozy.tv,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1617923697125228550/FSrtzKg3_normal.jpg
"Hoplite 🐉",NYCBASEDBUILDER,"ID 1583452743586414593","New York, NY"," White Christian Nationalist Based NYC Contractor 🛠️ 🧰 Save America 🇺🇸 #Fix2020 🐉","Fri Oct 21 13:39:04 +0000 2022",42,242,486,1206,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1618280835030859776/kFpYz3nL_normal.jpg
"spoods ∴",sploots_,"ID 1598809236355497984","West Hollywood, CA"," ⁜⁜⁜⁜⁜⁜⁜

⁜⁜⁜⁜⁜⁜⁜

⁜⁜⁜⁜⁜⁜⁜

⁜⁜⁜⁜⁜⁜⁜

⁜⁜⁜⁜⁜⁜⁜

⁜⁜⁜⁜⁜⁜⁜

⁜⁜⁜⁜⁜⁜⁜

⁜⁜⁜⁜⁜⁜⁜

⁜⁜⁜⁜⁜⁜⁜

⁜⁜⁜⁜⁜⁜⁜

⁜⁜⁜⁜⁜⁜⁜

⁜⁜⁜⁜⁜⁜⁜","Fri Dec 02 22:40:46 +0000 2022",560,97,495,626,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1620194079295569921/dngl27G0_normal.jpg
YellowJacket,Yellowjacket_b,"ID 1519037044080656385",," INFJ","Tue Apr 26 19:33:56 +0000 2022",580,673,12323,7572,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1621168179530665985/DwAsRNo__normal.jpg
Owen,doomertobloomer,"ID 997606727829901313",†," YE24","Fri May 18 22:35:53 +0000 2018",37,319,1592,7301,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1605007337076432896/R9auFA6b_normal.jpg
🌐KENTA🌐,LAFOODFIGHT,"ID 1590452156003385346",," YE 24","Wed Nov 09 21:12:07 +0000 2022",262,202,407,2803,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1596010435626557440/MDX5zwU9_normal.jpg
"Goynitz Ben Gentilstine",launchedin2ovn,"ID 1619647431947206662","Jerusalem, Isreal"," We must keep the faith! -Levi Auschwitz *Rabbi 6’4” 169 IQ","Sun Jan 29 10:43:40 +0000 2023",69,88,94,75,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1619778333553590272/oJBppxBB_normal.jpg
oscarm9999,oscarm99991,"ID 1606590090536443904","Rhode Island, USA"," ","Sat Dec 24 09:58:56 +0000 2022",144,1064,11,2,,,Disabled,"Not verified",,"Not protected",https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png
"Schmaul from Proof",schmaullman,"ID 1603974103362424832",," Cozy award winner for Best Director. Watch The Most Canceled Man in America today: https://t.co/dFp8nLAF6D","Sat Dec 17 04:43:32 +0000 2022",933,331,891,1601,https://www.amazon.com/gp/video/detail/B0B6SX2N6D,,Disabled,"Not verified",,Protected,https://pbs.twimg.com/profile_images/1619477265070407681/s9dgYToy_normal.jpg
"Devin Pratt",realdevinpratt,"ID 4241210177",Cleveland," Real Estate || Online Marketing || Web3 $LINK","Sat Nov 21 09:51:11 +0000 2015",940,873,4271,11340,https://linktr.ee/Realdevinpratt,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1607973090381762560/AxYkByQU_normal.jpg
"Nick Dahl🧃",Frenly_NickDahl,"ID 1597328079923613696",," Repentant Sinner, Reluctant Postmodernist, White American","Mon Nov 28 20:34:54 +0000 2022",47,207,260,437,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1601234633999278082/WoNld3Am_normal.jpg
Net&Yahoo,DrJorgeFloyd,"ID 1594867347965083650","America First"," Truth is Treason in an Empire of Lies         

Pronoun(s): Prosecute / Fauci           💊👇","Tue Nov 22 01:36:30 +0000 2022",265,461,860,8124,https://hatingbreitbart.com/,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1621789133885808642/QIPvyqQt_normal.jpg
"Ted Larsoniam",elizablew,"ID 1619590051079360514","Bonebone, Indonesia"," Father of Nightwave host “Mersh”  Proud father of the media insurgent mike schiele one day grandpa to a nightwave jr","Sun Jan 29 06:55:52 +0000 2023",9,111,54,65,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1619592312392241153/K2vfmI_f_normal.jpg
"The Eternal Front",theeternalfront,"ID 19002127",," UNITE THE RIGHT! The tree of liberty must be refreshed from time to time with the blood of patriots and tyrants. #FourteenWords","Wed Jan 14 23:48:02 +0000 2009",3475,1886,585,1498,https://discord.com/invite/djxdX6hC,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1617620621420072974/qqHalhPR_normal.jpg
Yeez,nutski_,"ID 919015538038398976",," Christ is King
YE24
America First
https://t.co/czFfjwaaid
https://t.co/7qAeJPSthT","Sat Oct 14 01:42:33 +0000 2017",106,319,255,781,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1595988898152423424/Mx7Syf_v_normal.jpg
zc,ZoomerCrusade,"ID 1604783150336544772",," ","Mon Dec 19 10:18:25 +0000 2022",71,98,120,521,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1618046027398774785/PTDP775y_normal.jpg
"WhiteYetorade YE24 🧃",Scope420no,"ID 1315318716335185920",," YE's autistic soldier twitter battalion","Sun Oct 11 15:50:09 +0000 2020",349,215,2128,5104,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1315321632496508931/hk9Qxu9i_normal.jpg
Yousef,rapist8000,"ID 1618643187299500034",," ","Thu Jan 26 16:14:30 +0000 2023",4,122,4,226,,,Disabled,"Not verified",,"Not protected",https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png
"Mack, And That's It!",MerriMack22,"ID 1594675666255249408","Merrimack, NH"," B&R, what else is there to say?","Mon Nov 21 12:54:50 +0000 2022",163,333,1341,3739,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1594678194795606016/Zs1sCbg0_normal.jpg
"Angloid Saxon 🧃",AngloidSaxon,"ID 1576427617271820288",," ","Sun Oct 02 04:23:48 +0000 2022",53,97,224,161,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1578983795755479040/3U3Q_HM5_normal.jpg
ThatShitHurted,ThatShitHurted0,"ID 1601401737197195265",," ","Sat Dec 10 02:21:53 +0000 2022",316,884,815,617,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1601404357869608960/h8Gyv8cv_normal.jpg
"𝕤𝕚𝕔𝕜 𝕓𝕠𝕪 ᴛᴍ",nomorelibs4ever,"ID 1124143186660741120",," declining world commentator | restraint maximalist | america first","Fri May 03 02:46:36 +0000 2019",127,645,2660,23046,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1403164244208721920/ltmLPwXj_normal.jpg
𝐌𝐙,southcel,"ID 1606494363860848642","never happened"," erm...","Sat Dec 24 03:38:07 +0000 2022",79,118,127,7570,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1619929465856966656/T5TDpgeI_normal.jpg
mike,nycraper,"ID 1619121991629381632",," love God!,","Fri Jan 27 23:55:47 +0000 2023",39,56,40,92,http://rapist.com,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1619323038461300737/ZmQUqnod_normal.jpg
Basso,Basso68895834,"ID 1618808890572808192",," YE24✝️","Fri Jan 27 03:11:37 +0000 2023",0,126,226,533,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1619002507082223618/7r0QymAU_normal.jpg
"WP Tara",bradyfan1212,"ID 1590071606327533568",," Faith, family, Fuentes, and frogs.
Wife and mom of 3 so yes I'm a girl just fyi before you follow me 🙃","Tue Nov 08 20:00:04 +0000 2022",139,332,617,4840,,,Disabled,"Not verified",,Protected,https://pbs.twimg.com/profile_images/1590080550399778816/NsDdbvTb_normal.jpg
"Weston Sillycast 🪓🧃",WestonCastYT,"ID 1618664938192441361",," 📹 Youtuber, ❌Cringe & Bad Faith Blocker, ✝️ YE24 🇻🇦, 🧃Improving Reader 🪓","Thu Jan 26 17:39:44 +0000 2023",79,166,322,1322,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1618665458940448772/8-vL1n4s_normal.jpg
"Camp Enjoyer",CampEnjoyer,"ID 1611850299614048256",," Head Counselor #FREENICKFUENTES","Sat Jan 07 22:20:41 +0000 2023",175,289,554,4351,http://t.me/kivsterscamp,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1618333794418806784/rL_SnZ6l_normal.jpg
Dambit_YE24,Mr_Dambit,"ID 1676338981",," WANGHAF #YE24","Fri Aug 16 18:00:45 +0000 2013",229,1041,1306,3580,,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1446314120446365705/_R5C7HM-_normal.jpg
