Name,"Screen name","Twitter ID",Location,Biography,"Created date",Followers,Following,Tweets,Favorites,Website,"Time zone",Geo-enabled,Verified,Language,Protected,"Profile image URL"
hardwood,hwgrouper,"ID 1600714467590946816",," humble wood merchant #Ye24","Thu Dec 08 04:50:50 +0000 2022",227,207,140,232,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1617937332564365312/9fE8wrcG_normal.jpg
"Partisan 🧃",InternetRadical,"ID 1619353638773686272",," Fear not the great nor the mighty, but be wise and ever serene.
#LoveSpeech","Sat Jan 28 15:16:21 +0000 2023",698,204,142,382,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1619354534542712839/QqLHdZxI_normal.jpg
"M A N D A I A 🏴💀🔪🧃 (SPK)",SupremeWagner,"ID 1207209178911014914","Rupes Nigra"," T⬡ky⬡ Sexwale Fan Acc⬡unt | ⬡IT Pr⬡p⬡nent | NSMTW | Ex⬡nerate Kalergi | End Sancti⬡ns | Cyber-Year Zer⬡ | Lab⬡r Arist⬡cracy Affirmer | TYBG | #YE24","Wed Dec 18 08:01:46 +0000 2019",69,420,549,4381,http://farmersonly.com,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1612843432887877634/PggUuQs6_normal.jpg
"FaZe George Floyd 🌲",JamsCharlsFan38,"ID 1595758067681054722",," Paleo-Libertarian🟡⚫ • Portuguese🇵🇹 • Firefighter👨‍🚒 • Fortnite and WoW enjoyer⚔️","Thu Nov 24 12:35:53 +0000 2022",52,576,854,154,https://mises.org/,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1620754201029525504/DN6a_P_y_normal.jpg
"Nervous 😵‍💫 Autist",NervousAutist,"ID 1299280837293142017",N/A," ♰","Fri Aug 28 09:41:13 +0000 2020",315,228,762,54567,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1584033687850606592/ANPFYQQ8_normal.jpg
FifthAmendment,AnswerRefused,"ID 1609575802479181824",," Fact-Checked News","Sun Jan 01 15:43:24 +0000 2023",28,22,98,156,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1615874003247239168/OxZHlRdr_normal.jpg
"Carpe Donktum🔹",CarpeDonktum,"ID 14895030","Maga City, Kekistan"," Eternally Sarcastic Memesmith. Content I post was ""Doctored"" by me 🎥 👨‍⚕️⚕️","Sun May 25 00:08:57 +0000 2008",302868,414,17119,21265,,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1233482735924236289/1pa32Vrj_normal.jpg
"Chef YE24 LeGroyper✝️",ChefLeGroyper,"ID 1581694157726302210",America," CHRIST IS KING • AMERICA FIRST • YE24","Sun Oct 16 17:10:58 +0000 2022",129,99,872,6426,http://cozy.tv,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1613760001926991873/Vp7L9Rw5_normal.jpg
"Aspie Groyper",aspiegroyper,"ID 1618097365180719106",," ","Wed Jan 25 04:04:21 +0000 2023",2,4,2,97,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1618100412996804608/9vdlXLQh_normal.jpg
"sneeding yetriot",sn33dingp4triot,"ID 1617923102754603019",sneedville," hi frens hiiiii hihiihiiii","Tue Jan 24 16:31:53 +0000 2023",6,57,22,843,http://cozy.tv,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1617923697125228550/FSrtzKg3_normal.jpg
