Name,"Screen name","Twitter ID",Location,Biography,"Created date",Followers,Following,Tweets,Favorites,Website,"Time zone",Geo-enabled,Verified,Language,Protected,"Profile image URL"
nobody-san,nobdysan,"ID 1509899108848341001",," desktop browsing","Fri Apr 01 14:23:07 +0000 2022",8,252,70,341,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1510305078699167744/4IikNSSm_normal.jpg
Andre,andrefromnyc,"ID 1377362181218570244","United States of America"," “Guard against the impostures of pretended patriotism.” -George Washington 🇺🇸","Wed Mar 31 20:48:35 +0000 2021",0,393,0,0,,,Disabled,"Not verified",,Protected,https://pbs.twimg.com/profile_images/1621688064916480000/3z8e-G4V_normal.jpg
🥶.,Seth06098372,"ID 1393334569303044097",Antarctica," 🥶","Fri May 14 22:37:13 +0000 2021",9,147,3,514,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1618915441593966593/gXiStrwH_normal.jpg
"James Stander",JamesStander7,"ID 345466384","New York, USA"," ","Sat Jul 30 17:03:06 +0000 2011",109,1263,1963,25979,https://linktr.ee/jamesdstander96,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/573664974444322816/gtVS98rk_normal.jpeg
Brandon,Brandon1012022,"ID 939396030289805312",," Yeshua is King, Christian, Centrist, becoming Catholic slowly but still... I have inappropriate humor.","Sat Dec 09 07:27:21 +0000 2017",157,1724,1309,10618,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1100228026699255813/Q8S2l5IV_normal.png
SmoothieKingGroyper,SKGroyper,"ID 1620478026235645952",," • Christian ☦️ • Smoothie King 🥤👑 • America First 🇺🇸 •","Tue Jan 31 17:44:20 +0000 2023",31,998,27,91,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1620478437306810368/iXYP8XiB_normal.jpg
"Joe Nutz",JoeNutOnYoFace,"ID 1499980882224238597",," ","Sat Mar 05 05:31:59 +0000 2022",5,68,1034,2785,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1548831491903623168/yITLLIdx_normal.jpg
Dutch_llcasel,DLlcasel,"ID 1260979733786955776",Frl.," non political, non scientific, non religious, i dont believe in these dogmas. some traditions are cool ...
educational. PRO DEO.","Thu May 14 17:06:43 +0000 2020",3536,4390,33943,29853,,,Disabled,"Not verified",,Protected,https://pbs.twimg.com/profile_images/1491696194229346306/NGurOpjZ_normal.jpg
D,contrastatist,"ID 958937008008826882",," 🧃","Thu Feb 01 05:36:13 +0000 2018",228,1922,4183,160077,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1404400141335941122/ma7XeUAu_normal.jpg
Leo,groyperleo,"ID 1620937794620370944",," #YE24","Thu Feb 02 00:11:57 +0000 2023",2,79,0,29,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1620938149395406850/n5DDlUWU_normal.jpg
