Name,"Screen name","Twitter ID",Location,Biography,"Created date",Followers,Following,Tweets,Favorites,Website,"Time zone",Geo-enabled,Verified,Language,Protected,"Profile image URL"
"alob 🥀ᘛ⁐̤ᕐᐷ",alob_e,"ID 1831397149",," told the wife I went to the bank, didn't tell her which one LOL 🎣","Sun Sep 08 16:26:38 +0000 2013",3845,838,55531,216231,,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1621194319754321933/JlwK3PDM_normal.jpg
wint,dril,"ID 16298441","hollywood heaven"," My account and all of my posts are officially ""Verified.""

now available... ""The Dril Archives"" 10000 posts condensed into 1 book. very good: https://t.co/UWaQ2vb0nU","Mon Sep 15 17:21:54 +0000 2008",1759566,409,12334,30,https://linktr.ee/drilreal,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1510917391533830145/XW-zSFDJ_normal.jpg
.,flip937264,"ID 1409731902093803522",," ","Tue Jun 29 04:34:26 +0000 2021",381,1061,30,11676,,,Disabled,"Not verified",,Protected,https://pbs.twimg.com/profile_images/1565015379298193408/TtbZfZp3_normal.jpg
"endless the wise",endlessthewise,"ID 1592262243755900929",Thulê," ghedhhdhd","Mon Nov 14 21:04:46 +0000 2022",46,94,66,113,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1612376747768430596/gEZLuhpF_normal.jpg
"Hitlerian Liberal",HitlerianLib,"ID 1610002587276935168",Indonesia," Liberalist with Hitler characteristics (not Muslim btw) #ForgiveHitler #StopAsianHate","Mon Jan 02 19:58:34 +0000 2023",47,48,319,934,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1610003106666000386/gvWf06yD_normal.jpg
"Epic Hero Yoyo1270",WeWuzShrimp,"ID 1576985656680742912",zs_abandoned_mall_v12," modem warlock, centipede enforcer, turnbased warrior.","Mon Oct 03 17:21:02 +0000 2022",136,148,2362,3717,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1615767111657209872/c4oniSkZ_normal.jpg
"Goofball ❄️",rapeman9000,"ID 1606360263493566464",," try love","Fri Dec 23 18:45:15 +0000 2022",117,124,452,1334,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1619480364959031297/52iqHyrr_normal.jpg
CaffeineGuzzler,JackSpagnola,"ID 3986207913",," I lift weights, I run, and I hit things. I also pretend to golf.","Sun Oct 18 10:18:09 +0000 2015",301,722,3956,12003,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1601626144050216969/hma3PPP5_normal.jpg
小坂泰之＠最新10巻2/20発売,ysyk_kosaka,"ID 779874405937655808",," 告知アカウント。ヤングチャンピオン烈で「放課後ていぼう日誌」連載中
TVアニメ「放課後ていぼう日誌」12話Blu-ray･DVD全3巻発売中","Sun Sep 25 02:45:22 +0000 2016",24592,12,783,45,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/779878952512868352/9qlO0pp0_normal.jpg
"Barry Stanton",barrystantonGBP,"ID 1184875157359419394","Blackpool, England"," proud father of 5","Thu Oct 17 16:54:05 +0000 2019",35043,69,5949,11064,https://www.youtube.com/channel/UCSmAqdzvJUvVOqQYYnISxMw,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1199555528034095104/A8T6-MRM_normal.jpg
Babyboeta,Babyboeta1,"ID 1607826483829002240",," Teaching the computer how to love","Tue Dec 27 19:51:34 +0000 2022",286,209,1581,2163,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1607827870683889673/hKXrFlsK_normal.jpg
"YOSHA !!! 🏴‍☠️",bitcoinhitman,"ID 1258088976109441030",," I’m a knight, like the kind in shining armor. ...a fighter and a charmer.","Wed May 06 17:39:28 +0000 2020",275,2083,13113,29202,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1533450791528411140/SJ34_eBO_normal.jpg
はるるんbot,harurun_bot2,"ID 911304775450292224",非公式," 画像をアップロードしてください→https://t.co/thEFYv4eO7","Fri Sep 22 19:02:44 +0000 2017",2473,0,46857,0,https://twitter.com/Kikugumo/lists/imas765probot,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1483465777567211523/4sqDvFlL_normal.jpg
Grilling_dad,GrillMan78,"ID 1572331359842058242",," massage therapy","Tue Sep 20 21:06:32 +0000 2022",292,143,7599,31146,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1593303709521412098/DQvMSBrs_normal.jpg
🌁,bretuwaruda,"ID 1586571879443316737","i Am brett"," Welcome 2 My Mind…","Sun Oct 30 04:13:15 +0000 2022",1098,2176,6038,8397,http://angels-heaven.org,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1618085480117014528/BbcqNi7Y_normal.jpg
"hank the pig",69BoogerPicker,"ID 1595792441256411136","Charleston, WV"," Listen to my boy band “Ultra Shield” Cashapp: $FartingHard","Thu Nov 24 14:52:32 +0000 2022",1773,631,619,13462,http://ultrashield.online,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1618428698583076864/3zOIo_mB_normal.jpg
