Name,"Screen name","Twitter ID",Location,Biography,"Created date",Followers,Following,Tweets,Favorites,Website,"Time zone",Geo-enabled,Verified,Language,Protected,"Profile image URL"
Kamalhossain,Kamalho38782121,"ID 1359532551644221440",," I'm Kamal https://t.co/TTNSLiljyB Marketer.Creativity Editor.","Wed Feb 10 16:00:13 +0000 2021",22,73,21,3,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1359537441170853891/bJJMhHfF_normal.jpg
"Hunt Stockwell",HuntStockwell01,"ID 1621324884532989952",," Mercenary / Pureblood / White / insomniac","Fri Feb 03 01:49:28 +0000 2023",5,118,10,16,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1621325183217721346/J6LomwGL_normal.jpg
"Caligirl Refugee",CaligirlLeftie,"ID 189806241","ClownWorld "," #MurderByMandate. Did u know Congress exempted from #mandated vaccines? Biden sending Billions to NeoNazis. Do you know what #OperationGladio is?","Sun Sep 12 08:06:07 +0000 2010",11824,12803,1088800,665660,http://foodnotbombs.net/new_site/,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/927972058297802752/OwtQKvqg_normal.jpg
"Brahim Sawad",BrahimSawad,"ID 1343444600564948992",," Enough is enough! Stop islamic terrorism now!

Stop muslimsk indvandring til Danmark nu!","Mon Dec 28 06:32:14 +0000 2020",651,2505,7751,6739,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1345689955633426438/gnf8wkCt_normal.jpg
"Debra Odion",debraknitter,"ID 1619223025601380353",," ","Sat Jan 28 06:37:47 +0000 2023",1,19,0,1,,,Disabled,"Not verified",,"Not protected",https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png
bizzz,bizzzDJM,"ID 1585679694715920390",," they can't be reasoned with.","Thu Oct 27 17:08:11 +0000 2022",125,1114,1032,2077,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1612304199412219907/BjnH1sqk_normal.jpg
Themis,Themisamaurot,"ID 1589412421185294337",Amaurot," Hi, I'm Themis, I tend to notice patterns","Mon Nov 07 00:20:37 +0000 2022",45,324,3,19,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1589435990040629249/ZMIy7iWR_normal.jpg
Traveler,NeverSayDie1978,"ID 1608273003560964098",," Gen X Southern Nationalist.
RAC music enjoyer.","Thu Dec 29 01:27:12 +0000 2022",141,198,491,2327,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1612271361577172992/siuUVDr0_normal.jpg
MachineGunBarbie,MachineGunBae,"ID 1597454994801770496",," Always Burn The Ships.  Here For The Culture War.  ""Those Who Come To Disturb Our Peace And Dethrone Our Laws Are Aliens And Enemies Forever""","Tue Nov 29 04:59:03 +0000 2022",107,1028,3135,3965,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1597455428773826560/NrLsSx6l_normal.jpg
Jen,Jen68555005,"ID 1524801081129066519",," ","Thu May 12 17:22:51 +0000 2022",33,323,467,1745,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1617551993429712897/yV_O1aX8_normal.jpg
"matt798894 #KBF",matt798894,"ID 1595983981",," Christian Somerset CCC fan
#FPL player best position 4806th
 #StandUp4Brexit #KeepBritainFree Proud to be 🏴󠁧󠁢󠁥󠁮󠁧󠁿","Mon Jul 15 14:21:44 +0000 2013",222,1095,8739,2461,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1155212185900994560/bpSgKBfb_normal.png
DWIGHT,TNFootTraveler,"ID 1606573605504131072",," ","Sat Dec 24 08:53:12 +0000 2022",31,247,1263,13923,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1608647846571524097/TZX5eB7D_normal.jpg
"Adele Moskowitz",AdeleMoskowitz9,"ID 1546603038718103552",," ","Mon Jul 11 21:12:04 +0000 2022",151,1767,9155,3807,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1601681952586625024/JrDxs7D8_normal.jpg
USSLiddle2112,USSLIDDLE2112,"ID 1612187112421433344","Braunau am Inn "," Gab @horstwessel","Sun Jan 08 20:40:10 +0000 2023",64,331,224,2337,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1612194144339857408/wuI_hLJ4_normal.jpg
"Data Rostiashvili",DataRost,"ID 1592405035073282049",Tbilisi," People obsessed.","Tue Nov 15 06:32:06 +0000 2022",81,989,35,23,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1592408659753148418/nSzaZcrR_normal.jpg
"ᛉ𝕮𝖔𝖑𝖎𝖓ᛉ 🇮🇪",F_CKOUTTAHERE4,"ID 1422123204768845827",," ","Mon Aug 02 09:13:02 +0000 2021",22,216,3,0,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1614711853132685313/ytChHrQI_normal.jpg
"Caffeinated Acrimony",dick41259892,"ID 1076789110382215169","In your walls"," we're getting the band back together","Sun Dec 23 10:38:24 +0000 2018",34,66,615,526,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1612644037999165441/6M8y8w4l_normal.jpg
j,ridethemomo,"ID 1137774892462542849",," unlearning","Sun Jun 09 17:34:07 +0000 2019",24,116,41,1276,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1581330015878369282/1dVKwQNj_normal.jpg
"John Riley",TheJohnRiely,"ID 1590020807484325888",," Very jaded by life. Overdosed on black pills.","Tue Nov 08 16:39:54 +0000 2022",526,1835,2067,1562,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1597450765181759489/pCdC_kAH_normal.jpg
AURELIUS,speedboy00,"ID 1609332177761607681",," ""The important product of a creative mind is an invention. Its ultimate aim is the rule of mind over nature and the use of its forces for the needs of mankind ""","Sat Dec 31 23:34:40 +0000 2022",9,189,74,21,https://www.thestoicregistry.org/,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1609334114448035841/zEP5hp6r_normal.jpg
𝙇𝙪𝙠𝙚,rusty_snub,"ID 1608872035471466497",Dixie," ✝️☘️ Deo vindice. back pew believer","Fri Dec 30 17:06:09 +0000 2022",71,168,126,227,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1609086602428440576/XykLIUw4_normal.jpg
Nazareth,dewarsonice,"ID 1519980685271961602",," ","Fri Apr 29 10:03:46 +0000 2022",0,450,77,191,,,Disabled,"Not verified",,Protected,https://pbs.twimg.com/profile_images/1519981198923153408/EdmbMViV_normal.jpg
"Nathanial Dokic",DokicNathanial,"ID 1540160800534319105",," What makes me special? An extra chromosome","Fri Jun 24 02:32:13 +0000 2022",106,1723,414,202,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1618017877701070849/42ELRXAY_normal.jpg
Henry,HankShedwrecker,"ID 1607787786458759168",Dixie," January 8th was when the guns commenced to rocking down in NoLa.","Tue Dec 27 17:18:02 +0000 2022",61,333,1557,764,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1607800593690632197/x80ysWZC_normal.jpg
13east,13_wud,"ID 1601062664775819265",," ","Fri Dec 09 03:54:37 +0000 2022",198,331,9680,10003,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1601087800258232321/ZAXGSnU1_normal.jpg
muffinselephantdonut,muffinselephan1,"ID 1598477525268795392",," ","Fri Dec 02 00:42:35 +0000 2022",38,512,0,2,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1607424769472724997/w6JMz4cx_normal.jpg
"Richard Garr 🇺🇸",RickyGarr,"ID 913539308",," ","Tue Oct 30 00:21:13 +0000 2012",576,1650,7897,18301,,,Enabled,"Not verified",,Protected,https://pbs.twimg.com/profile_images/1308641720146571265/eJokfvYg_normal.jpg
"SECRET NERD BASE",SECRETNERDBASE1,"ID 1518976768111267845",," Esab Dren Terces

Parody and All things Nerd.","Tue Apr 26 15:34:48 +0000 2022",272,490,957,891,http://www.secretnerdbase.com,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1518978083247828992/KDkJXCe7_normal.jpg
"Corned Beef & Curses",Cornedbeefcurse,"ID 710663022109401088","An saormhargadh"," The best traditional music, mostly tunes with an occasional song

Youtube: https://t.co/ZAph2CMASS
Alt account for @roadtoserfdom3

More censored than David Icke","Fri Mar 18 03:04:02 +0000 2016",6661,6895,11245,26564,https://itunes.apple.com/us/podcast/corned-beef-curses-celtic/id1136943623?mt=2,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/725049486096130048/cG9tJWoW_normal.jpg
Bill,Volknar27,"ID 1605067236703670273",," ","Tue Dec 20 05:07:25 +0000 2022",7,195,0,11,,,Disabled,"Not verified",,"Not protected",https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png
"Life Institute",lifeinstitute,"ID 50317625",Ireland," Life Institute aims to build a Culture of Life. We provide information, undertake research, & produce national campaigns. #WeStandforLife #prolifeandproud","Wed Jun 24 14:23:10 +0000 2009",11277,5728,16361,7297,http://www.thelifeinstitute.net,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1001512582908448769/q5wgygdE_normal.jpg
Docc477,Hedidnowrongs,"ID 262163633",," ","Mon Mar 07 14:00:10 +0000 2011",26,321,1774,1880,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1607003381113016321/E96qml6l_normal.jpg
mtcc878,MTCC878,"ID 2485113662","7 Bishop Ave Toronto ON M2M4J4"," The Vogue","Fri May 09 09:56:12 +0000 2014",0,2945,8,58272,http://thevoguecondominiums.ca,,Disabled,"Not verified",,Protected,https://pbs.twimg.com/profile_images/512662745058013184/790tG_Dl_normal.jpeg
daytona95m,daytona95m,"ID 1602055608177410048",," ","Sun Dec 11 21:40:04 +0000 2022",75,665,0,0,,,Disabled,"Not verified",,"Not protected",https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png
slb333,slb3332,"ID 1487084831855067141",," ","Fri Jan 28 15:27:20 +0000 2022",47,661,462,1857,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1604201825518948355/0wMGfvP-_normal.jpg
"Ol’ Honk",FjallThe,"ID 1599032483483459586","Oaken Vale"," Country music history aficionado. Horse whisperer. Chicken wrangler. Southern folk hero. Patriarch of a nuclear family.","Sat Dec 03 13:27:24 +0000 2022",78,347,114,102,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1599034636868501505/weMGTf6J_normal.jpg
"Lily White ✘",LilyWhite_X,"ID 1199570803425239040","Communist states of America "," ‘The radical of one century is the conservative of the next. The radical invents the views; when he has worn them out, the conservative adopts them.’","Wed Nov 27 06:11:08 +0000 2019",36,55,171,137,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1431896164140560384/pLF32J_v_normal.jpg
