Name,"Screen name","Twitter ID",Location,Biography,"Created date",Followers,Following,Tweets,Favorites,Website,"Time zone",Geo-enabled,Verified,Language,Protected,"Profile image URL"
"R A W S A L E R T S",rawsalerts,"ID 1176026136117166080","United states "," RawsAlerts is a Fast & Accurate News Outlet | covering ground breaking events throughout the United States of America. For world news follow @rawsglobal","Mon Sep 23 06:51:06 +0000 2019",134113,1711,6224,28709,https://t.me/Rawsalert,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1603089247313035264/ZRPrAxM1_normal.jpg
"The Alt Hyp",thealthype,"ID 370291114",," Twitter Trust and Safety Team","Thu Sep 08 19:37:32 +0000 2011",9627,84,1533,1446,http://thealternativehypothesis.org/,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/703296603222724609/caOq2IRz_normal.jpg
"Peter Brimelow",peterbrimelow,"ID 74760182",," Editor, https://t.co/eAXxShF9p6, author ALIEN NATION: COMMON SENSE ABOUT AMERICA'S IMMIGRATION DISASTER","Wed Sep 16 15:43:01 +0000 2009",12833,114,7566,1763,http://VDARE.com,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/842037997491040258/LasWGegN_normal.jpg
"Stephen McNallen",McnallenStephen,"ID 880583946169335808",," Founded Asatru (Germanic religion) in America.  Now heading the Wotan Network to awaken the European peoples. ""The existence of our people is not negotiable.""","Fri Jun 30 00:29:08 +0000 2017",1556,19,374,11,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/880973535522324480/MBUfdprK_normal.jpg
"The White People's Press",WhitePeoplePres,"ID 1078460701176463361","United States"," Non-political and family-friendly publisher of books and magazines.
https://t.co/GUbt649buL…
https://t.co/DN9KtMzZd7…
https://t.co/OFvhfo8YQz","Fri Dec 28 01:20:42 +0000 2018",8016,1309,1893,4951,http://www.whitepeoplepress.com,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1318748801952370691/AiBxL7e4_normal.jpg
odysee,OdyseeTeam,"ID 1280241715987660801",," Launch your own channel | Watch, view, and share content | We ❤️ our creators | For help @OdyseeHelp | Available on Web, Android & iOS","Mon Jul 06 20:46:32 +0000 2020",71113,3,2143,3035,http://odysee.com,,Disabled,Verified,,"Not protected",https://pbs.twimg.com/profile_images/1299848979207696385/7DlBlMYH_normal.jpg
"Stonetoss Comics",stone_toss,"ID 873051724604334080",," - Cartoonist: new comics every Tues/Thurs
- Pro-speech
- Trigger warning: Jokes
- NFTs: @FlurksNFT
- About me & my work: https://t.co/jgmP5JMgOt","Fri Jun 09 05:38:46 +0000 2017",323371,326,2552,810,http://stonetoss.com,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1570411531459780610/zRqFwm8V_normal.jpg
DavidMacDowell,DavidMacDowell,"ID 16277133","Los Angeles, CA"," Artist/Painter!:)","Sat Sep 13 22:44:56 +0000 2008",1332,263,2799,4945,http://www.livingroomfloorgallery.com,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1141165178572005376/0d3tA_yv_normal.png
Ron,CodeMonkeyZ,"ID 1812055789",," free speech absolutist","Sun Sep 08 07:03:17 +0000 2013",396234,173,4133,1282,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1039716719223136256/U8_ICW7l_normal.jpg
"Lauren Witzke",LaurenWitzkeDE,"ID 1102987848741998592","Florida, USA"," 2020 GOP Nominee For US Senate. President of SPN and Producer for @diedsuddenly_ Christ has been so good to me. Tell us your story: Lauren@StewPeters.com","Tue Mar 05 17:42:50 +0000 2019",56613,918,7926,12113,http://diedsuddenly.info,,Disabled,Verified,,"Not protected",https://pbs.twimg.com/profile_images/1618292002616918016/t7QtFB2__normal.jpg
"David J. Reilly 🇺🇸",realDaveReilly,"ID 3410843525","Coeur d'Alene, ID"," Award Winning Radio Host • Independent Journalist • Christian Nationalist • F List E-Celeb • ☧ • #AmericaFirst • #Bitcoin","Sun Aug 09 18:13:31 +0000 2015",10450,1475,4328,29946,https://davidjreilly.com/,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1588248001570828288/Hl3fIUHE_normal.jpg
GothicBoar,GothicBoar,"ID 1312086187444776960",," Gotiskt Vildsvin reporting for duty.","Fri Oct 02 17:45:08 +0000 2020",1571,1,277,8,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1312086824043634689/eNMTZ-LS_normal.jpg
"James Edwards",JamesEdwardsTPC,"ID 763938568502775808","Confederate States of America"," Host of The Political Cesspool. As seen on CNN, Fox News, MSNBC, New York Times, Washington Post, and a few hundred others. America's favorite Southern Baptist.","Fri Aug 12 03:22:02 +0000 2016",9432,105,7425,8564,http://www.thepoliticalcesspool.org,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/807598713279348736/ZMXx6ZaO_normal.jpg
Christian,AssarChristian,"ID 1179158663119953921","Göteborg 🇸🇪"," Journalist & opinionsbildare som förespråkar nationsgränser 🇸🇪","Tue Oct 01 22:18:36 +0000 2019",7718,415,11193,29869,https://t.me/AssarChristian,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1599568957110886400/y58MWYWd_normal.jpg
