Name,"Screen name","Twitter ID",Location,Biography,"Created date",Followers,Following,Tweets,Favorites,Website,"Time zone",Geo-enabled,Verified,Language,Protected,"Profile image URL"
"Y2K era PC Game Aesthetics",pc2000s,"ID 1367604822367682569",," '95 - '05 ...ish. 

submissions welcome. 

aesthetics community discord https://t.co/Xa4Zq26829","Thu Mar 04 22:36:26 +0000 2021",55292,257,5601,13487,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1367618894635106304/00QfagzJ_normal.jpg
"Y2K MAGAZINES",y2kmagazines,"ID 1261213205835071488",," Dedicated to teen magazines from the mid 90s-late 00s ✨ Shop magazines, keychains, and magnets on https://t.co/n4N0OgTwYK 💗 More content on IG and TikTok!","Fri May 15 08:34:14 +0000 2020",8593,48,124,415,http://www.y2kmagazines.com,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1437938907849519104/73UJOeQ__normal.jpg
"Project Veritas",Project_Veritas,"ID 850036892","Westchester, NY"," We're back. Send us tips/become a whistleblower. Secure contact: VeritasTips@protonmail.com RTs ≠ Endorsements","Thu Sep 27 22:08:18 +0000 2012",1456466,1092,10683,2665,http://projectveritas.com,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/974369108321095680/T0_h7cu7_normal.jpg
"ALX 🇺🇸",alx,"ID 534023",𝙊𝙉𝙇𝙄𝙉𝙀," Banned in 2020 — Freed by Elon Musk in 2022 #BringThemBack  — Inevitable","Thu Jan 04 12:21:45 +0000 2007",326420,1507,27465,32436,http://ALXTheLord.com,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1601092604858335234/BCDVRLLN_normal.jpg
"Andrew Tate",Cobratate,"ID 333357345",Dubai," Light-Heavyweight Kickboxing World Champion. Escape the Matrix: https://t.co/xycLeDhfe0","Mon Jul 11 12:15:34 +0000 2011",4908153,125,1276,12029,http://www.cobratate.com,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1593669202702999554/aQ7YTs2C_normal.jpg
Pericles,Pericles1k,"ID 1408258372810461185",," This account retweets @ElectionLegal tweets when they get 1,000+ likes as a tutorial for users who want to learn what goes viral","Fri Jun 25 03:00:08 +0000 2021",897,1,648,4,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1476988889302769667/2caTvfHH_normal.jpg
"Pericles 'Perry' Abbasi",ElectionLegal,"ID 2359971372","Chicago, IL"," Zoning/Elections Attorney
ChicagoLaw@Yahoo.com 
Lindy/Lana/Tinned Fish/Nicotine/Black Iced Coffee
Name in Daily Mail/People/Red Scare Pericles' Best @Pericles1k","Mon Feb 24 20:06:40 +0000 2014",26362,2267,105241,560761,https://www.instagram.com/perryabbasi,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1611400352632291332/6tmKvhYu_normal.jpg
"GOLD BLOODED BOXING LLC",_HasimRahmanJr,"ID 816386114042793984","Las Vegas, NV"," Muslim. Professional Boxer 🇨🇲 #GB #Misfits #WarRahman #TeamEverlast 👊🏾🙏🏾🎯💯","Tue Jan 03 20:49:52 +0000 2017",37521,511,6316,11130,http://youtube.com/@hrjtv,,Enabled,Verified,,"Not protected",https://pbs.twimg.com/profile_images/1606337823447175173/_UNuXdSx_normal.jpg
"brandon buckingham",Buckingham_Show,"ID 1043340439","Sykesville, MD"," Host of The Buckingham Show. Susan let me hit 100k on youtube last year. ALL TWEETS ARE FOR ENTERTAINMENT PURPOSES ONLY.","Fri Dec 28 22:54:24 +0000 2012",15778,68,1717,7698,https://youtube.com/playlist?list=PL23nbXh2gSrBzcsNRuaJhCIIjbLbAThgX,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1312814652611493892/I6DcImHS_normal.jpg
"Patricia CIA Sunday",cia_sunday,"ID 236578650","Dallas, TX"," Represented by @happypunchpromo","Mon Jan 10 22:35:38 +0000 2011",318,20,553,68,http://www.patriciadomingo.com,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/984047657344798720/NGTShbGe_normal.jpg
